sample_name	archive	member	size_bytes	md5
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_13.pod5	291888408	f42bc7a6381b01fcbb2ebfac13de423a
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_14.pod5	292559712	3e9687a842c34e219747c49eae28d59f
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_15.pod5	308542712	bfc41f4c14cf8cbe9673c62a1c32c2fe
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_16.pod5	296943712	ab9f27279efe4bc445b4d1a85b533a38
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_17.pod5	305863216	ecdd49bc12b18c35bfe9adeb5287e70e
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_18.pod5	233401464	45edc37b550eda2e1f663b8acf5ebecb
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_19.pod5	323564808	dea0d2c4bad77cc4b23d070aa6f79a33
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_2.pod5	318553624	c56aa0e4ac4011790ade74b5e20b5d59
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_20.pod5	276238384	d9bbc7c5224ea65a4533d426aa32bf54
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_21.pod5	289136848	d33e8857d6f982dddab96d436b7e9098
M145_1_2	M145_1_2_pod5.tar	M145_1_2/20251215_1528_MN34111_FBF04840_c6cb4347/barcode10/FBF04840_pass_barcode10_c6cb4347_af3697b9_22.pod5	289343800	c0b50cc1d3d54423bb397ba935dac148
