accession	organism_name	strain
GCF_003675325.1	Streptomyces dangxiongensis	Z022
GCF_003721215.1	Streptomyces botrytidirepellens	NEAU-LD23
GCF_003865135.1	Streptomyces chrestomyceticus JCM 4735	NBRC 13444
GCF_003955715.1	Streptomyces aquilus	GGCR-6
GCF_003963535.1	Streptomyces cyaneochromogenes	MK-45
GCF_003970715.1	Streptomyces luteoverticillatus	CGMCC 15060
GCF_004005495.1	Streptomyces antnestii	San01
GCF_004023625.1	Streptomyces cavernae	SYSU K10008
GCF_004028635.1	Streptomyces cyaneus	CGMCC 4.1671
GCF_004348415.1	Streptomyces hainanensis	DSM 41900
GCF_004784475.1	Streptomyces bauhiniae	Bv016
GCF_004803895.1	Streptomyces hawaiiensis	ATCC 12236
GCF_005280195.1	Streptomyces galbus	DSM 40089
GCF_005280215.1	Streptomyces lasalocidi	X-537
GCF_005519465.1	Streptomyces clavuligerus	ATCC 27064
GCF_005786655.1	Streptomyces montanus	NEAU-C151
GCF_005795905.1	Streptomyces marianii	ICN19
GCF_006334995.2	Streptomyces mimosae	3MP-10
GCF_006539165.1	Streptomyces cacaoi	NBRC 12748
GCF_006716135.1	Streptomyces calvus	DSM 41452
GCF_006788935.1	Streptomyces cavourensis	DSM 41795
GCF_007280585.1	Streptomyces benahoarensis	MZ03-48
GCF_007829875.1	Streptomyces capillispiralis	DSM 41695
GCF_007829885.1	Streptomyces brevispora	DSM 42059
GCF_008369065.1	Streptomyces apricus	SUN51
GCF_008634015.1	Streptomyces filamentosus	ATCC 23958
GCF_008634025.1	Streptomyces albofaciens JCM 4342	ATCC 23873
GCF_008704395.1	Streptomyces alboniger	ATCC 12461
GCF_008704425.1	Streptomyces fradiae ATCC 10745 = DSM 40063	ATCC 10745
GCF_008704495.1	Streptomyces kanamyceticus	ATCC 12853
GCF_008704715.1	Streptomyces chartreusis	ATCC 14922
GCF_008705135.1	Streptomyces coeruleorubidus	ATCC 13740
GCF_008806595.1	Streptomyces luteolifulvus	HIT-DPA4
GCF_008905045.1	Streptomyces albicerus	TRM68295
GCF_008931305.1	Streptomyces coelicolor A3(2)	CFB_NBC_0001
GCF_008932075.1	Streptomyces arboris	TRM68085
GCF_008974245.1	Streptomyces abyssomicinicus	CHI39
GCF_009299385.1	Streptomyces cinereoruber	ATCC 19740
GCF_009377175.1	Streptomyces adustus	NBRC 109810
GCF_009377235.1	Streptomyces acidicola	K1PN6
GCF_009498275.1	Streptomyces fagopyri	QMT-28
GCF_009569385.1	Streptomyces kaniharaensis	SF-557
GCF_009600885.1	Streptomyces jumonjinensis	NRRL 5741
GCF_009600895.1	Streptomyces katsurahamanus	T-272
GCF_009709555.1	Streptomyces blattellae	TRM63209
GCF_009735685.1	Streptomyces lycii	TRM 66187
GCF_009739465.1	Streptomyces apocyni	TRM 66233
GCF_009739905.1	Streptomyces ficellus	NRRL 8067
GCF_009796285.1	Streptomyces broussonetiae	T44
GCF_009811575.1	Streptomyces glebosus	NBRC 13786
GCF_009908195.1	Streptomyces boluensis	YC537
GCF_010669165.1	Streptomyces aureoverticillatus	HN6
GCF_011044975.1	Streptomyces coryli	A7024
GCF_011044995.1	Streptomyces mesophilus	YC504
GCF_011045075.1	Streptomyces boncukensis	SB3404
GCF_011694815.1	Streptomyces liangshanensis	QMT-12
GCF_012033735.1	Streptomyces lonarensis	NCL716
GCF_012033785.1	Streptomyces bohaiensis	11A07
GCF_012034205.1	Streptomyces composti	SBST2-5
GCF_013046785.1	Streptomyces argyrophylli	Jing01
GCF_013364095.1	Streptomyces harbinensis	NA02264
GCF_013364315.1	Streptomyces microflavus	NA06532
GCF_013409565.1	Streptomyces fulvorobeus	DSM 41455
GCF_013433285.1	Streptomyces gossypiisoli	TRM 44567
GCF_013618545.1	Streptomyces alkaliterrae	OF8
GCF_013870515.1	Streptomyces albidus (ex Kaewkla and Franco 2022)	CAP215
GCF_013912435.1	Streptomyces himalayensis subsp. aureolus	PSKA54
GCF_014141525.1	Streptomyces calidiresistens	DSM 42108
GCF_014141535.1	Streptomyces alkaliphilus	DSM 42118
GCF_014156695.1	Streptomyces durbertensis	DSM 104538
GCF_014203595.1	Streptomyces echinatus	CECT 3313
GCF_014205055.1	Streptomyces luteogriseus	DSM 40483
GCF_014205255.1	Streptomyces caelestis	DSM 40084
GCF_014252945.1	Streptomyces mexicanus	Marseille-Q0842
GCF_014257025.1	Streptomyces cupreus	PSKA01
GCF_014295035.1	Streptomyces buecherae	AC541
GCF_014489615.1	Streptomyces genisteinicus	CRPJ-33
GCF_014534645.1	Streptomyces griseicoloratus	TRM S81-3
GCF_014645815.1	Streptomyces fuscichromogenes	CGMCC 4.7110
GCF_014645835.1	Streptomyces albiflavescens	CGMCC 4.7111
GCF_014645895.1	Streptomyces daqingensis	CGMCC 4.7178
GCF_014646095.1	Streptomyces lacrimifluminis	CGMCC 4.7272
GCF_014646115.1	Streptomyces camponoticapitis	CGMCC 4.7275
GCF_014646275.1	Streptomyces kronopolitis	CGMCC 4.7323
GCF_014646335.1	Streptomyces lasiicapitis	CGMCC 4.7349
GCF_014647675.1	Streptomyces flaveus	JCM 3035
GCF_014647875.1	Streptomyces brasiliensis	JCM 3086
GCF_014648635.1	Streptomyces cinerochromogenes	JCM 3385
GCF_014648695.1	Streptomyces albospinus	JCM 3399
GCF_014648775.1	Streptomyces abikoensis	JCM 4002
GCF_014648935.1	Streptomyces diastaticus subsp. diastaticus	JCM 4128
GCF_014648995.1	Streptomyces massasporeus	JCM 4139
GCF_014649115.1	Streptomyces eurythermus	JCM 4206
GCF_014649375.1	Streptomyces aurantiogriseus	JCM 4346
GCF_014649415.1	Streptomyces badius	JCM 4350
GCF_014649495.1	Streptomyces filipinensis	JCM 4369
GCF_014649535.1	Streptomyces gelaticus	JCM 4376
GCF_014649595.1	Streptomyces griseomycini	JCM 4382
GCF_014649655.1	Streptomyces humidus	JCM 4386
GCF_014649715.1	Streptomyces lateritius	JCM 4389
GCF_014649735.1	Streptomyces lavendofoliae	JCM 4391
GCF_014649755.1	Streptomyces litmocidini	JCM 4394
GCF_014649775.1	Streptomyces longisporoflavus	JCM 4396
GCF_014649795.1	Streptomyces melanogenes	JCM 4398
GCF_014649995.1	Streptomyces griseoflavus	JCM 4479
GCF_014650015.1	Streptomyces griseoloalbus	JCM 4480
GCF_014650035.1	Streptomyces lucensis JCM 4490	JCM 4490
GCF_014650335.1	Streptomyces hiroshimensis	JCM 4586
GCF_014650515.1	Streptomyces finlayi	JCM 4637
GCF_014650595.1	Streptomyces alanosinicus	JCM 4714
GCF_014650655.1	Streptomyces anandii JCM 4720	JCM 4720
GCF_014650715.1	Streptomyces bluensis	JCM 4729
GCF_014650735.1	Streptomyces canarius	JCM 4733
GCF_014650755.1	Streptomyces chryseus	JCM 4737
GCF_014650775.1	Streptomyces cirratus	JCM 4738
GCF_014650815.1	Streptomyces flavofungini	JCM 4753
GCF_014650835.1	Streptomyces galilaeus	JCM 4757
GCF_014650875.1	Streptomyces minutiscleroticus	JCM 4790
GCF_014651035.1	Streptomyces lomondensis	JCM 4866
GCF_014651055.1	Streptomyces fructofermentans	JCM 4956
GCF_014651075.1	Streptomyces djakartensis	JCM 4957
GCF_014651115.1	Streptomyces inusitatus	JCM 4988
GCF_014651135.1	Streptomyces echinoruber	JCM 5016
GCF_014654785.1	Streptomyces mashuensis	JCM 4059
GCF_014654935.1	Streptomyces capoamus	JCM 4253
GCF_014655295.1	Streptomyces fumanus	JCM 4477
GCF_014655595.1	Streptomyces griseocarneus	JCM 4580
GCF_014655715.1	Streptomyces lanatus	JCM 4588
GCF_014655855.1	Streptomyces candidus	JCM 4629
GCF_014656035.1	Streptomyces griseoluteus	JCM 4765
GCF_014656055.1	Streptomyces griseosporeus	JCM 4766
GCF_014656095.1	Streptomyces longispororuber	JCM 4784
GCF_014656115.1	Streptomyces morookaense	JCM 4793
GCF_014673495.1	Streptomyces griseofuscus	DSM 40191
GCF_014701115.1	Streptomyces aurantiacus	JCM 4677
GCF_014779715.1	Streptomyces chumphonensis	KK1-2
GCF_015160855.1	Streptomyces ferrugineus	CCTCC AA2014009
GCF_015160875.1	Streptomyces chromofuscus	DSM 40273
GCF_015163075.1	Streptomyces justiciae	3R004
GCF_015710995.1	Streptomyces gardneri	ATCC 15439
GCF_015910445.1	Streptomyces bathyalis	ASO4wet
GCF_016598475.1	Streptomyces adelaidensis	CAP261
GCF_016598615.1	Streptomyces liliifuscus	ZYC-3
GCF_016741775.1	Streptomyces actinomycinicus	RCU-197
GCF_016741875.1	Streptomyces coffeae	CA1R205
GCF_016741935.1	Streptomyces endocoffeicus	CA3R110
GCF_016860545.1	Streptomyces asoensis	NBRC 13813
GCF_016901035.1	Streptomyces durocortorensis	RHZ10
GCF_016906185.1	Streptomyces californicus	FDAARGOS_1209
GCF_016921115.1	Streptomyces actuosus	VRA1
GCF_017526105.1	Streptomyces cyanogenus	S136
GCF_017813245.1	Streptomyces montanisoli	MMS17-BM035
GCF_018070025.1	Streptomyces liliiviolaceus	BH-SS-21
GCF_018138715.1	Streptomyces asiaticus	DSM 41761
GCF_018141485.1	Streptomyces alfalfae	XN-04
GCF_018604545.1	Streptomyces koelreuteriae	MG62
GCF_018927715.1	Streptomyces brasiliscabiei	IBSBF2867
GCF_018982965.1	Streptomyces mayonensis	A1-08
GCF_019104725.1	Streptomyces corallincola	J2-1
GCF_019400875.1	Streptomyces anatolicus	BG9H
GCF_019599145.1	Streptomyces akebiae	MG28
GCF_019641555.1	Streptomyces geysiriensis	S19
GCF_019710745.1	Streptomyces beigongshangae	REN17
GCF_019933235.1	Streptomyces angustmyceticus	JCM 4053
GCF_020010925.1	Streptomyces griseiscabiei	NRRL B-2795
GCF_020037025.1	Streptomyces huiliensis	SCA2-4
GCF_020099395.1	Streptomyces mobaraensis	DSM 40587
GCF_020400605.1	Streptomyces aculeolatus	DSM 41644
GCF_020404845.1	Streptomyces hyderabadensis	JCM 17657
GCF_020410765.1	Streptomyces marincola	SCSIO 64649
GCF_020521275.1	Streptomyces daghestanicus	NBRC 12762
GCF_020532625.1	Streptomyces antimicrobicus	SMC 277
GCF_020532645.1	Streptomyces bambusae	T110
GCF_020616555.1	Streptomyces longhuiensis	BH-MK-02
GCF_020639365.1	Streptomyces flavotricini	NGL1
GCF_020819595.1	Streptomyces barringtoniae	JA03
GCF_021028635.1	Streptomyces huasconensis	D23
GCF_021216675.1	Streptomyces gobiensis	1_25
GCF_021228125.1	Streptomyces albireticuli	NRRL B1670
GCF_021261325.1	Streptomyces guryensis	NR30
GCF_021462825.1	Streptomyces glomeratus	DSM 41457
GCF_021474405.1	Streptomyces indiaensis	DSM 43803
GCF_021474425.1	Streptomyces muensis	DSM 103493
GCF_021556455.1	Streptomyces fuscigenes	JBL-20
GCF_022221585.1	Streptomyces inhibens	NRRL30439
GCF_022343545.1	Streptomyces arenae	DSM 40737
GCF_022385335.1	Streptomyces deccanensis	KCTC 19241
GCF_022513565.1	Streptomyces gilvus	CME 23
GCF_022524345.1	Streptomyces marispadix	M600PL45_2
GCF_022647665.1	Streptomyces formicae	1H-GS9
GCF_022698165.1	Streptomyces cylindrosporus	7R015
GCF_023218175.1	Streptomyces lichenis	LCR6-01
GCF_023277745.1	Streptomyces halobius	3_2
GCF_023498005.1	Streptomyces durmitorensis	MS405
GCF_023701525.1	Streptomyces albipurpureus	CWNU-1
GCF_023702435.1	Streptomyces griseoincarnatus	RB7AG
GCF_023703325.1	Streptomyces meridianus	MTZ3.1
GCF_023887685.1	Streptomyces macrolidinus	RY43-2
GCF_024295805.1	Streptomyces cucumeris	NEAU-Y11
GCF_024436035.1	Streptomyces humicola	RB6PN25
GCF_024539675.1	Streptomyces hilarionis	IBSBF 2807
GCF_024600715.1	Streptomyces changanensis	HL-66
GCF_024752535.1	Streptomyces albus	DSM 40763
GCF_024761905.1	Streptomyces ginkgonis	KM-1-2
GCF_025133285.1	Streptomyces carpaticus	SCPM-O-B-9993
GCF_025165795.1	Streptomyces gossypii	N2-109
GCF_025231465.1	Streptomyces murinus	CR-43
GCF_025568765.1	Streptomyces lycopersici	NEAU-383
GCF_025642135.1	Streptomyces cynarae	HUAS 13-4
GCF_025642175.1	Streptomyces albidocamelliae	HUAS 14-6
GCF_025665295.1	Streptomyces explomaris	Je 1-4
GCF_025908395.1	Streptomyces milbemycinicus	SIPI-054
GCF_026153355.1	Streptomyces endophytica	HNM0140
GCF_026262575.1	Streptomyces marinisediminis	JHD1
GCF_026274175.1	Streptomyces beihaiensis	GXMU-J5
GCF_026627255.1	Streptomyces antarcticus	H27-S2
GCF_027270315.1	Streptomyces cinnabarinus	DSM 40467
GCF_027625935.1	Streptomyces camelliae	HUAS 2-6
GCF_027942015.1	Streptomyces goshikiensis	CGMCC 4.1796
GCF_027947595.1	Streptomyces lienomycini	DSM 41475
GCF_028401405.1	Streptomyces heilongjiangensis	NEAU-W2
GCF_028401765.1	Streptomyces gilvifuscus	T113
GCF_028657195.3	Streptomyces iconiensis	DSM 42109
GCF_029223485.1	Streptomyces coacervatus	JCM 17138
GCF_029760955.1	Streptomyces cathayae	HUAS 5
GCF_029846675.1	Streptomyces chitinivorans	RC1832
GCF_029846775.1	Streptomyces chengmaiensis	HNM0663
GCF_029968015.1	Streptomyces luteolus	B-S-A12
GCF_029968035.1	Streptomyces cavernicola	B-S-A6
GCF_030262575.1	Streptomyces fuscus	GXMU-J15
GCF_030294945.1	Streptomyces graminofaciens	A-8890
GCF_030406905.1	Streptomyces chengbuensis	HUAS CB01
GCF_030719215.1	Streptomyces glycanivorans	Alt3
GCF_030719275.1	Streptomyces laculatispora	Mut2
GCF_030719295.1	Streptomyces castrisilvae	Mut1
GCF_030803725.1	Streptomyces griseoviridis	DSM 40229
GCF_030803745.1	Streptomyces demainii	DSM 41600
GCF_030816955.1	Streptomyces africanus	B3I12
GCF_031348265.1	Streptomyces collinus	CGMCC 4.1623
GCF_031679605.1	Streptomyces luomodiensis	SCA4-21
GCF_031845365.1	Streptomyces litchfieldiae	DSM 44938
GCF_031845405.1	Streptomyces boetiae	DSM 44917
GCF_031845425.1	Streptomyces millisiae	DSM 44918
GCF_031845445.1	Streptomyces chisholmiae	DSM 44915
GCF_031845485.1	Streptomyces hazeniae	DSM 42041
GCF_031845505.1	Streptomyces doudnae	DSM 41981
GCF_031845545.1	Streptomyces dubilierae	DSM 41921
GCF_031845565.1	Streptomyces johnsoniae	DSM 41886
GCF_031845585.1	Streptomyces evansiae	DSM 41979
GCF_031845645.1	Streptomyces doebereineriae	DSM 41640
GCF_031845665.1	Streptomyces gibsoniae	DSM 41699
GCF_031845685.1	Streptomyces edwardsiae	DSM 41636
GCF_031845725.1	Streptomyces mooreae	DSM 41527
GCF_031845745.1	Streptomyces hintoniae	DSM 41014
GCF_031845785.1	Streptomyces hesseae	DSM 40473
GCF_031845825.1	Streptomyces lancefieldiae	DSM 40712
GCF_031845845.1	Streptomyces gottesmaniae	DSM 3412
GCF_031845865.1	Streptomyces lonegramiae	DSM 41529
GCF_032248635.1	Streptomyces kutzneri	DSM 40907
GCF_032248675.1	Streptomyces kroppenstedtii	DSM 40484
GCF_032656585.1	Streptomyces herbicida	NEAU-HV9
GCF_033109485.1	Streptomyces cyaneofuscatus	89-2-2
GCF_035798155.1	Streptomyces endophyticus	YIM65594
GCF_035917655.1	Streptomyces anthocyanicus	NBC 01777
GCF_035918035.1	Streptomyces hirsutus	NBC 01753
GCF_036073155.1	Streptomyces mirabilis	NBC_00379
GCF_036170895.1	Streptomyces erythrochromogenes	NBC_00303
GCF_036172715.1	Streptomyces bobili	NBC_00302
GCF_036177905.1	Streptomyces canus	NBC_00277
GCF_036178885.1	Streptomyces caniferus	NBC_00270
GCF_036189845.1	Streptomyces griseoaurantiacus	NBC_00521
GCF_036281785.1	Streptomyces chiangmaiensis	TA4-1
GCF_036287475.1	Streptomyces iakyrus	CGMCC 4.1912
GCF_036345975.1	Streptomyces clavifer	NBC_00558
GCF_036346855.1	Streptomyces europaeiscabiei	NBC_00515
GCF_036352915.1	Streptomyces bugieae	DSM 41528
GCF_036967205.1	Streptomyces citrinus	Q6
GCF_037126205.1	Streptomyces hygroscopicus subsp. hygroscopicus	DSM 41954
GCF_037892235.1	Streptomyces achmelvichensis	MS2.AVA.5
GCF_039521185.1	Streptomyces blastmyceticus	JCM 4565
GCF_039521245.1	Streptomyces mordarskii	JCM 5052
GCF_039521265.1	Streptomyces crystallinus	JCM 5067
GCF_039525925.1	Streptomyces javensis	JCM 11446
GCF_039526835.1	Streptomyces beijiangensis	JCM 11882
GCF_039527835.1	Streptomyces aureus	JCM 12605
GCF_039529395.1	Streptomyces albidochromogenes	JCM 13858
GCF_039529415.1	Streptomyces globosus	JCM 13859
GCF_039529885.1	Streptomyces cheonanensis	JCM 14549
GCF_039530525.1	Streptomyces bangladeshensis	JCM 14924
GCF_039530985.1	Streptomyces albiaxialis	JCM 15478
GCF_039532135.1	Streptomyces axinellae	JCM 16373
GCF_039532155.1	Streptomyces lunalinharesii	JCM 16374
GCF_039532665.1	Streptomyces amakusaensis	JCM 4167
GCF_039532705.1	Streptomyces cuspidosporus	JCM 4316
GCF_039532725.1	Streptomyces coeruleofuscus	JCM 4358
GCF_039532765.1	Streptomyces longisporus	JCM 4395
GCF_039532865.1	Streptomyces luteosporeus	JCM 4542
GCF_039532965.1	Streptomyces mauvecolor	JCM 5002
GCF_039532985.1	Streptomyces gobitricini	JCM 5062
GCF_039533005.1	Streptomyces fimbriatus	JCM 5080
GCF_039533145.1	Streptomyces macrosporus	JCM 6305
GCF_039533285.1	Streptomyces atrovirens	JCM 6913
GCF_039533345.1	Streptomyces glaucosporus	JCM 6921
GCF_039533365.1	Streptomyces glaucus	JCM 6922
GCF_039533385.1	Streptomyces graminearus	JCM 6923
GCF_039533405.1	Streptomyces levis	JCM 6924
GCF_039533535.1	Streptomyces kunmingensis	JCM 7473
GCF_039533765.1	Streptomyces enissocaesilis	JCM 9088
GCF_039534145.1	Streptomyces labedae	JCM 9381
GCF_039534285.1	Streptomyces erythrogriseus	JCM 9650
GCF_039534625.1	Streptomyces drozdowiczii	JCM 13580
GCF_039535435.1	Streptomyces cremeus	JCM 4362
GCF_039536665.1	Streptomyces lannensis	JCM 16578
GCF_039537365.1	Streptomyces gulbargensis	JCM 16956
GCF_039538105.1	Streptomyces hundungensis	JCM 17577
GCF_039539045.1	Streptomyces marokkonensis	JCM 17027
GCF_039542925.1	Streptomyces coeruleoprunus	JCM 6919
GCF_040635425.1	Streptomyces laurentii	NPDC006966
GCF_040653035.1	Streptomyces malaysiensis subsp. malaysiensis	NPDC048052
GCF_040677245.1	Streptomyces kurssanovii	NPDC049344
GCF_040684435.1	Streptomyces hydrogenans	NPDC091218
GCF_040685215.1	Streptomyces griseus	NPDC089181
GCF_041021105.1	Streptomyces adonidis	NEAU-BLH26
GCF_041519305.1	Streptomyces luteireticuli	ASG80
GCF_042430725.1	Streptomyces cinereospinus	JCM 6917
GCF_042431345.1	Streptomyces heliomycini	JCM 9767
GCF_042466515.1	Streptomyces iranensis	DSM 41954
GCF_042647945.1	Streptomyces lusitanus	JCM 4785
GCF_042651015.1	Streptomyces flavovirens	CCM 3243
GCF_042651645.1	Streptomyces andamanensis	PCU 347
GCF_042652185.1	Streptomyces fildesensis	CGMCC 4.5735
GCF_042654005.1	Streptomyces mangrovi	CGMCC 4.7117
GCF_042654145.1	Streptomyces ehimensis	CGMCC 4.1668
GCF_042654885.1	Streptomyces maoxianensis	CGMCC 4.7139
GCF_042655885.1	Streptomyces chlorus	CGMCC 4.5798
GCF_042656345.1	Streptomyces incanus	CGMCC 4.5799
GCF_042656465.1	Streptomyces gamaensis	CGMCC 4.7304
GCF_042657145.1	Streptomyces bullii	CGMCC 4.7019
GCF_042657885.1	Streptomyces aureoversilis	CGMCC 4.1641
GCF_042657965.1	Streptomyces coerulescens	CGMCC 4.1597
GCF_042665355.1	Streptomyces monticola	CGMCC 4.7467
GCF_042665405.1	Streptomyces caviscabies	CGMCC 4.1836
GCF_042674625.1	Streptomyces flavalbus	CGMCC 4.7400
GCF_042674645.1	Streptomyces lutosisoli	CGMCC 4.7198
GCF_042678285.1	Streptomyces caeni	CGMCC 4.7426
GCF_042679505.1	Streptomyces kaempferi	CGMCC 4.7020
GCF_042681365.1	Streptomyces desertarenae	CGMCC 4.7455
GCF_042804095.1	Streptomyces cellulosae	NPDC057399
GCF_042902585.1	Streptomyces argenteolus	NPDC012540
GCF_043077165.1	Streptomyces kanasensis	NPDC016311
GCF_043202155.1	Streptomyces antibioticus	NPDC048228
GCF_044327915.1	Streptomyces afghaniensis	NPDC018010
GCF_044765825.1	Streptomyces flaveolus	NPDC102396
GCF_044767875.1	Streptomyces bacillaris	NPDC101189
GCF_044901485.1	Streptomyces albogriseolus	NPDC052706
GCF_045039555.1	Streptomyces gougerotii	NBC_01103
GCF_045039635.1	Streptomyces albidoflavus	NBC_01110
GCF_045041415.1	Streptomyces coelicoflavus	NBC_00099
GCF_045160875.1	Streptomyces achromogenes	NBC_00156
GCF_045161815.1	Streptomyces avidinii	NBC_00832
GCF_045161845.1	Streptomyces antimycoticus	NBC_00839
GCF_045207185.1	Streptomyces halstedii	NBC 00641
GCF_045208505.1	Streptomyces decoyicus	NBC_01584
GCF_045276965.1	Streptomyces althioticus	NBC 01666
GCF_046267975.1	Streptomyces flavusporus	HC307
GCF_046614805.1	Streptomyces atacamensis	KACC15492
