SCO_ID	cistron_id	regulator_flag	source
SCO2186	cistron1517	1	CastroMelchor_2010
SCO2192	cistron1523	1	CastroMelchor_2010
SCO2209	cistron1537	1	CastroMelchor_2010
SCO2213	cistron1540	1	CastroMelchor_2010
SCO2214	cistron1540	1	CastroMelchor_2010
SCO2215	cistron1541	1	CastroMelchor_2010
SCO2216	cistron1541	1	CastroMelchor_2010
SCO2223	cistron1547	1	CastroMelchor_2010
SCO2224	cistron1547	1	CastroMelchor_2010
SCO2232	cistron1552	1	CastroMelchor_2010
SCO2244	cistron1560	1	CastroMelchor_2010
SCO2245	cistron1560	1	CastroMelchor_2010
SCO2259	cistron1571	1	CastroMelchor_2010
SCO2293	cistron1595	1	CastroMelchor_2010
SCO2294	cistron1595	1	CastroMelchor_2010
SCO2308	cistron1604	1	CastroMelchor_2010
SCO2319	cistron1611	1	CastroMelchor_2010
SCO2358	cistron1643	1	CastroMelchor_2010
SCO2359	cistron1643	1	CastroMelchor_2010
SCO2377	cistron1657	1	CastroMelchor_2010
SCO2378	cistron1657	1	CastroMelchor_2010
SCO2398	cistron1671	1	CastroMelchor_2010
SCO2426	cistron1684	1	CastroMelchor_2010
SCO2442	cistron1694	1	CastroMelchor_2010
SCO2449	cistron1699	1	CastroMelchor_2010
SCO2450	cistron1699	1	CastroMelchor_2010
SCO2452	cistron1701	1	CastroMelchor_2010
SCO2453	cistron1701	1	CastroMelchor_2010
SCO2465	cistron1711	1	CastroMelchor_2010
SCO2475	cistron1720	1	CastroMelchor_2010
SCO2486	cistron1728	1	CastroMelchor_2010
SCO2487	cistron1728	1	CastroMelchor_2010
SCO2488	cistron1728	1	CastroMelchor_2010
SCO2489	cistron1728	1	CastroMelchor_2010
SCO2501	cistron1740	1	CastroMelchor_2010
SCO2508	cistron1745	1	CastroMelchor_2010
SCO2517	cistron1749	1	CastroMelchor_2010
SCO2518	cistron1749	1	CastroMelchor_2010
SCO2519	cistron1749	1	CastroMelchor_2010
SCO2520	cistron1749	1	CastroMelchor_2010
SCO2521	cistron1749	1	CastroMelchor_2010
SCO2522	cistron1749	1	CastroMelchor_2010
SCO2523	cistron1749	1	CastroMelchor_2010
SCO2524	cistron1749	1	CastroMelchor_2010
SCO2525	cistron1749	1	CastroMelchor_2010
SCO2537	cistron1757	1	CastroMelchor_2010
SCO2538	cistron1757	1	CastroMelchor_2010
SCO2552	cistron1768	1	CastroMelchor_2010
SCO2553	cistron1768	1	CastroMelchor_2010
SCO2554	cistron1768	1	CastroMelchor_2010
SCO2555	cistron1768	1	CastroMelchor_2010
SCO2564	cistron1776	1	CastroMelchor_2010
SCO2565	cistron1776	1	CastroMelchor_2010
SCO2567	cistron1778	1	CastroMelchor_2010
SCO2568	cistron1778	1	CastroMelchor_2010
SCO2638	cistron1827	1	CastroMelchor_2010
SCO2639	cistron1827	1	CastroMelchor_2010
SCO2644	cistron1832	1	CastroMelchor_2010
SCO2729	cistron1891	1	CastroMelchor_2010
