idx	TF_name	TF_SCO	TF_description	TG_name	TG_SCO	experiment	evidence	regulatory_function	evidence_classification	PubMed ID	Reference DOI	Year	Notes	TF_gene_id	TG_gene_id	source
	whiB	SCO3034	Transcriptional regulator WhiB	sigF	SCO4035	S1	GEA	activation	Weak	8866481	10.1111/j.1365-2958.1996.tb02567.x	1996		SC_RS17285	SC_RS22295	ZorroAranda2022_Curated
	whiJ	SCO4543	Uncharacterized protein	sigF	SCO4035	S1	GEA	activation	Weak	8866481	10.1111/j.1365-2958.1996.tb02567.x	1996		SC_RS24870	SC_RS22295	ZorroAranda2022_Curated
	whiG	SCO5621	RNA polymerase sigma factor WhiG	sigF	SCO4035	S1	GEA	activation	Weak	8866481	10.1111/j.1365-2958.1996.tb02567.x	1996		SC_RS30330	SC_RS22295	ZorroAranda2022_Curated
	whiH	SCO5819	Sporulation transcription factor, WhiH	sigF	SCO4035	S1	GEA	activation	Weak	8866481	10.1111/j.1365-2958.1996.tb02567.x	1996		SC_RS31335	SC_RS22295	ZorroAranda2022_Curated
	whiI	SCO6029	Two-component regulator	sigF	SCO4035	S1	GEA	activation	Weak	8866481	10.1111/j.1365-2958.1996.tb02567.x	1996		SC_RS32380	SC_RS22295	ZorroAranda2022_Curated
	redZ	SCO5881	Response regulator	redD	SCO5877	S1	GEA	activation	Weak	9006013	10.1128/jb.179.3.627-633.1997	1997		SC_RS31650	SC_RS31630	ZorroAranda2022_Curated
	redZ	SCO5881	Response regulator	redZ	SCO5881	S1	GEA	repression	Weak	9006013	10.1128/jb.179.3.627-633.1997	1997		SC_RS31650	SC_RS31650	ZorroAranda2022_Curated
	hrdD	SCO3202	RNA polymerase principal sigma factor HrdD	whiB	SCO3034	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS18125	SC_RS17285	ZorroAranda2022_Curated
	hrdD	SCO3202	RNA polymerase principal sigma factor HrdD	actII-orf4	SCO5085	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS18125	SC_RS27585	ZorroAranda2022_Curated
	sigE	SCO3356	RNA polymerase sigma-E factor	whiB	SCO3034	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS18895	SC_RS17285	ZorroAranda2022_Curated
	sigE	SCO3356	RNA polymerase sigma-E factor	hrdD	SCO3202	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS18895	SC_RS18125	ZorroAranda2022_Curated
	sigE	SCO3356	RNA polymerase sigma-E factor	dagA	SCO3471	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS18895	SC_RS19480	ZorroAranda2022_Curated
	sigR	SCO5216	ECF RNA polymerase sigma factor SigR (Sigma-R factor)	hrdD	SCO3202	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS28260	SC_RS18125	ZorroAranda2022_Curated
	sigR	SCO5216	ECF RNA polymerase sigma factor SigR (Sigma-R factor)	glnR	SCO4159	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS28260	SC_RS22985	ZorroAranda2022_Curated
	sigR	SCO5216	ECF RNA polymerase sigma factor SigR (Sigma-R factor)	actIII	SCO5086	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS28260	SC_RS27590	ZorroAranda2022_Curated
	sigH	SCO5243	RNA polymerase sigma factor (SigH protein)	dagA	SCO3471	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS28395	SC_RS19480	ZorroAranda2022_Curated
	sigH	SCO5243	RNA polymerase sigma factor (SigH protein)	actIII	SCO5086	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS28395	SC_RS27590	ZorroAranda2022_Curated
	hrdB	SCO5820	RNA polymerase principal sigma factor HrdB	dagA	SCO3471	IVT	IVTA	activation	Strong	9185565	10.1093/nar/25.13.2566	1997		SC_RS31340	SC_RS19480	ZorroAranda2022_Curated
	hspR	SCO3668	Putative heat shock protein HspR	hspR	SCO3668	IVT, S1	IVTA	repression	Strong	9324243	10.1128/jb.179.19.5999-6004.1997	1997		SC_RS20475	SC_RS20475	ZorroAranda2022_Curated
	hspR	SCO3668	Putative heat shock protein HspR	dnaJ	SCO3669	IVT, S1	IVTA	repression	Strong	9324243	10.1128/jb.179.19.5999-6004.1997	1997		SC_RS20475	SC_RS20480	ZorroAranda2022_Curated
