GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj	comparison	direction
GO:0015934	9	9	0.006939090208172706	0.0018575851393188853	3.7355435620663067	6.917732159544737e-6	1.8159046918804936e-4	T3vsT1	Down
GO:0006260	17	25	0.013107170393215111	0.005159958720330237	2.5401696222050885	1.8745184934994023e-5	4.3738764848319387e-4	T3vsT1	Down
GO:0009236	14	19	0.01079414032382421	0.00392156862745098	2.7525057825751733	2.5912602333056098e-5	4.542814064973339e-4	T3vsT1	Down
GO:0006189	8	8	0.006168080185042405	0.001651186790505676	3.7355435620663067	2.5958937514133367e-5	4.542814064973339e-4	T3vsT1	Down
GO:0015986	8	8	0.006168080185042405	0.001651186790505676	3.7355435620663067	2.5958937514133367e-5	4.542814064973339e-4	T3vsT1	Down
GO:0006364	7	7	0.005397070161912105	0.0014447884416924665	3.7355435620663067	9.73560772816877e-5	0.0015726750945503397	T3vsT1	Down
GO:0006281	20	36	0.015420200462606014	0.007430340557275541	2.0753019789257263	2.310725100200175e-4	0.0034660876503002625	T3vsT1	Down
GO:0015935	6	6	0.004626060138781804	0.001238390092879257	3.7355435620663067	3.649156142262487e-4	0.004789517436719514	T3vsT1	Down
GO:0046933	6	6	0.004626060138781804	0.001238390092879257	3.7355435620663067	3.649156142262487e-4	0.004789517436719514	T3vsT1	Down
GO:0003676	31	67	0.023901310717039322	0.013828689370485037	1.7283858272247092	4.3928786757204677e-4	0.005426497187654695	T3vsT1	Down
GO:0045259	7	8	0.005397070161912105	0.001651186790505676	3.2686006168080186	5.971360556545684e-4	0.0069665873159699635	T3vsT1	Down
GO:0003924	16	28	0.01233616037008481	0.005779153766769866	2.1345963211807466	6.449336942375043e-4	0.007061200438478545	T3vsT1	Down
GO:0000105	8	10	0.006168080185042405	0.0020639834881320948	2.9884348496530455	6.810614492793221e-4	0.007061200438478545	T3vsT1	Down
GO:0005525	21	41	0.016191210485736313	0.00846233230134159	1.9133271903266447	7.061200438478546e-4	0.007061200438478545	T3vsT1	Down
GO:0008173	5	5	0.0038550501156515036	0.0010319917440660474	3.735543562066307	0.0013670213412190733	0.010858904875438433	T3vsT1	Down
GO:0022625	5	5	0.0038550501156515036	0.0010319917440660474	3.735543562066307	0.0013670213412190733	0.010858904875438433	T3vsT1	Down
GO:0006006	5	5	0.0038550501156515036	0.0010319917440660474	3.735543562066307	0.0013670213412190733	0.010858904875438433	T3vsT1	Down
GO:0006265	5	5	0.0038550501156515036	0.0010319917440660474	3.735543562066307	0.0013670213412190733	0.010858904875438433	T3vsT1	Down
GO:0006096	10	15	0.007710100231303007	0.0030959752321981426	2.4903623747108714	0.0013961449125563699	0.010858904875438433	T3vsT1	Down
GO:0009306	10	15	0.007710100231303007	0.0030959752321981426	2.4903623747108714	0.0013961449125563699	0.010858904875438433	T3vsT1	Down
GO:0008360	9	13	0.006939090208172706	0.0026831785345717233	2.5861455429689815	0.001662454835306767	0.012468411264800753	T3vsT1	Down
