locus_tag	product	category	T1_expr	T2_expr	T3_expr	site_count_corr_rho	evidence_score	evidence_items	protein_id
SC_RS39225	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	1441.8953322015566	2409.833499770923	563.7744877590336	0.5	6	Not Dcm-like (5mC); Strong T1 expression (1442); Not RNA/protein/metabolite MTase	WP_003971739.1
SC_RS18645	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	308.0411062263118	328.60365636548573	142.14434885705433	0.5	6	Not Dcm-like (5mC); Strong T1 expression (308); Not RNA/protein/metabolite MTase	WP_011028899.1
SC_RS17645	N-6 DNA methylase	N-6 adenine DNA MTase	245.1053184178421	51.73774494986095	145.13814106419088	0.5	6	DNA-related annotation; Not Dcm-like (5mC); Strong T1 expression (245); Not RNA/protein/metabolite MTase; PENALTY: N6-adenine specific	WP_011028768.1
SC_RS06060	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	62.43704497651466	29.81542135341711	49.00939346650341	0.5	5	Not Dcm-like (5mC); Moderate T1 expression (62); Not RNA/protein/metabolite MTase	WP_003978033.1
SC_RS13590	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	131.89033567155357	272.6568383265366	138.36983327431506	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (132); Not RNA/protein/metabolite MTase	WP_003976501.1
SC_RS14675	SCO2525 family SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	103.29157732666576	545.171526841508	775.7623264110247	-1.0	5	Not Dcm-like (5mC); Moderate T1 expression (103); Not RNA/protein/metabolite MTase	WP_003976278.1
SC_RS12910	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	76.78990510339129	30.93402759714095	42.965475288281105	0.5	5	Not Dcm-like (5mC); Moderate T1 expression (77); Not RNA/protein/metabolite MTase	WP_037897775.1
SC_RS36850	methyltransferase%2C FxLD system	FxLD system MTase	62.73149326035269	179.2027880970338	1171.5675202171665	-1.0	5	Not Dcm-like (5mC); Moderate T1 expression (63); Not RNA/protein/metabolite MTase	WP_011031310.1
SC_RS36945	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	150.74422508337818	265.2639424224678	464.4990124904198	-1.0	5	Not Dcm-like (5mC); Moderate T1 expression (151); Not RNA/protein/metabolite MTase	WP_134111936.1
SC_RS23200	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	88.26492427741964	36.82396125887368	58.92184245716262	0.5	5	Not Dcm-like (5mC); Moderate T1 expression (88); Not RNA/protein/metabolite MTase	WP_003974768.1
SC_RS27295	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	76.89106259099084	86.03599137398534	62.70315657739709	0.5	5	Not Dcm-like (5mC); Moderate T1 expression (77); Not RNA/protein/metabolite MTase	WP_011030011.1
SC_RS41210	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	64.05272971621837	378.4907302979939	173.82597182526536	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (64); Not RNA/protein/metabolite MTase	WP_011031934.1
SC_RS07760	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	61.90721241142697	135.27359913324997	82.92777336178749	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (62); Not RNA/protein/metabolite MTase	WP_011027620.1
SC_RS06595	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	79.1924294973838	507.9460971821864	191.87049395257205	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (79); Not RNA/protein/metabolite MTase	WP_011027452.1
SC_RS03935	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	145.09353927696654	1388.6796673732676	730.6619443371713	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (145); Not RNA/protein/metabolite MTase	WP_011027090.1
SC_RS40100	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	76.96872199173879	314.9457370284834	203.3960183132117	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (77); Not RNA/protein/metabolite MTase	WP_011031761.1
SC_RS34935	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	69.78482548117832	143.234093686031	115.7184475713726	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (70); Not RNA/protein/metabolite MTase	WP_003972431.1
SC_RS34875	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	78.65714720336571	97.05387849975244	88.0266042285549	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (79); Not RNA/protein/metabolite MTase	WP_003972443.1
SC_RS40280	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	130.1679556614349	1019.7792761410768	126.9788940847609	0.5	5	Not Dcm-like (5mC); Moderate T1 expression (130); Not RNA/protein/metabolite MTase	WP_003971527.1
SC_RS34900	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	74.68853514707666	112.0960356032448	99.88760106901609	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (75); Not RNA/protein/metabolite MTase	WP_003972438.1
SC_RS26520	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	173.24548613255988	914.4964954267158	352.6583553098513	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (173); Not RNA/protein/metabolite MTase	WP_011029918.1
SC_RS41180	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	85.1752851840583	237.8677599390039	160.81426349835647	-0.5	5	Not Dcm-like (5mC); Moderate T1 expression (85); Not RNA/protein/metabolite MTase	WP_011031927.1
SC_RS25950	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	146.92342823618904	45.88012132160341	74.81766565009978	0.5	5	Not Dcm-like (5mC); Moderate T1 expression (147); Not RNA/protein/metabolite MTase	WP_161270170.1
SC_RS03870	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	4.51792551197752	5494.771971843066	2827.1804614913076	-0.5	4	Not Dcm-like (5mC); Low T1 expression (5); Not RNA/protein/metabolite MTase	WP_011027081.1
SC_RS06105	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	11.02918123106017	18.81794053353983	40.26226783959407	-1.0	4	Not Dcm-like (5mC); Low T1 expression (11); Not RNA/protein/metabolite MTase	WP_003978024.1
SC_RS34620	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	6.4331535721141035	33.97108377347696	57.44648388025356	-1.0	4	Not Dcm-like (5mC); Low T1 expression (6); Not RNA/protein/metabolite MTase	WP_011030956.1
SC_RS15340	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	15.874624332926292	21.41684792278367	49.83970999941937	-1.0	4	Not Dcm-like (5mC); Low T1 expression (16); Not RNA/protein/metabolite MTase	WP_011028485.1
SC_RS26525	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	32.317954958256784	2316.523336968715	491.8559784331556	-0.5	4	Not Dcm-like (5mC); Low T1 expression (32); Not RNA/protein/metabolite MTase	WP_011029919.1
SC_RS35235	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	39.79272530262506	94.76419197391176	70.53881129251475	-0.5	4	Not Dcm-like (5mC); Low T1 expression (40); Not RNA/protein/metabolite MTase	WP_011031037.1
SC_RS05160	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	25.218954802389757	119.53970526596412	153.18435838750258	-1.0	4	Not Dcm-like (5mC); Low T1 expression (25); Not RNA/protein/metabolite MTase	WP_011027271.1
SC_RS31720	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	18.154811177588417	288.9527732118817	682.9348413354861	-1.0	4	Not Dcm-like (5mC); Low T1 expression (18); Not RNA/protein/metabolite MTase	WP_003973125.1
SC_RS08355	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	1.7096933272428128	5.992347310633291	48.8874044278973	-1.0	4	Not Dcm-like (5mC); Low T1 expression (2); Not RNA/protein/metabolite MTase	WP_003977552.1
SC_RS34410	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	3.288379618530185	11.710006009012112	110.97633410037578	-1.0	4	Not Dcm-like (5mC); Low T1 expression (3); Not RNA/protein/metabolite MTase	WP_011030923.1
SC_RS39430	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	9.112165945908478	13.40093021102004	50.819358868313394	-1.0	4	Not Dcm-like (5mC); Low T1 expression (9); Not RNA/protein/metabolite MTase	WP_011031670.1
SC_RS40630	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	3.807400779642164	7.011316634313949	35.74977542853039	-1.0	4	Not Dcm-like (5mC); Low T1 expression (4); Not RNA/protein/metabolite MTase	WP_003971452.1
SC_RS04895	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	15.989812982196232	31.71641410072912	53.484337844051986	-1.0	4	Not Dcm-like (5mC); Low T1 expression (16); Not RNA/protein/metabolite MTase	WP_011027230.1
SC_RS02900	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	46.97384480171146	72.89396029640932	47.69004033379665	-0.5	4	Not Dcm-like (5mC); Low T1 expression (47); Not RNA/protein/metabolite MTase	WP_011026914.1
SC_RS27630	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	18.6986749043465	33.10367089704861	675.4749683247163	-1.0	4	Not Dcm-like (5mC); Low T1 expression (19); Not RNA/protein/metabolite MTase	WP_011030052.1
SC_RS18820	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	38.35987464751967	132.2068372605639	114.67041581325002	-0.5	4	Not Dcm-like (5mC); Low T1 expression (38); Not RNA/protein/metabolite MTase	WP_011028920.1
SC_RS18190	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	13.610255874949674	1500.7779583572349	919.5250530090974	-0.5	4	Not Dcm-like (5mC); Low T1 expression (14); Not RNA/protein/metabolite MTase	WP_016326468.1
SC_RS40760	SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	22.235037433117174	461.0211166825376	330.53472990359415	-0.5	4	Not Dcm-like (5mC); Low T1 expression (22); Not RNA/protein/metabolite MTase	WP_011031850.1
SC_RS39465	methyltransferase	MTase (general)	14.18074939236898	65.35485167508368	59.352310756254475	-0.5	4	Not Dcm-like (5mC); Low T1 expression (14); Not RNA/protein/metabolite MTase	WP_003971690.1
SC_RS20850	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	16.765841232509306	16.253807696416754	41.2555932863338	-0.5	4	Not Dcm-like (5mC); Low T1 expression (17); Not RNA/protein/metabolite MTase	WP_011029204.1
SC_RS30165	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	36.63356549503521	582.5761320722996	328.9967761741212	-0.5	4	Not Dcm-like (5mC); Low T1 expression (37); Not RNA/protein/metabolite MTase	WP_011030324.1
SC_RS06935	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	19.01939828651021	2020.5220370418629	757.4690295540325	-0.5	4	Not Dcm-like (5mC); Low T1 expression (19); Not RNA/protein/metabolite MTase	WP_011027504.1
SC_RS37505	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	31.293943797703218	96.23671744404346	46.86340057470949	-0.5	4	Not Dcm-like (5mC); Low T1 expression (31); Not RNA/protein/metabolite MTase	WP_003972089.1
SC_RS11995	class I SAM-dependent methyltransferase	SAM-dependent MTase (unclassified)	48.64064720538695	874.0108619697036	420.3633311899227	-0.5	4	Not Dcm-like (5mC); Low T1 expression (49); Not RNA/protein/metabolite MTase	WP_011028084.1
SC_RS19770	DNA cytosine methyltransferase	DNA cytosine MTase (Dcm-like, 5mC)	11.04321239273056	4.593498996940218	62.12948389870852	-0.5	3	DNA MTase annotation; PENALTY: Dcm-like (5mC); Low T1 expression (11); Not RNA/protein/metabolite MTase	WP_254613693.1
SC_RS36410	DNA cytosine methyltransferase	DNA cytosine MTase (Dcm-like, 5mC)	1.3465217677323842	4.245930040402993	64.9063069631264	-1.0	3	DNA MTase annotation; PENALTY: Dcm-like (5mC); Low T1 expression (1); Not RNA/protein/metabolite MTase	WP_011031229.1
SC_RS32600	damage-control phosphatase ARMT1 family protein	N-6 adenine DNA MTase	66.37000306318187	85.03687384501063	100.4782212366079	-1.0	3	Not Dcm-like (5mC); Moderate T1 expression (66); Not RNA/protein/metabolite MTase; PENALTY: N6-adenine specific	WP_134111906.1
