bgc_name	gene_id	old_locus_tag	gene_name	product	role	is_regulator	regulator_name	log2FoldChange_3_vs_1	padj_3_vs_1	log2FoldChange_2_vs_1	log2FoldChange_3_vs_2	key_reason
cpk	SC_RS33645	SCO6279	NA	aspartate aminotransferase family protein	biosynthesis	FALSE	NA	9.299722888012685	1.7466555249279054e-145	9.951288528273752	-0.6120597169655856	top_LFC
cpk	SC_RS33630	SCO6276	NA	FAD-dependent oxidoreductase	biosynthesis	FALSE	NA	8.98585991714293	2.0220359436207404e-140	9.41878026292338	-0.4023010071504949	top_LFC
cpk	SC_RS33640	SCO6278	NA	MFS transporter	biosynthesis	FALSE	NA	8.51532413906426	3.817527508228639e-151	9.065715089774365	-0.5118944450744466	top_LFC
cpk	SC_RS33665	SCO6283	NA	NAD(P)H-binding protein	biosynthesis	FALSE	NA	7.810372137471163	4.777317370624827e-151	8.67543512608767	-0.8223054325768173	top_LFC
cpk	SC_RS33680	SCO6286	NA	ScbR family autoregulator-binding transcription factor	regulator	TRUE	scbR2	5.492916450310016	1.3724821712347963e-111	5.710584198462153	-0.2076831692691782	regulator
cpk	SC_RS33650	SCO6280	NA	AfsR/SARP family transcriptional regulator	biosynthesis	TRUE	NA	5.210139159581922	2.4175569255900162e-91	7.177587903839435	-1.9240330058261077	regulator
cpk	SC_RS33690	SCO6288	NA	AfsR/SARP family transcriptional regulator	biosynthesis	TRUE	NA	3.895702317599557	2.0677326490173096e-32	4.557470549862644	-0.6369135989384406	regulator
red	SC_RS31690	SCO5889	NA	acyl carrier protein	biosynthesis	FALSE	NA	9.830746061520086	5.727139296037209e-13	7.561370501910009	1.808321355586065	top_LFC
red	SC_RS31680	SCO5887	NA	acyl carrier protein	biosynthesis	FALSE	NA	5.814790459281897	1.447926655145322e-55	4.198226737549501	1.5404222208797602	top_LFC
red	SC_RS31675	SCO5886	NA	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	biosynthesis	FALSE	NA	5.801140494553172	5.767809347952495e-87	4.513731158140328	1.23443291343564	top_LFC
red	SC_RS31710	SCO5893	NA	NAD-dependent epimerase/dehydratase family protein	biosynthesis	FALSE	NA	5.42110339646465	2.5880398286825908e-48	3.756519148237988	1.5941059628725398	top_LFC
red	SC_RS31660	SCO5883	NA	4'-phosphopantetheinyl transferase family protein	biosynthesis	FALSE	NA	5.419294395121746	1.0535332326799666e-36	3.918657768623064	1.4301819612510047	top_LFC
red	SC_RS31630	SCO5877	NA	AfsR/SARP family transcriptional regulator	regulator	TRUE	redD	4.998883834533164	3.458716656384043e-65	5.7894075874883155	-0.7498722581039922	regulator
red	SC_RS31650	SCO5881	NA	response regulator transcription factor	regulator	TRUE	redZ	0.9663293723417876	6.189143763629263e-6	0.9068138863503556	0.0582768238324108	regulator
