occ2k	LFC_T2vsT1	region
0.0	-2.255676468319754	0
92.44	-2.6883283430955105	0
0.0	0.1921935445623061	0
67.4	-1.6647958011309871	0
68.7	0.7716057510507088	0
68.7	-1.4405098999168529	0
0.0	0.9790335327089884	0
86.82	-0.5700864403485099	0
86.17	-0.077592220658129	0
0.0	1.6409972826263803	0
55.56	-2.3725358434839876	0
55.56	-1.9488646736231008	0
0.0	-0.0630703143802155	0
0.0	-0.6543999853750554	0
0.0	-0.3804500103303346	0
0.0	-0.8969639021342686	0
0.0	-2.977392970203959	0
0.0	-2.5294364079004064	0
79.76	-0.815121140869563	0
80.87	-0.1181709699434179	0
0.0	-0.1787664520921113	0
0.0	1.6135899470826145	0
95.43	-0.4842994051656971	0
88.97	0.3569532851932374	0
97.96	-1.9816848725882763	0
0.0	-0.7124015676636655	0
0.0	-1.4546100083291085	0
0.0	-1.689320142587379	0
86.51	0.2650411061157262	0
92.65	-2.113509805084437	0
0.0	-0.8190349772649134	0
0.0	-0.9196781120779796	0
0.0	-1.5900098316657134	0
0.0	-1.1607399411922024	0
0.0	-1.5782501827848514	0
0.0	-1.291859747883198	0
86.45	-0.5571879142795835	0
89.37	-0.5505951232293238	0
60.99	1.4546917486403483	0
60.99	-0.7328712147614266	0
88.01	0.0259296739973166	0
156.75	-0.9848827772212636	0
74.46	-1.41309872658276	0
88.36	-1.0299852523159492	0
0.0	0.9503499478847856	0
0.0	-1.033989369929107	0
0.0	0.3829377253108014	0
0.0	-0.6162868378144991	0
92.04	0.5081868185176802	0
0.0	0.513765027513466	0
92.04	-3.79957961958281	0
89.86	-1.4495787880375135	0
89.86	-1.725259042101795	0
89.05	0.6738200007536261	0
0.0	-0.3825600155514074	0
0.0	-0.338435550376403	0
0.0	-0.6017095256636185	0
0.0	-0.690793184596513	0
0.0	-0.0261795784401953	0
69.09	-1.610509703085793	0
0.0	-0.8893410313158754	0
0.0	0.7276872848626493	0
0.0	-1.1446575036612223	0
0.0	-1.3385634696082236	0
0.0	-0.947355324671142	0
0.0	-0.1462933334901156	0
82.13	-1.302338605228163	0
82.13	2.189284616325434	0
87.18	0.4142537861914759	0
88.33	-1.857767252222544	0
155.84	-1.3933113218235125	0
62.82	3.08957851226659	0
89.55	4.227598677186286	0
89.55	-1.122084319292714	0
0.0	3.061620218018283	0
0.0	-0.5129905995436999	0
0.0	-2.344321338779997	0
0.0	-2.4415418950839083	0
0.0	-2.6877433042707	0
176.88	-1.1232797760643776	0
0.0	4.0059313971641	0
0.0	0.4800328681855517	0
0.0	-0.7638015556801351	0
85.64	-2.074023651119372	0
80.5	-2.668446171977565	0
0.0	-1.179731054881152	0
0.0	-2.2152124543258744	0
0.0	-1.611900730732057	0
84.7	-0.5275166844056618	0
84.7	-0.7923482171218507	0
