region_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
core_regulatory	2700.0	0.49373040752351094	0.3605015673981191	0.6349921630094041	638
core_regulatory	2900.0	0.5172413793103448	0.37617554858934166	0.6661442006269592	638
core_regulatory	3100.0	0.5094043887147335	0.39184952978056425	0.634796238244514	638
core_regulatory	3300.0	0.5642633228840125	0.4230015673981191	0.713166144200627	638
core_regulatory	3500.0	0.45454545454545453	0.329153605015674	0.579937304075235	638
core_regulatory	3700.0	0.5407523510971787	0.39184952978056425	0.713166144200627	638
core_regulatory	3900.0	0.5407523510971787	0.4075235109717868	0.6818181818181818	638
core_regulatory	4100.0	0.6269592476489028	0.47021943573667707	0.799373040752351	638
core_regulatory	4300.0	0.5015673981191222	0.37617554858934166	0.6504702194357367	638
core_regulatory	4500.0	0.5956112852664577	0.43867554858934166	0.7682210031347959	638
core_regulatory	4700.0	0.39184952978056425	0.28213166144200624	0.5094043887147335	638
core_regulatory	4900.0	0.49373040752351094	0.38381661442006265	0.6269592476489028	638
core_non_regulatory	-4900.0	0.5641978175063849	0.5119282563269096	0.6268864638959832	4307
core_non_regulatory	-4700.0	0.5316925934525191	0.47710123055491055	0.5897376364058509	4307
core_non_regulatory	-4500.0	0.509635477130253	0.45855583933132105	0.5596122591130717	4307
core_non_regulatory	-4300.0	0.5235662874390526	0.47475040631530063	0.5792895286742512	4307
core_non_regulatory	-4100.0	0.5073136754121198	0.4562050150917111	0.5618760157882516	4307
core_non_regulatory	-3900.0	0.5235662874390526	0.46784304620385414	0.5781576503366611	4307
core_non_regulatory	-3700.0	0.49338286510332013	0.44462502902252143	0.5444625029022521	4307
core_non_regulatory	-3500.0	0.5363361968887856	0.48177385651265375	0.5967030415602507	4307
core_non_regulatory	-3300.0	0.5049918736939865	0.45504411423264446	0.5549106106338518	4307
core_non_regulatory	-3100.0	0.5433016020431854	0.48754933828651026	0.599024843278384	4307
core_non_regulatory	-2900.0	0.4794520547945205	0.42605061527745525	0.5374970977478523	4307
core_non_regulatory	-2700.0	0.5258880891571859	0.47132574878105404	0.5874158346877176	4307
core_non_regulatory	-2500.0	0.5131181797074529	0.46203854190852095	0.5676805200835848	4307
core_non_regulatory	-2300.0	0.5398188994659856	0.4887102391455769	0.5955711632226607	4307
core_non_regulatory	-2100.0	0.47713025307638723	0.42950429533317847	0.5282098908753192	4307
core_non_regulatory	-1900.0	0.6164383561643835	0.5560715114929184	0.6733515207801253	4307
core_non_regulatory	-1700.0	0.5131181797074529	0.46552124448572085	0.5642268400278615	4307
