locus_tag	is_coordinated	coordination_primary	region	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1
SC_RS06975	False	non_coordinated	arm	0	0	0	1.075371051480272
SC_RS07000	True	concordant_repression	arm	2	3	1	0.1164734698130901
SC_RS07005	False	non_coordinated	arm	2	3	1	-1.263941082403715
SC_RS07015	False	non_coordinated	arm	0	1	1	0.9149011866957036
SC_RS07085	False	non_coordinated	arm	1	1	0	-1.5092560605737335
SC_RS07125	False	non_coordinated	arm	2	3	1	-0.3767031095001331
SC_RS07150	False	non_coordinated	arm	1	4	3	0.5631196363635875
SC_RS07170	False	non_coordinated	arm	1	1	0	-0.8010754312122149
SC_RS07215	True	concordant_derepression	arm	7	5	-2	0.3469446698179995
SC_RS07255	False	non_coordinated	arm	0	0	0	-0.3581513157215901
SC_RS07285	False	non_coordinated	arm	1	1	0	-0.3715703654838271
SC_RS07300	False	non_coordinated	arm	2	3	1	1.3089483590641795
SC_RS07310	False	non_coordinated	arm	0	1	1	0.8094142650653717
SC_RS07315	False	non_coordinated	arm	0	0	0	-0.566215545018939
SC_RS07340	False	non_coordinated	arm	0	1	1	-1.4536073413690946
SC_RS07345	False	non_coordinated	arm	0	1	1	0.0258307180240285
SC_RS07425	False	non_coordinated	arm	0	0	0	-1.0576162161470033
SC_RS07440	False	non_coordinated	arm	7	7	0	-0.8251659163488642
SC_RS07470	False	non_coordinated	arm	2	1	-1	-0.9587805541847187
SC_RS07490	False	non_coordinated	arm	0	1	1	0.4849380573690511
SC_RS07505	False	non_coordinated	arm	3	4	1	-1.2286683147129265
SC_RS07545	False	non_coordinated	arm	2	4	2	-1.8153785651929175
SC_RS07560	False	non_coordinated	arm	0	3	3	-0.214480792072109
SC_RS07625	False	non_coordinated	arm	1	1	0	-0.0180939979031007
SC_RS07630	False	non_coordinated	arm	1	1	0	-1.3523461847775713
SC_RS07635	False	non_coordinated	arm	1	1	0	-1.1916448239528148
SC_RS07675	False	non_coordinated	arm	0	0	0	-2.2093926846049423
SC_RS07750	True	discordant_gain_up	arm	0	2	2	6.811744535398193
SC_RS07805	False	non_coordinated	arm	0	2	2	-0.2629738932683965
SC_RS07840	False	non_coordinated	arm	1	1	0	-0.205246152755252
SC_RS07885	False	non_coordinated	arm	2	2	0	-0.7473344152774578
SC_RS07910	True	concordant_repression	arm	1	4	3	-2.8247283435391974
SC_RS07920	False	non_coordinated	arm	1	5	4	-0.6833446797731827
SC_RS07955	False	non_coordinated	arm	1	0	-1	0.2647908756922827
SC_RS07985	False	non_coordinated	arm	0	4	4	2.425670168641166
SC_RS08005	False	non_coordinated	arm	5	7	2	-1.2241958779201516
SC_RS08040	False	non_coordinated	arm	2	1	-1	-0.1407520079624841
SC_RS08055	False	non_coordinated	arm	2	3	1	-0.1934556509338861
SC_RS08060	False	non_coordinated	arm	2	3	1	1.4546795036848732
SC_RS08090	True	discordant_gain_up	arm	0	1	1	4.584810932372193
SC_RS08165	False	non_coordinated	arm	0	0	0	1.0992593010195535
SC_RS08255	False	non_coordinated	arm	0	0	0	-0.7431294343976119
SC_RS08260	False	non_coordinated	arm	0	0	0	-0.4494711008514079
SC_RS08265	False	non_coordinated	arm	0	0	0	-0.3436851068784765
SC_RS08270	False	non_coordinated	arm	0	0	0	1.0165282503315765
SC_RS08275	False	non_coordinated	arm	0	0	0	0.3876920590452278
SC_RS08340	False	non_coordinated	arm	3	4	1	0.8379967993056319
SC_RS08405	False	non_coordinated	arm	0	2	2	2.1282375869249344
SC_RS08435	False	non_coordinated	arm	4	4	0	0.0994077549945447
SC_RS08460	False	non_coordinated	arm	2	2	0	-1.1035380512535544
SC_RS08510	False	non_coordinated	arm	1	1	0	-0.5306665012862575
SC_RS08525	False	non_coordinated	arm	2	0	-2	-0.8869992434892832
