gene_id	old_locus_tag	gene_name	product	regulator_name	regulator_type	known_name	is_known	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr	log2FC_3_vs_1	padj_3_vs_1	mean_rlog_1	mean_rlog_2	mean_rlog_3	delta_2_vs_1	delta_3_vs_2	delta_3_vs_1	phase_preference	abs_log2FC_3_vs_1	max_abs_corr	act_specificity	mid_mean_corr	is_SARP	SARP_subtype
SC_RS13105	SCO2215	NA	sensor histidine kinase	NA	NA	NA	FALSE	-0.2505671139669667	-0.08671992449378263	0.04460213807331437	0.07277075106810944	0.2505671139669667	0.08671992449378263	0.04460213807331437	0.07277075106810944	0	0.11366498190054328	0.11848887228342248	0.6753200290614834	6.2553586319531576	6.456128670216736	6.353562732207473	0.2007700382635784	-0.1025659380092634	0.09820410025431504	stable	0.11848887228342248	0.2505671139669667	0.16384718947318405	0.06803093787840214	FALSE	NA
SC_RS13110	SCO2216	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.7983164216732934	-0.2931963696694166	0.05371049821528434	0.3117288780616395	0.7983164216732934	0.2931963696694166	0.05371049821528434	0.3117288780616395	0	0.3642380419049085	-0.6501962037044502	0.0051215546329096	6.397410783514503	7.093745961918478	5.757979848301342	0.6963351784039755	-1.3357661136171366	-0.6394309352131611	late	0.6501962037044502	0.7983164216732934	0.4865875436116539	0.21954524864878017	FALSE	NA
SC_RS13125	SCO2219	NA	tetratricopeptide repeat protein	NA	NA	NA	FALSE	-0.3631276037985358	0.2852517974944583	0.5827994040372246	0.781785798208271	0.3631276037985358	0.2852517974944583	0.5827994040372246	0.781785798208271	0	0.5032411508846224	0.01405324387996034	0.9450889252311052	7.889091633035062	8.935106846763576	7.896953671196504	1.0460152137285137	-1.0381531755670723	0.00786203816144137	both	0.01405324387996034	0.781785798208271	-0.4186581944097352	0.5499456665799847	FALSE	NA
SC_RS13145	SCO2223	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.27591052217791573	-0.7933765232182803	-0.9494580797285288	-0.9531392026238332	0.27591052217791573	0.7933765232182803	0.9494580797285288	0.9531392026238332	2	0.7429710819371396	-1.9735548451329563	7.098317130464676e-18	7.510817047910968	4.999202321199671	5.599350676813565	-2.511614726711297	0.6001483556138938	-1.9114663710974031	early_mid	1.9735548451329563	0.9531392026238332	-0.6772286804459176	0.8986579351902142	FALSE	NA
SC_RS13190	SCO2232	NA	LacI family DNA-binding transcriptional regulator	NA	NA	NA	FALSE	-0.5289397720776836	-0.8812825493587094	-0.9175675078036658	-0.8354954876575845	0.5289397720776836	0.8812825493587094	0.9175675078036658	0.8354954876575845	1	0.7908213292244108	-3.014788749218442	1.4272065137458624e-70	10.599742813395098	8.013445412521255	7.672910197533473	-2.586297400873842	-0.3405352149877823	-2.926832615861625	early_mid	3.014788749218442	0.9175675078036658	-0.3886277357259822	0.8781151816066531	FALSE	NA
SC_RS13245	SCO2243	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.435712483207054	-0.8355857216081596	-0.9052544842911718	-0.8524447675108054	0.435712483207054	0.8355857216081596	0.9052544842911718	0.8524447675108054	1	0.7572493641542977	-2.231593541293908	3.904207761853009e-34	9.58714483833681	7.425068496930929	7.410814028680217	-2.1620763414058812	-0.01425446825071219	-2.1763308096565934	early_mid	2.231593541293908	0.9052544842911718	-0.4695420010841178	0.8644283244700456	FALSE	NA
SC_RS13320	SCO2259	NA	BTAD domain-containing putative transcriptional regulator	NA	NA	NA	FALSE	-0.6672204885470973	-0.9214926221722296	-0.8912595980528886	-0.7683577472878296	0.6672204885470973	0.9214926221722296	0.8912595980528886	0.7683577472878296	1	0.8120826140150113	-0.5392140257905679	9.575608781495116e-5	9.38745741864672	9.012531371403716	8.858900146773616	-0.3749260472430027	-0.15363122463010015	-0.5285572718731029	stable	0.5392140257905679	0.9214926221722296	-0.25427213362513235	0.8603699891709825	TRUE	small_long
SC_RS13425	SCO2280	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.4507581895578583	-0.8839436164066091	-0.954336450206839	-0.9197438479338614	0.4507581895578583	0.8839436164066091	0.954336450206839	0.9197438479338614	2	0.802195526026292	-0.9867905897256142	2.3680696510860657e-6	7.286300994487218	6.26394027341967	6.31233606623567	-1.0223607210675478	0.0483957928159997	-0.973964928251548	early_mid	0.9867905897256142	0.954336450206839	-0.5035782606489807	0.9193413048491031	FALSE	NA
SC_RS13430	SCO2281	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.7711906376708705	-0.9512375280705152	-0.8704757555427785	-0.7182207787894278	0.7711906376708705	0.9512375280705152	0.8704757555427785	0.7182207787894278	1	0.827781175018398	-1.5733353252401	5.062834089458545e-15	7.583524717738792	6.6419552306283025	6.048261069202049	-0.94156948711049	-0.5936941614262539	-1.535263648536744	early_mid	1.5733353252401	0.9512375280705152	-0.18004689039964472	0.8466446874675738	FALSE	NA
SC_RS13500	SCO2294	NA	AraC family transcriptional regulator	NA	NA	NA	FALSE	0.812327114960444	0.8181490682513929	0.6750708004656294	0.4805218774664613	0.812327114960444	0.8181490682513929	0.6750708004656294	0.4805218774664613	0	0.6965172152859819	1.8131433983272829	3.725674503197652e-10	4.9552112586716275	5.661323278993922	6.786813116333121	0.7061120203222941	1.1254898373391995	1.831601857661494	late	1.8131433983272829	0.8181490682513929	-0.00582195329094892	0.6579139153944945	FALSE	NA
