gene_id	baseMean	LFC_T2vsT1	padj_T2vsT1	LFC_T3vsT1	padj_T3vsT1	category	exclusive_group	temporal_class
SC_RS24000	1568.8386187636818	1.5940988141154164	3.680103880350867e-12	0.0881943808150178	0.7148541048697671	Other	GCCGGC-only	T2-up (transient)
SC_RS24005	384.6648445174558	1.5716391375355898	1.8459126669493713e-18	1.1749069365458822	5.074380473612944e-11	Other	GCCGGC-only	Sustained up
SC_RS24010	43.12435425666949	2.3068481604290745	5.327477847833015e-07	3.8724101343458703	4.896593922729792e-18	Primary metabolism	GCCGGC-only	Monotonic increasing
SC_RS24015	219.8803388169877	-2.9687738586650108	1.441901203747359e-48	-1.5564902544725925	5.064943093316919e-19	Other	GCCGGC-only	Sustained down
SC_RS24025	149.6138328029049	-2.0573029565048944	2.4793858139217897e-23	-1.8692009450000555	1.3315682491578969e-21	Other	GCCGGC-only	Sustained down
SC_RS24030	35.0123378535384	-1.932640024399233	7.977800437917767e-07	-0.5947644456110931	0.067333055300533	Other	GCCGGC-only	T2-down (transient)
SC_RS24035	48.55681161980128	-1.263385501915648	5.0772614772855054e-05	-1.0004225556564412	0.0005759690217848638	Primary metabolism	GCCGGC-only	Sustained down
SC_RS24040	243.14778996379417	-2.2949687941938985	2.1719740707975637e-36	-2.6433051863887136	1.425675094808941e-48	Transport	GCCGGC-only	Monotonic decreasing
SC_RS24045	46.20003882036629	-0.6199664084786574	0.0514751667600391	0.0875689173940949	0.7721535719259369	Regulatory/TF	GCCGGC-only	Constitutive
SC_RS24050	76.55349258596787	-0.7314619333604269	0.0146742332411208	-0.310695020956867	0.2754723965755747	Hypothetical	GCCGGC-only	Constitutive
SC_RS24055	684.9092026064513	-1.1761712008905554	3.8499746086384205e-10	-1.6701178671767078	4.460337203844665e-19	Primary metabolism	GCCGGC-only	Monotonic decreasing
SC_RS24060	12.263211586597514	-0.3803994025106663	0.4892665978257007	1.6498979162850416	0.0014929079148653	Other	GCCGGC-only	T3-up (late)
SC_RS24065	27.676998782412923	0.5401864538943656	0.2592873916814072	2.9500608912948794	2.2269804979099068e-10	Other	GCCGGC-only	T3-up (late)
SC_RS24070	30.613481216910372	0.540210881122473	0.2421100780894144	2.4374570998094662	6.335430687963122e-08	Other	Background	T3-up (late)
SC_RS24075	35.96621379152876	1.01095778698066	0.02306697469634	3.0354557927966166	3.2370161656556945e-12	Other	Background	Monotonic increasing
SC_RS24080	28.07366682781473	0.5180594104346876	0.255506733045943	2.4034447934767464	4.4359143417620293e-08	Primary metabolism	Background	T3-up (late)
SC_RS24085	33.5532939827842	0.1113098308454817	0.8044301563939	1.953218940179695	4.317008795312466e-07	DNA/RNA metabolism	Background	T3-up (late)
SC_RS24090	12.228797508221229	0.2993573709462446	0.5819046564401832	2.007910200692774	0.00022460994225284857	Other	Background	T3-up (late)
SC_RS24095	52.15978007230122	-2.7171538434367855	6.040691091719599e-15	-1.6116680765838485	3.341399235644033e-08	Regulatory/TF	Background	Sustained down
SC_RS24100	46.754696257606845	-1.4518317248248536	1.216758339355692e-05	-0.7536003105354198	0.0117383467189076	Hypothetical	Background	T2-down (transient)
SC_RS24105	261.37980992905386	-0.3620234823204343	0.0801083342795031	-0.8667075310688682	1.2080981758593446e-05	Primary metabolism	Background	Constitutive
SC_RS24110	197.9764332095816	-1.9148067146847445	1.6742932132660768e-21	-0.5635586965309941	0.0019775572033859	Secondary metabolism	Background	T2-down (transient)
SC_RS24115	141.5493199687461	-0.8634348155404714	0.00010194361226102374	-1.2748410692550014	6.1015239792531475e-09	Primary metabolism	GCCGGC-only	T3-down (late)
SC_RS24120	338.51415026926475	0.0774374605496226	0.7142420733415332	0.6798749343001974	0.00018294579397486256	Other	GCCGGC-only	Constitutive
SC_RS24125	62.093562727791905	1.299735029555549	1.9106737097183805e-06	0.7708327564885628	0.0042060413970037	Regulatory/TF	GCCGGC-only	T2-up (transient)
SC_RS24130	68.57206894544919	1.3026673221645424	3.558919363193483e-07	0.6176812549965852	0.0155359192757286	Primary metabolism	GCCGGC-only	T2-up (transient)
SC_RS24135	41.157804777778864	-0.1306601267564961	0.7152603164984268	0.1506201318555654	0.640905633146583	Other	GCCGGC-only	Constitutive
SC_RS24140	1291.3040677783506	0.1237762012911578	0.5858858163551656	-0.3900044131716828	0.0576431704204945	Regulatory/TF	GCCGGC-only	Constitutive
SC_RS24145	216.45976468203904	0.8700646746359357	5.6279083656393766e-06	0.3831830678774843	0.0457830879776169	Primary metabolism	GCCGGC-only	Constitutive
SC_RS24150	295.3303537833917	-0.8139696678083497	7.099802942778439e-06	-1.1354573250521975	1.9968625973108407e-10	Transport	Background	T3-down (late)
SC_RS24155	422.7819515308887	-0.7687223541878188	1.5161975634127187e-05	-1.5128173180434978	1.1384341810843465e-17	Transport	Background	T3-down (late)
SC_RS24160	39.53461023789542	5.282301079640927	3.8008296439980016e-12	5.217180085607606	5.086075284495832e-12	DNA/RNA metabolism	Background	Sustained up
SC_RS24165	590.2228795472383	5.666041698385175	7.475443742049126e-75	6.442706144846205	8.944727911683575e-97	Hypothetical	GCCGGC-only	Monotonic increasing
SC_RS24170	889.8330213464471	0.1556377968322517	0.4843359201512586	-0.186170653422289	0.3679347921840885	Hypothetical	GCCGGC-only	Constitutive
SC_RS24175	806.7592283256913	6.083155011949879	1.7159260025616802e-145	3.90803944032581	4.3296267909249816e-60	Transport	GCCGGC-only	Sustained up
SC_RS24180	478.9078888418627	0.347563140774641	0.0912351491477911	-0.8421558996369334	2.0980865586410764e-05	Other	GCCGGC-only	Constitutive
SC_RS24185	381.3285569399145	-0.8172669900867933	5.457361850538189e-05	-1.787777646564092	1.1369881221480972e-18	Other	Dual-targeted	T3-down (late)
SC_RS24190	30.40401460757492	-3.0121375288239913	8.87935912653871e-09	-0.1317686194386086	0.7124457662810041	Transport	Dual-targeted	T2-down (transient)
SC_RS24195	22.87480871181908	-1.9379422956358512	0.0004719106474023776	0.738200388702463	0.0717809487508255	Transport	AAGCCCG-only	T2-down (transient)
SC_RS24200	11.826863672824553	0.1214193592550961	0.8360945910183699	2.2923481053095887	0.00011215858387922732	Other	AAGCCCG-only	T3-up (late)
SC_RS24205	65.53868832018526	-1.5450412723117917	7.038592458946205e-07	-1.033000034865822	0.0003497123231693598	Regulatory/TF	AAGCCCG-only	Sustained down
SC_RS24210	753.0288634590828	1.9828332748337143	1.3860999172950238e-22	1.252689422687257	6.368802236570375e-10	Other	GCCGGC-only	Sustained up
SC_RS24215	1922.2332593259769	2.4545436121917708	1.2459117979716173e-30	2.1556945316131237	4.234767731012868e-24	Regulatory/TF	GCCGGC-only	Sustained up
SC_RS24220	42.253682936325646	-1.2668045708452484	7.915384736390171e-05	-0.6833895641092469	0.0182657417046794	Other	GCCGGC-only	T2-down (transient)
SC_RS24225	400.6685107609158	3.099246983566879	6.7131238398623795e-50	1.937628112515823	2.5936398245078572e-20	Other	GCCGGC-only	Sustained up
SC_RS24230	1600.401615615584	3.220239459210145	8.217784299263618e-44	3.6011037106168367	1.6538850650843094e-54	Other	GCCGGC-only	Monotonic increasing
SC_RS24235	92.13123176890107	1.071005288569497	1.884476581159614e-05	0.5416712433422386	0.0291637029189185	Regulatory/TF	GCCGGC-only	T2-up (transient)
SC_RS24240	22.82152490740367	1.6480136391724605	0.0023545694220128	3.316169342735914	9.230435458366477e-10	Transport	GCCGGC-only	Monotonic increasing
SC_RS24245	118.42684775681548	-1.8224008329462305	4.04447600455186e-16	-1.604726095266157	3.551458137395464e-14	Hypothetical	GCCGGC-only	Sustained down
SC_RS24250	75.73955479270042	0.7685704935978395	0.0123485031741009	1.173392252294936	6.960457631799029e-05	Other	GCCGGC-only	T3-up (late)
SC_RS24255	103.87527606341278	-0.9929523762874006	3.229784170099631e-06	-1.347914451647808	1.3482400388068694e-10	Primary metabolism	Background	T3-down (late)
SC_RS24260	53.44932180979884	0.4657473808853625	0.1132496980214512	0.156369158097662	0.5897297425240342	Primary metabolism	Background	Constitutive
SC_RS24265	49.75467122991074	1.1939411839305605	4.23098777285085e-05	0.5753926194216737	0.0459516430334864	Primary metabolism	Background	T2-up (transient)
SC_RS24270	207.1443710829036	-1.6465676597315209	9.015855186850846e-17	-1.8617345210825849	1.219907415879363e-21	Regulatory/TF	AAGCCCG-only	Monotonic decreasing
SC_RS24275	51.23248962486296	-1.901078183298733	3.3137249546738003e-09	-0.6893357703151753	0.0117172132535464	Other	Dual-targeted	T2-down (transient)
SC_RS24280	963.831668147482	-1.4202339518286191	3.343139527357027e-20	-1.9818475321878184	7.83860435243015e-38	Primary metabolism	Dual-targeted	Monotonic decreasing
SC_RS24285	215.9819078421741	-3.616455483970825	2.82395214174224e-37	-1.9081376245407144	3.0461046784990966e-14	Hypothetical	Dual-targeted	Sustained down
SC_RS24290	1328.515794474646	3.3797825659991587	1.53736864698149e-36	3.6691562468297056	7.456020688011498e-43	Hypothetical	GCCGGC-only	Monotonic increasing
SC_RS24295	611.6654832777685	-0.1603696898773004	0.3771867284076129	-0.8039981802113503	1.5492328535894142e-06	Regulatory/TF	GCCGGC-only	Constitutive
SC_RS24300	133.13820244291924	3.404144568872761	1.2525313363868227e-28	1.358840538474485	1.1153578328464268e-05	Primary metabolism	GCCGGC-only	Sustained up
SC_RS24305	707.6335757477515	5.9938225692522815	1.7687908203941533e-135	2.8442661345497124	8.28750195088548e-31	Primary metabolism	GCCGGC-only	Sustained up
SC_RS24310	789.691861284482	0.2905694312404542	0.101801827982423	-1.2310148580671778	5.271463668135847e-13	Other	Background	T3-down (late)
