gene_id	baseMean	LFC_T2vsT1	padj_T2vsT1	LFC_T3vsT1	padj_T3vsT1	category	product	temporal_class
SC_RS06530	63.93319360129255	1.7470964950326715	4.6595055712936806e-11	0.7634854474156003	0.004250935618109	Primary metabolism	phosphatase domain-containing protein	T2-up (transient)
SC_RS06590	1532.937774839848	2.558483551307019	5.544719479841668e-41	1.315868058643467	5.877566292607162e-12	Primary metabolism	cyclic Di-GMP phosphodiesterase RmdA	Sustained up
SC_RS06595	224.2024510027839	2.741182185734655	2.4646441111878343e-39	1.4353663636891776	1.2353717928659884e-11	DNA/RNA metabolism	SAM-dependent methyltransferase	Sustained up
SC_RS06600	126.1514636947207	2.8032737344936933	1.3203983473250748e-14	4.319200208299549	9.911713157937592e-34	Other	SCO0930 family lipoprotein	Monotonic increasing
SC_RS06605	30.465751877643154	7.187106110955207	1.8875215767573227e-09	5.4304895645212445	2.581466616688137e-06	Hypothetical	hypothetical protein	Sustained up
SC_RS06610	111.33298226694332	6.849020106208505	7.376076620567941e-32	4.216413767940622	4.745214830172727e-13	Other	bestrophin-like domain	Sustained up
SC_RS07200	16.143181021395883	0.1486718042777911	0.7960094880814103	2.9805223924394855	1.3047023160472614e-07	Other	Gfo/Idh/MocA family protein	T3-up (late)
SC_RS07205	30.460087193076877	2.196595067414592	4.771984725498681e-07	2.1785761016413705	3.440283650036768e-07	Other	Dps family protein	Sustained up
SC_RS07210	27.43046286270906	1.0757360035935293	0.014675379354373	2.1015213585203067	1.1513495071963937e-06	Hypothetical	hypothetical protein	Monotonic increasing
SC_RS07215	9.372650156199088	-0.4278173498979656	0.4869021347174306	3.667213510345267	5.0651250908907485e-06	Other	helix-turn-helix domain-containing protein	T3-up (late)
SC_RS07380	698.7772006707435	0.8981888705550395	6.647848887323985e-06	-0.1000804690441122	0.6164965478453278	Primary metabolism	lysophospholipid acyltransferase family protein	Constitutive
SC_RS07385	189.88459249800417	-1.932833895517074	4.9243027490347666e-23	-2.36238523569291	7.775305481735631e-34	Other	transglutaminase domain-containing protein	Monotonic decreasing
SC_RS07390	843.0416994653914	-2.8691597457459728	1.4306399134581796e-43	-2.9318400185354108	3.670153529758602e-46	Other	threonine aldolase family protein	Monotonic decreasing
SC_RS07440	97.70193697868196	-0.7239327318856952	0.0016983258209083	-1.007643696953259	7.013353641733444e-06	Regulatory/TF	MarR family winged helix-turn-helix transcriptional regulator	T3-down (late)
SC_RS07445	52.76684755431989	-2.7540958999006855	3.4093319123324666e-11	-0.4953816052874304	0.1314870628998826	Other	FUSC family protein	T2-down (transient)
SC_RS07450	228.3809144516861	5.7801659946485024	1.5933847449198095e-08	9.691075517736769	8.80513655863215e-21	Other	DUF5134 domain-containing protein	Monotonic increasing
SC_RS07455	366.706924657968	3.7203998646124288	1.2037426574023112e-70	2.189849151341056	4.7992517570744305e-25	Stress/Defense	M56 family metallopeptidase	Sustained up
SC_RS07710	813.5694941336562	-0.6469085624342422	0.00024794224611162237	-1.7630401388158188	7.659850702197324e-24	DNA/RNA metabolism	DEAD/DEAH box helicase	T3-down (late)
SC_RS08000	507.447774474545	0.2440983867443349	0.1868611474791278	-2.1166239541593925	1.8139982339664004e-31	Primary metabolism	acyl-CoA dehydrogenase family protein	T3-down (late)
SC_RS08005	289.9331579422562	-1.208522737947047	1.1650010724757303e-09	-1.260701848144158	1.0869556773770308e-10	Regulatory/TF	TetR family transcriptional regulator	Monotonic decreasing
SC_RS08740	20.500717734909532	-0.6005655619725131	0.3385872796445255	3.8824304711984094	1.193589358983026e-08	Stress/Defense	serine protease	T3-up (late)
SC_RS08745	58.47193936989342	0.7928745879373392	0.0077794488638257	1.2147717063718064	1.817804428173782e-05	Other	Rieske (2Fe-2S) protein	T3-up (late)
SC_RS08845	297.1965072483121	2.3224587497932645	1.5487079213995968e-29	1.9384331820536027	3.40331129605649e-21	Regulatory/TF	LacI family DNA-binding transcriptional regulator	Sustained up
SC_RS08850	33.631628510902324	0.1529873112276145	0.6752506449159531	0.2796895233278348	0.3891508298915941	Other	TOBE domain-containing protein	Constitutive
SC_RS08855	2757.174097923562	-0.1085531351758334	0.699656461558654	-2.0194172906355683	4.0130868210193334e-15	Primary metabolism	aminomethyl-transferring glycine dehydrogenase	T3-down (late)
SC_RS08860	14.507934427455078	-1.9224045141867565	0.0039782660728085	0.8816770349475821	0.0599591557829281	Other	PRC-barrel domain-containing protein	T2-down (transient)
SC_RS08865	413.1844473273149	-2.14554092588241	4.681038730997158e-31	-1.7816471249232784	3.2674166979429433e-23	DNA/RNA metabolism	DNA polymerase IV	Sustained down
SC_RS08870	688.617394346275	0.8738685097134876	3.702166665806761e-05	-0.097333366160177	0.6571532003113494	Regulatory/TF	MerR family transcriptional regulator	Constitutive
SC_RS08975	165.31570184928603	-0.224128378525425	0.4159008897276456	-0.3074537181527091	0.2318921999024526	Other	DUF742 domain-containing protein	Constitutive
SC_RS08980	214.21346299536876	-0.0644663158297856	0.8066248148193039	-0.7641035565058507	0.0009600668401192392	Other	roadblock/LC7 domain-containing protein	Constitutive
SC_RS08985	258.5483680288644	0.1146943393036422	0.600246165571523	-0.5316669033038616	0.0079117779047683	Other	nitrate- and nitrite sensing domain-containing protein	Constitutive
SC_RS09000	130.47511057571225	0.453891350928491	0.045092317322632	-0.7311153449911861	0.0011503800462812	Other	HSP90 family protein	Constitutive
SC_RS09155	234.49376312714807	0.0017065040154518	0.999199857082962	-0.2240208151812082	0.319291750947481	Other	hemolysin family protein	Constitutive
SC_RS09160	89.04050771090937	-1.1014615020597298	1.5088165216096464e-06	-1.6327832556847486	9.200854034403037e-13	Other	PH domain-containing protein	Monotonic decreasing
SC_RS09165	290.23863249254055	-1.1293674561636118	1.9922428839158608e-09	-2.096373176990458	6.030084694337418e-28	Primary metabolism	ATP phosphoribosyltransferase	Monotonic decreasing
SC_RS09170	270.28052227449604	-0.69615134378501	0.0031048014533545	-1.6382383487345622	3.4409525707161666e-12	Primary metabolism	phosphoribosyl-ATP diphosphatase	T3-down (late)
SC_RS09175	107.33458197360792	0.0694429145482035	0.8100088125643432	0.3032841280645088	0.2212159633225525	Secondary metabolism	6,7-dimethyl-8-ribityllumazine synthase	Constitutive
SC_RS09180	236.67548601222512	0.0298347584838605	0.9038454000360636	0.1880186901219355	0.3684647721150721	Secondary metabolism	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	Constitutive
SC_RS09195	34.954885533914045	0.393560896717846	0.4317105608387119	3.5865417055092492	2.710989502159752e-13	Other	chitinase C-terminal domain-containing protein	T3-up (late)
SC_RS09200	31.611006594227337	0.1710948055773171	0.6841217976994656	1.3333744456934191	0.00032703764723273433	Primary metabolism	SDR family oxidoreductase	T3-up (late)
SC_RS09205	13.274394270193156	-1.925484239218442	0.0010109358431208	0.0571347879956199	0.8976270930493114	Hypothetical	hypothetical protein	T2-down (transient)
SC_RS09210	174.17307776920583	-1.937162704531782	1.7277133902432282e-22	-2.035497062073208	5.1478458640068076e-26	Regulatory/TF	ROK family transcriptional regulator	Monotonic decreasing
SC_RS09215	203.727443539866	-3.9315494323874978	5.2976031160856935e-39	-3.209736628605703	4.215122067163502e-31	Transport	MFS transporter	Sustained down
SC_RS09230	202.0572470856769	0.5842468065927642	0.0163598933939703	1.442779386792124	5.451827306781882e-10	Primary metabolism	glycoside hydrolase family 6 protein	T3-up (late)
SC_RS09235	40.501527295100146	0.87456773353259	0.0093271836160922	0.4327440898345513	0.1879792196621256	Other	DUF5995 family protein	Constitutive
SC_RS09240	744.8000720443764	3.497157323839664	3.4239670120311586e-98	-0.4927088043032058	0.0063651980295301	Primary metabolism	LLM class F420-dependent oxidoreductase	T2-up (transient)
SC_RS09245	296.0141444198439	-3.1869175628288247	1.6710745615345814e-43	-3.077518456372087	2.1741785664774823e-43	Primary metabolism	flavin monoamine oxidase family protein	Sustained down
SC_RS09390	1341.2533409173911	-2.221213427271355	2.28463224336394e-31	-2.1711560283349347	1.9813316508012022e-30	Secondary metabolism	carbamoyl-phosphate synthase large subunit	Sustained down
SC_RS09535	878.7905927770166	-0.1637046087164496	0.4301448203398401	-0.7545620291985052	7.540353705468196e-05	Primary metabolism	GTP pyrophosphokinase	Constitutive
SC_RS09770	1615.9419996943186	-1.342812859334526	6.998271754711174e-16	-1.628182577668046	8.687934798123551e-23	Primary metabolism	serine/threonine-protein kinase	Monotonic decreasing
SC_RS09775	136.5467143580332	-0.9647108678253008	4.857849374083352e-06	-1.7524863834142372	2.289515317147276e-16	DNA/RNA metabolism	TrmH family RNA methyltransferase	T3-down (late)
SC_RS09780	310.8626827037649	-0.9256849131182392	3.3334430691489565e-08	-2.1092415510589615	1.3143154552797007e-34	DNA/RNA metabolism	uroporphyrinogen-III C-methyltransferase	T3-down (late)
SC_RS09785	2527.5579317563256	-0.4912783082816695	0.0111783155343036	-1.520129956278985	7.966701405735156e-16	Primary metabolism	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	T3-down (late)
SC_RS09805	124.47826187668096	-1.8298084912042232	4.328703095422454e-12	-2.5241443667953223	4.3384063417431086e-21	Transport	methionine ABC transporter permease	Monotonic decreasing
SC_RS09810	159.4036878000274	-1.979665273743535	4.4322096879121034e-14	-2.5170467922461324	1.1229466504697306e-21	Transport	methionine ABC transporter ATP-binding protein	Monotonic decreasing
SC_RS09815	125.73337286239742	-1.8649860929640416	3.184730329071271e-17	-2.053121726195596	1.7165838456042577e-21	Primary metabolism	HAD family hydrolase	Monotonic decreasing
SC_RS09820	155.84990782374587	-1.017510597929486	6.660119970219159e-06	-1.693697519010633	7.738308381208809e-14	Hypothetical	hypothetical protein	Monotonic decreasing
SC_RS09825	223.18454693216847	-1.3629386966276331	8.36037625862626e-14	-1.9636729371112347	9.286099774055935e-27	Hypothetical	hypothetical protein	Monotonic decreasing
SC_RS10060	128.1297843219804	0.9670679121225492	5.666976147059741e-05	0.7946428072425661	0.0007362395329797746	Other	DUF2510 domain-containing protein	Constitutive
SC_RS10065	29.846680780989782	1.596904391875064	0.0001343956356383329	2.6033492514879732	1.172872961009607e-10	Primary metabolism	3-oxoacyl-ACP reductase	Monotonic increasing
SC_RS10070	29.64443334404795	1.4512304788733688	0.0021760712098585	3.3306152778999203	5.352295718613614e-13	Primary metabolism	aldehyde dehydrogenase family protein	Monotonic increasing
SC_RS10075	39.71068883565524	1.645660594588903	4.5931999041212494e-05	3.149320344656207	3.9779078928066087e-16	Primary metabolism	gamma-glutamylethanolamide synthetase GlnA4	Monotonic increasing
SC_RS10080	46.22290743804073	-0.6044217028728531	0.0464960288600635	0.1109281013785682	0.6970660765426174	Regulatory/TF	FadR/GntR family transcriptional regulator	Constitutive
SC_RS10090	250.41632783878808	-2.4330276119604495	7.261572119997722e-38	-2.2153257154404393	1.2979068202700094e-34	Regulatory/TF	LysR family transcriptional regulator	Sustained down
SC_RS10095	36.40460097790231	-1.0547213365985744	0.0124084274184331	1.7234939594573957	5.07845912082277e-07	Transport	TDT family transporter	Trough at T2
SC_RS10100	105.5440549377518	0.6629338754717329	0.0100815404434069	0.7511404744598301	0.0024177689479957	Other	helical backbone metal receptor	Constitutive
SC_RS10105	199.55808274470832	0.7913254830095302	0.0003901586816838105	1.0516308764775988	1.1978720827658528e-06	Other	helix-turn-helix domain-containing protein	T3-up (late)
SC_RS10110	1223.8553376059076	-5.296825922331484	8.392655534686769e-114	-5.09653814453587	3.441822305059383e-112	Transport	ABC transporter permease/substrate binding protein	Sustained down
SC_RS10150	1135.190385338827	10.871869894340682	1.3880224845014288e-46	8.984454204470739	1.6919211145404822e-32	Other	DUF742 domain-containing protein	Sustained up
SC_RS10155	1225.0006381869575	9.980705420226109	1.1471778801997542e-72	8.268768869724548	2.119066470687214e-50	Other	roadblock/LC7 domain-containing protein	Sustained up
SC_RS10160	4672.209149365446	10.5910980759337	1.0185715637723046e-180	8.360637103650962	4.7080998471197207e-113	Primary metabolism	sensor histidine kinase	Sustained up
SC_RS10435	30.31625669407818	1.991505486717247	1.0409101822101902e-05	2.7890739234630972	2.6660575977229683e-10	Hypothetical	hypothetical protein	Monotonic increasing
SC_RS10440	66.67798743018346	3.087771795729358	1.025989974403809e-18	3.1388931131565165	9.512480635221354e-20	Transport	DMT family transporter	Monotonic increasing
SC_RS10445	16.784489208073907	0.1161674924217589	0.8139124141428847	1.214273647200606	0.0043674419227761	Primary metabolism	NUDIX hydrolase	T3-up (late)
SC_RS10450	20.26360180087813	-0.3974042521550923	0.3406294905510812	-0.4893199797685503	0.2074454743599161	Other	YidH family protein	Constitutive
SC_RS10460	24.843528175426584	0.3543864323737052	0.4394362493746292	1.4632773233545773	0.000731553982767514	Primary metabolism	phosphotransferase family protein	T3-up (late)
SC_RS10550	22.804786697874185	1.2486181242310737	0.0153165823376781	3.206107695394458	4.3921762214874444e-10	Transport	ABC transporter ATP-binding protein	Monotonic increasing
SC_RS10790	195.57859955354868	5.375282683597909	3.989790045359619e-46	4.5976002444398425	3.469671116370118e-34	Hypothetical	hypothetical protein	Sustained up
SC_RS10795	48.89478344202013	5.06524885978703	1.6127055547785844e-18	4.018081805656014	2.567858877920319e-12	Hypothetical	hypothetical protein	Sustained up
SC_RS10800	971.5670715857432	-1.1852688298624017	9.88782534469814e-11	-2.3888707834503595	2.7864067224975e-38	Translation	ribosome biogenesis GTPase Der	Monotonic decreasing
SC_RS10805	267.47699826499274	-1.2079323746589792	1.8091532553936202e-12	-2.716507792456817	2.468018867102794e-50	Primary metabolism	lysophospholipid acyltransferase family protein	Monotonic decreasing
SC_RS10810	254.21361251332155	-1.5463402362522345	2.6681362422821285e-13	-2.787366317738692	4.455986246683171e-37	Primary metabolism	(d)CMP kinase	Monotonic decreasing
SC_RS11280	2732.451608744782	-0.3448149157138818	0.0928859326731863	-2.5002866630740272	1.4741907853280821e-36	Other	putative cobaltochelatase	T3-down (late)
SC_RS11385	422.1152562440766	0.2387840876552549	0.2524485864262799	-0.700753466277191	0.00034851437001958243	Primary metabolism	aldehyde dehydrogenase (NADP(+))	Constitutive
SC_RS11390	124.34650642214297	-1.6404675624097236	1.226348226815335e-13	-1.6648173264729431	6.752055996728963e-15	Regulatory/TF	IclR family transcriptional regulator	Monotonic decreasing
SC_RS11395	458.2319757992425	0.0748048675885491	0.7844088307601782	-0.7062931907324443	0.002665479505378	Primary metabolism	GNAT family N-acetyltransferase	Constitutive
SC_RS11640	4682.2732247096255	0.0993696817244264	0.6837986099627515	-0.1600132909800638	0.4639576419567313	Other	cysteine desulfurase	Constitutive
SC_RS11645	2857.4923117907388	0.1501917252688489	0.553319149881066	-0.0076525832653594	0.9671225687348344	Other	Fe-S cluster assembly ATPase SufC	Constitutive
SC_RS11650	1037.0592120938827	0.1809678433814265	0.4580881077248648	-0.2476668643142208	0.2686412450764924	Other	non-heme iron oxygenase ferredoxin subunit	Constitutive
SC_RS11655	3499.485648199731	0.0453261378907731	0.8608158427863448	-0.1231306858501398	0.5851566318630624	Other	Fe-S cluster assembly protein SufD	Constitutive
SC_RS11710	11314.74863432921	0.6487207840389819	0.0034064315158843	-1.4121878988560774	1.0137756130041892e-10	Other	transketolase	T3-down (late)
SC_RS12030	327.0933193265743	-1.099426266271048	4.439012503431199e-11	-1.3991210981476547	2.244093099128021e-17	DNA/RNA metabolism	ATP-dependent helicase C-terminal domain-containing protein	Monotonic decreasing
SC_RS12035	899.7876279860722	1.5705811434855934	1.3759031754282798e-18	0.0424215286417074	0.8281763987513897	Other	lytic transglycosylase domain-containing protein	T2-up (transient)
SC_RS12040	30.345369079969927	-1.2906745511072224	0.0007725651826234846	-0.9038072578218076	0.0100388261383842	Hypothetical	hypothetical protein	T2-down (transient)
SC_RS12045	2943.896909284313	-0.8400230657558796	6.57043064327387e-05	-2.1859402133713037	2.2782387133205932e-25	DNA/RNA metabolism	DNA polymerase I	T3-down (late)
SC_RS12160	589.4783415471969	-0.6030067620078282	0.0019347183138166	-1.3266398123837195	4.263702632078681e-12	Secondary metabolism	glutamate synthase subunit beta	T3-down (late)
SC_RS12165	1217.6926286611535	-0.7399158332730738	3.207076230403458e-07	-1.6690040991801842	4.551200224754626e-31	Secondary metabolism	glutamate synthase large subunit	T3-down (late)
SC_RS12420	1892.0266224953575	-0.4880755726914687	0.0134912489980247	-2.055163487559984	2.1912643573741566e-26	DNA/RNA metabolism	isoleucine--tRNA ligase	T3-down (late)
SC_RS12465	707.1462223154826	-0.9049548646614304	3.761673884307526e-07	-1.7856114443699391	9.573813976310865e-24	Other	putative lipid II flippase FtsW	T3-down (late)
SC_RS12470	767.4361864631977	-1.0898591727267464	1.0441189692291412e-11	-2.242966668046043	1.2657962851480536e-43	DNA/RNA metabolism	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	Monotonic decreasing
SC_RS12475	1217.5743942825472	-0.8506381741604309	7.83198100112793e-06	-2.2806188896815662	4.263399868218749e-33	Primary metabolism	phospho-N-acetylmuramoyl-pentapeptide-transferase	T3-down (late)
SC_RS12480	2370.108917170101	-0.9320104730079442	1.8576794322466365e-06	-2.355219367957944	1.0870902292290593e-33	DNA/RNA metabolism	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	T3-down (late)
SC_RS12795	4567.187066988776	-1.171735699266797	1.515889284839121e-07	-3.2604634087059425	1.9004955752669057e-48	Other	cytochrome bc1 complex diheme cytochrome c subunit	Monotonic decreasing
SC_RS12800	2928.4763468983992	-0.8101128170635972	0.0003948657750087375	-3.07328321591054	3.3933181256059675e-41	Primary metabolism	aa3-type cytochrome oxidase subunit III	T3-down (late)
SC_RS12805	728.945867424164	2.2982979773138816	1.1479682409534198e-26	1.1300785562872426	1.4530881354530838e-07	Hypothetical	hypothetical protein	Sustained up
SC_RS12810	85.8236161295337	-0.4726164088155687	0.1096306357565802	-0.5988706067204055	0.0331583786130057	Stress/Defense	L,D-transpeptidase	Constitutive
SC_RS12815	1907.8635385289772	-0.6035766771182385	0.011256080055163	-2.221880348636226	3.121462381522375e-21	Primary metabolism	cytochrome c oxidase subunit 4	T3-down (late)
SC_RS12820	8910.849600140275	-0.9702005195177198	4.585279091646334e-06	-2.5473091672691917	1.323511393231996e-33	Primary metabolism	aa3-type cytochrome oxidase subunit I	T3-down (late)
SC_RS13155	427.37553160083695	0.6101869814225762	0.0034008077312854	-0.5435950439580027	0.0084407841986288	Primary metabolism	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	Constitutive
SC_RS13160	265.6692116585189	-2.432903163198815	2.11709972267734e-17	-1.0921018980371762	5.3331291836260854e-05	Other	pullulanase-type alpha-1,6-glucosidase	Sustained down
SC_RS13595	391.046730180643	1.3300917597473338	2.993645890105492e-11	0.5000321524253651	0.0129295123490708	Other	N-acetylmuramoyl-L-alanine amidase	T2-up (transient)
SC_RS13600	2047.49074315686	-0.6417103895629044	0.0014333509475514	-1.7832167788779665	2.5471649775266953e-19	Other	DUF5336 domain-containing protein	T3-down (late)
SC_RS13605	67.75475372899525	-0.5744893748661797	0.0533371578979575	-0.1474855915799273	0.6049891842788376	Hypothetical	hypothetical protein	Constitutive
SC_RS13610	231.71664822705276	-1.3035964932709807	3.5031262146464584e-10	-2.180353706277367	4.78925828337717e-25	Primary metabolism	prenyltransferase	Monotonic decreasing
SC_RS13615	187.5203055718293	-1.3105977629867385	2.91459951232079e-10	-2.1479173271846337	3.0819080501168152e-24	DNA/RNA metabolism	class I SAM-dependent methyltransferase	Monotonic decreasing
SC_RS13620	371.9057918845126	-2.2786631906752652	4.834267314205036e-28	-2.6541577058490695	1.0340505617201815e-37	Primary metabolism	glycosyltransferase family 4 protein	Monotonic decreasing
SC_RS13645	140.86289939163763	-1.1668880716562595	5.694080882665446e-09	-1.232719541462317	2.2891545190068467e-10	Transport	CbiQ family ECF transporter T component	Monotonic decreasing
SC_RS13650	197.5116028891771	-1.462114663076442	1.0528971335999004e-10	-1.378337117174937	4.341076037609463e-10	Transport	ABC transporter ATP-binding protein	Sustained down
SC_RS13655	103.9435437845534	-0.9564345782797656	1.072495395589541e-05	-0.9647828374721946	3.6911197811275024e-06	Transport	ECF transporter S component	Constitutive
SC_RS13660	14.23580556435234	-1.0999840413781434	0.0512949949370268	0.0087344427997959	0.988662290170209	Other	aggregation-promoting factor C-terminal-like domain-containing protein	Constitutive
SC_RS13830	187.4275762209456	0.1648277455402424	0.4607413986458513	-0.5855557888584174	0.004566341903977	Primary metabolism	sensor histidine kinase	Constitutive
SC_RS13835	66.69884872972506	-1.0484904558315171	0.0004039798946312934	-0.9114717653955592	0.0012380891213673	Other	DedA family protein	T2-down (transient)
SC_RS13840	125.23109748312692	-0.0582628062432079	0.8235228509467237	-1.686881090572906	3.810325520617289e-12	Hypothetical	hypothetical protein	T3-down (late)
SC_RS13845	427.9440612874966	0.0690292871325768	0.7055636130585259	-1.4890516244532384	1.5214612848852664e-19	Primary metabolism	phosphoribosyltransferase	T3-down (late)
SC_RS14190	25.49589745417804	-0.0501326117709127	0.9184485669291949	1.455817965801371	0.0007281925307841538	Other	arabinosylfuranosidase ArfA	T3-up (late)
SC_RS14195	15.684427473002952	0.0377924181492442	0.9465180860942024	2.3632330400958343	1.1871591771700489e-05	Transport	carbohydrate ABC transporter permease	T3-up (late)
SC_RS14200	11.933620117267322	0.2768873203836423	0.6397210372762613	4.690987548664013	1.055992025232897e-06	Transport	carbohydrate ABC transporter permease	T3-up (late)
SC_RS14205	17.295616607561964	0.6425346991952583	0.3120007111475349	5.329161908467552	1.495946393373822e-08	Other	extracellular solute-binding protein	T3-up (late)
SC_RS14265	277.021772417973	4.30414739162894	4.711926983108047e-78	3.0706516124367496	6.961373913085071e-40	Stress/Defense	S8 family serine peptidase	Sustained up
SC_RS14270	784.4885636391655	1.4029572511990192	4.0352087451974146e-15	1.108148724325048	4.887048377667671e-10	Other	CU044_2847 family protein	Sustained up
SC_RS14275	1279.0935476701725	-0.1629704221737659	0.4533315213189016	-0.3756600984177027	0.0626472019367824	Other	VMAP-C domain-containing protein	Constitutive
SC_RS15090	50.913424820084096	-1.5024766050587266	7.394103046340448e-06	-0.5818860912687359	0.0522066729414274	Hypothetical	hypothetical protein	T2-down (transient)
SC_RS15095	79.50949565720256	-1.2694409339652435	2.0762192554241706e-06	-1.6817762435641372	2.413406687382627e-10	Hypothetical	hypothetical protein	Monotonic decreasing
SC_RS15100	625.6802738724103	-1.272808618491865	4.7201991705667904e-14	-1.9736821295282452	1.9031331404104059e-31	Other	TIGR03960 family B12-binding radical SAM protein	Monotonic decreasing
SC_RS15105	193.12044812223684	0.0619503980896615	0.7779641590667148	-0.3655478672472771	0.0561303662432168	Other	rod shape-determining protein RodA	Constitutive
SC_RS15370	16.680890427567146	-1.9786274951307712	0.006509772484871	1.6549996675449832	0.0010645232748905	Transport	carbohydrate ABC transporter permease	Trough at T2
SC_RS15390	837.1253770469762	-0.3450673994115115	0.0864458832933063	-0.3866318324233553	0.0453270534354967	Hypothetical	hypothetical protein	Constitutive
SC_RS15660	27.79284501746268	1.7148340027661657	0.00036638622975929233	2.7194686321341717	1.0170573702325868e-08	DNA/RNA metabolism	carboxylate--amine ligase	Monotonic increasing
SC_RS15970	281.6729487456379	-2.875363639594475	1.4208646453463963e-34	-0.0383512364625289	0.8578582041921254	Other	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha	T2-down (transient)
SC_RS15990	198.9892442071972	0.3395756072947489	0.1539205293123469	-0.0615909639389501	0.7949283809773444	Other	siderophore-interacting protein	Constitutive
SC_RS15995	2143.81014076392	7.107487280354484	6.111886856959723e-144	4.135453382904365	1.5472371387703208e-49	Other	lysine decarboxylase DesA	Sustained up
SC_RS16000	3296.954606225032	6.433419326550956	4.326506561964579e-110	4.183577601207689	1.8551971758856288e-47	Other	lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein	Sustained up
SC_RS16005	887.1883252170305	5.894845215748133	7.036978758999599e-68	3.959162634409884	1.5626781077953416e-31	Primary metabolism	GNAT family N-acetyltransferase	Sustained up
SC_RS16010	6165.306611871535	6.330410314851589	4.716513888335571e-100	4.183609076454033	1.7120722645993517e-44	Primary metabolism	desferrioxamine E synthetase DesD	Sustained up
SC_RS16225	40.75780115884892	0.9288697438864478	0.0051653997808099	0.7981480328359132	0.0126753492279435	Hypothetical	hypothetical protein	Constitutive
SC_RS16245	282.46763280335324	-1.8663195210161807	4.734812446077699e-17	-2.820002354112084	1.824242576070181e-35	Transport	ectoine/hydroxyectoine ABC transporter permease subunit EhuD	Monotonic decreasing
