bgc_class	gene_id	old_locus_tag	gene_name	product	is_known	known_name	TF_score_act	corr_act	abs_corr_act	act_specificity	abs_corr_red	abs_corr_cda	abs_corr_cpk	log2FC_3_vs_1	padj_3_vs_1	delta_2_vs_1	delta_3_vs_2	phase_preference	mean_rlog_1	mean_rlog_2	mean_rlog_3
act_late	SC_RS27585	SCO5085	NA	AfsR/SARP family transcriptional regulator	TRUE	SCO5085_SARP	1.5390902359122698	0.9171614488278717	0.9171614488278717	0.04385757416879621	0.8733038746590754	0.6897715591818605	0.46526998390522317	6.435870540124959	6.340036627731633e-136	1.9443408282193122	4.2342311608833825	late	6.487331734306899	8.431672562526211	12.665903723409594
act_late	SC_RS20070	SCO3587	NA	TetR/AcrR family transcriptional regulator	FALSE	NA	1.5340069768022773	0.8590370082905472	0.8590370082905472	0.3695773606830235	0.4894596476075237	0.2121757851616953	0.06164383235931306	3.1696881361703046	9.402531073941069e-9	-0.7628781909843518	3.5162527089505007	late	2.30164375100999	1.5387655600256382	5.055018268976139
act_late	SC_RS05480	SCO0711	NA	PucR family transcriptional regulator	FALSE	NA	1.5337864062642024	0.8385891571933255	0.8385891571933255	0.3559713213885926	0.4826178358047329	0.1930022196898698	0.07381620566376856	3.6201931396096767	2.5692977276065906e-12	-0.7859543625649361	4.022501386219652	late	2.64762141809318	1.861667055528244	5.884168441747896
act_late	SC_RS11030	SCO1801	NA	response regulator	FALSE	NA	1.5209356108247192	0.9703359965854726	0.9703359965854726	0.2482068504879813	0.7221291460974913	0.45406342732216654	0.19173414820591955	2.108269816587597	4.455357445065807e-18	-0.03581887786849869	2.069956827347016	late	6.25242239830133	6.216603520432831	8.286560347779847
act_late	SC_RS37710	SCO7097	NA	MarR family winged helix-turn-helix transcriptional regulator	FALSE	NA	1.510625696752373	0.8484821662268162	0.8484821662268162	0.33931844242112696	0.5091637238056892	0.23676923713815748	0.03034939881903464	3.208071821916555	1.0599876230626628e-6	-0.5889151841812617	3.214212354395955	late	1.8325827640791392	1.2436675798978776	4.457879934293833
act_late	SC_RS02660	SCO0140	NA	MerR family transcriptional regulator	FALSE	NA	1.4778218275302395	0.8926592160562073	0.8926592160562073	0.23305813514685603	0.6596010809093513	0.3996184480369052	0.14799102130383146	2.8105590650100676	5.283350980040882e-13	-0.006846288200127226	2.627207189904771	late	3.4893798795535216	3.4825335913533944	6.109740781258165
act_late	SC_RS37720	SCO7099	NA	sigma-70 family RNA polymerase sigma factor family protein	FALSE	NA	1.4762984412225422	0.8402150765090526	0.8402150765090526	0.2975883830271201	0.5426266934819325	0.28693133935449555	0.02129774269845212	3.1214862199988263	1.1287439135394728e-9	-0.2955603993894629	2.9983724095997295	late	2.711348968032676	2.415788568643213	5.4141609782429425
act_late	SC_RS28630	SCO5289	NA	sensor histidine kinase	FALSE	NA	1.4761916243878432	-0.9126317347785668	0.9126317347785668	0.2373682913327534	0.6752634434458135	0.4221128147387167	0.1587744131826996	-2.4145957323816596	4.6282469697251804e-60	-0.019471937649342408	-2.3350891589101472	late	11.731084633342865	11.711612695693523	9.376523536783376
act_late	SC_RS10625	SCO1723	NA	sigma-70 family RNA polymerase sigma factor	FALSE	NA	1.470380340304256	0.8474044265731389	0.8474044265731389	0.13607401616797898	0.7113304104051599	0.5135296874630214	0.2763151557462406	4.248981760785458	1.1840302621110016e-8	0.5532473751752192	2.819182860904714	late	1.5391547529702496	2.0924021281454688	4.911584989050183
act_late	SC_RS07125	SCO1034	NA	TetR/AcrR family transcriptional regulator	FALSE	NA	1.4680779949785352	0.9201346431870208	0.9201346431870208	0.3495902407893222	0.5705444023976985	0.2449399474662325	0.01406173640855151	1.2191371899475545	9.578503157087642e-6	-0.41771764172746106	1.6011745272351279	late	5.661521878617769	5.243804236890308	6.844978764125436
act_late	SC_RS15725	NA	NA	helix-turn-helix transcriptional regulator	FALSE	NA	1.4660720625793657	0.8861951999922578	0.8861951999922578	0.2471832212313898	0.639011978760868	0.4122598096406278	0.15553998712123776	2.6047541995235464	2.8736854177048495e-4	0.010602187063740942	2.0559561817587744	late	1.5367919163072061	1.547394103370947	3.6033502851297214
act_late	SC_RS05485	SCO0712	NA	helix-turn-helix transcriptional regulator	FALSE	NA	1.4609107627584974	0.824546595718285	0.824546595718285	0.3286080804974	0.49593851522088506	0.24125315112772505	0.02766536416673624	2.8676687798585383	9.986521573425925e-14	-0.49389414361531214	3.1376012826176507	late	4.119953702902976	3.6260595592876634	6.763660841905314
act_late	SC_RS39790	SCO7518	NA	TetR/AcrR family transcriptional regulator	FALSE	NA	1.4568967745268133	-0.844101000497006	0.844101000497006	0.4466040050100906	0.39749699548691536	0.07873893369368418	0.19674837648672763	-1.491562858746033	1.6000749502318138e-12	0.7659533225218871	-2.1940979561018743	late	6.985322699062949	7.751276021584836	5.557178065482962
act_late	SC_RS27900	SCO5147	sigE	RNA polymerase sigma factor SigE	FALSE	NA	1.454107786908974	0.8575160266416291	0.8575160266416291	0.5019125334477934	0.35560349319383566	0.00434469215188224	0.26079464333111285	0.7605915590574691	7.290878715714304e-4	-0.7827372909971348	1.5018219237365766	late	11.907437770454594	11.12470047945746	12.626522403194036
act_late	SC_RS05075	SCO0632	NA	sigma-70 family RNA polymerase sigma factor	FALSE	NA	1.4514009744834468	0.901494573549242	0.901494573549242	0.30645247683074706	0.595042096718495	0.31895541736182065	0.06175399888774196	1.6113360419805196	1.87298760275269e-4	-0.1790225282212865	1.7078293972528913	late	3.3159799146669875	3.136957386445701	4.844786783698592
act_late	SC_RS31260	SCO5804	nrdR	transcriptional regulator NrdR	FALSE	NA	1.4506280565143648	-0.87343867435148	0.87343867435148	0.2540783270619088	0.6193603472895712	0.371308296876742	0.10848018597637273	-2.5025036438655044	1.8087302330695048e-34	0.0653102108543191	-2.5362082222147393	late	11.139250303336574	11.204560514190893	8.668352291976154
act_late	SC_RS37950	SCO7145	NA	MarR family winged helix-turn-helix transcriptional regulator	FALSE	NA	1.4490982416642124	0.7984148015819992	0.7984148015819992	0.23316808379428455	0.5652467177877146	0.34344986242368336	0.08880053256690507	3.9016566364178513	5.016335075580579e-6	0.04021128882916214	2.8023068121973695	late	1.260877385092048	1.3010886739212102	4.10339548611858
act_late	SC_RS26925	SCO4952	NA	TetR/AcrR family transcriptional regulator	FALSE	NA	1.4488379823369824	-0.9445564044951744	0.9445564044951744	0.21765658083093053	0.7268998236642439	0.4666911690479596	0.2052573088576364	-1.5908881237723784	3.3254496376179928e-15	-0.057609066386822505	-1.4924778435397057	late	7.54020151593035	7.482592449543527	5.9901146060038215
act_late	SC_RS24660	SCO4499	NA	TetR/AcrR family transcriptional regulator	FALSE	NA	1.445062090902285	-0.8812250481227071	0.8812250481227071	0.20164094859223491	0.6795840995304722	0.4491164594464907	0.1910905319756401	-2.7169428080576745	6.280339665547937e-42	-0.19505130569659102	-2.4686873563846854	late	10.132911126352147	9.937859820655556	7.46917246427087
act_late	SC_RS31445	SCO5840	NA	GntR family transcriptional regulator	FALSE	NA	1.4440170939589072	-0.9055856521849196	0.9055856521849196	0.33925830821171543	0.5663273439732042	0.27162063491940813	0.00242544129045743	-1.146704794468829	4.0129121334597696e-11	0.21379772595046642	-1.326567488546888	late	7.745314446410482	7.959112172360949	6.632544683814061
