Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
M145_2_3_2 - polyg	(1, 0.2118305972953634)	(2, 0.22093928438036048)	(3, 0.221968837708649)	(4, 0.22344167094217285)	(5, 0.2252004912113324)	(6, 0.22956179350477685)	(7, 0.23385159903931235)	(8, 0.23756943050257645)	(9, 0.2437467504723076)	(10, 0.2504817451615283)	(12, 0.2570522973052586)	(14, 0.2619855736699744)	(16, 0.26636832499109153)	(18, 0.2706724298774088)	(20, 0.27452610518259984)	(22, 0.2776719625745926)	(24, 0.2809822625120758)	(26, 0.28393507865501444)	(28, 0.2865447103551902)	(30, 0.2889398517786392)	(32, 0.2913063944985246)	(34, 0.29373013462553715)	(36, 0.2958964864204776)	(38, 0.2978983956699275)	(40, 0.3000647474648679)	(42, 0.30206665671431787)	(44, 0.3038040279558047)	(46, 0.30557714757674603)	(48, 0.307307369142342)	(50, 0.3089231958936838)	(52, 0.310903656115461)	(54, 0.31245513578378464)	(56, 0.31398516642443564)	(58, 0.31567963961057716)	(60, 0.3173312147413734)	(62, 0.31904713695518755)	(64, 0.32097039976983766)	(66, 0.32277926777023347)	(68, 0.3246238841500837)	(70, 0.32631120766033433)	(72, 0.3281129259848392)	(74, 0.32977880046741725)	(76, 0.33176641036508536)	(78, 0.33353952998602665)	(80, 0.3351625064132593)	(82, 0.3370929189038002)	(84, 0.3393593661612132)	(86, 0.34138987411422667)	(88, 0.3434346814190219)	(90, 0.3451220049292726)	(92, 0.34742420056614)	(94, 0.34986938972082515)	(96, 0.352271680820165)	(98, 0.35425214104194225)	(100, 0.35639704380921)	(102, 0.3585490962523687)	(104, 0.3611444286007627)	(106, 0.36368971321792043)	(108, 0.36579886760573366)	(110, 0.3679008723176561)	(112, 0.3702459660098688)	(114, 0.37248381456371815)	(116, 0.3750362488567668)	(118, 0.37762443152926994)	(120, 0.37994807619381)	(122, 0.3820572305816233)	(124, 0.38452386876398115)	(126, 0.3868046153731759)	(128, 0.38914970906538865)	(130, 0.3919023342833823)	(132, 0.39504819167537497)	(134, 0.3981440013361315)	(136, 0.4011540148861972)	(138, 0.4041854774639356)
M145_2_4_1 - illumina_universal_adapter	(1, 6.654856514638688e-05)	(2, 6.654856514638688e-05)	(3, 6.654856514638688e-05)	(4, 7.985827817566426e-05)	(5, 0.00010647770423421901)	(6, 0.00017302626938060588)	(7, 0.00017302626938060588)	(8, 0.00017302626938060588)	(9, 0.00017302626938060588)	(10, 0.00019299083892452195)	(12, 0.0002661942605855475)	(14, 0.00031277825618801833)	(16, 0.0003527073952758504)	(18, 0.0003859816778490439)	(20, 0.0005190788081418176)	(22, 0.000765308499183449)	(24, 0.0009316799120494163)	(26, 0.001091396468400745)	(28, 0.0013043518768691828)	(30, 0.0015905107069986465)	(32, 0.0018300855415256392)	(34, 0.002043040949994077)	(36, 0.0022493415019478767)	(38, 0.0025488100451066175)	(40, 0.002834968875236081)	(42, 0.0031410922749094605)	(44, 0.0034605253876121176)	(46, 0.0037666487872854973)	(48, 0.004092736756502793)	(50, 0.004651744703732443)	(52, 0.005184133224903537)	(54, 0.005716521746074633)	(56, 0.006302149119362837)	(58, 0.006754679362358268)	(60, 0.007453439296395331)	(62, 0.00852487119525216)	(64, 0.009496480246389407)	(66, 0.01044812472798274)	(68, 0.011592760048500595)	(70, 0.012897111925369777)	(72, 0.014627374619175836)	(74, 0.016291088747835508)	(76, 0.01820103256753681)	(78, 0.02011763124375275)	(80, 0.02216732705026147)	(82, 0.0250621896341293)	(84, 0.028316414469787617)	(86, 0.031843488422546126)	(88, 0.03555024350119987)	(90, 0.040102165357212734)	(92, 0.045186475734396686)	(94, 0.05120246602363006)	(96, 0.057285004878009825)	(98, 0.06415281680111695)	(100, 0.07237156459669572)	(102, 0.08213423910367068)	(104, 0.09326781405266121)	(106, 0.10438807928862245)	(108, 0.11670621869721867)	(110, 0.13023554199147913)	(112, 0.14570808338801405)	(114, 0.16311053317379426)	(116, 0.1822099713708073)	(118, 0.20359868020885602)	(120, 0.2283148173042241)	(122, 0.2539759440246709)	(124, 0.28147381114315795)	(126, 0.31285145960967936)	(128, 0.35075752231706137)	(130, 0.39020751173583945)	(132, 0.4321464174910925)	(134, 0.47727965437337205)	(136, 0.5271910782331621)	(138, 0.5862662395136098)
M145_2_4_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00013309713029277377)	(4, 0.00042591081693687605)	(5, 0.0011047061814300223)	(6, 0.002475606623445592)	(7, 0.003952984769695381)	(8, 0.00537712406382806)	(9, 0.007892659826361484)	(10, 0.010607841284334068)	(12, 0.012770669651591642)	(14, 0.014467658062824507)	(16, 0.01633101788692334)	(18, 0.018334129697829583)	(20, 0.020117631243752754)	(22, 0.022247185328437134)	(24, 0.024995641068982912)	(26, 0.027418008840311394)	(28, 0.029913580033300902)	(30, 0.03206975354404384)	(32, 0.03431244018947707)	(34, 0.03630889714386868)	(36, 0.03880446833685819)	(38, 0.04129338467333306)	(40, 0.04409507926599594)	(42, 0.04674371215882214)	(44, 0.04908622165197496)	(46, 0.05205428765750382)	(48, 0.05536175134527924)	(50, 0.0586226310374522)	(52, 0.061757068455847025)	(54, 0.06453879847896599)	(56, 0.06724067022390931)	(58, 0.06968965742129635)	(60, 0.0724181485922982)	(62, 0.07522649804147571)	(64, 0.07794833435596295)	(66, 0.0810162232092114)	(68, 0.08421720919275259)	(70, 0.08693904550723983)	(72, 0.08970081096081488)	(74, 0.09238271813621426)	(76, 0.09524430643750889)	(78, 0.09787297476079118)	(80, 0.10050164308407347)	(82, 0.10334992167233883)	(84, 0.10636457167347015)	(86, 0.10931267310945508)	(88, 0.1123605973931596)	(90, 0.1150957434206761)	(92, 0.11781757973516332)	(94, 0.12066585832342869)	(96, 0.12406649000240906)	(98, 0.12750705082047725)	(100, 0.13090102764294298)	(102, 0.1339422970701329)	(104, 0.1381614761004138)	(106, 0.1421876642917702)	(108, 0.1461273393484363)	(110, 0.14967437787073873)	(112, 0.15359408835786093)	(114, 0.15781326738814183)	(116, 0.16217219840523017)	(118, 0.16576582092313508)	(120, 0.16965891198419872)	(122, 0.17369175503206974)	(124, 0.17828360602717047)	(126, 0.18264919190077342)	(128, 0.18724769775238875)	(130, 0.19271133495090714)	(132, 0.19820159157548406)	(134, 0.20385821961292694)	(136, 0.2099407584673067)	(138, 0.21634938529090375)
M145_2_4_2 - illumina_universal_adapter	(1, 2.6619426058554753e-05)	(2, 2.6619426058554753e-05)	(3, 2.6619426058554753e-05)	(4, 3.992913908783213e-05)	(5, 6.654856514638688e-05)	(6, 0.00013309713029277377)	(7, 0.00013309713029277377)	(8, 0.00013309713029277377)	(9, 0.00013309713029277377)	(10, 0.0001663714128659672)	(12, 0.00025288454755627017)	(14, 0.0003061233996733796)	(16, 0.00036601710830512784)	(18, 0.00039929139087832127)	(20, 0.0005922822298028432)	(22, 0.0008917507729615842)	(24, 0.0011113610379446608)	(26, 0.0013110067333838215)	(28, 0.0015905107069986465)	(30, 0.0018766695371281099)	(32, 0.002156173510742935)	(34, 0.002448987197387037)	(36, 0.0027351460275165007)	(38, 0.0030811985662777125)	(40, 0.0034339059615535626)	(42, 0.0037866133568294135)	(44, 0.004145975608619902)	(46, 0.004518647573439669)	(48, 0.00487135496871552)	(50, 0.005437017772459808)	(52, 0.006002680576204096)	(54, 0.006608272519036217)	(56, 0.007173935322780505)	(58, 0.007613155852746659)	(60, 0.008358499782386192)	(62, 0.009516444815933323)	(64, 0.010614496140848707)	(66, 0.011592760048500593)	(68, 0.012803943934164836)	(70, 0.014174844376180405)	(72, 0.015891797356957185)	(74, 0.017582130911675414)	(76, 0.019485419874862075)	(78, 0.02145525740319513)	(80, 0.023578156631364873)	(82, 0.02641312550660095)	(84, 0.02968066005528855)	(86, 0.033247663147134884)	(88, 0.03708086049956677)	(90, 0.04173926005981385)	(92, 0.04687680928911492)	(94, 0.05278632187411407)	(96, 0.05892875443712558)	(98, 0.06584315035583518)	(100, 0.0741018272905018)	(102, 0.0840109086407988)	(104, 0.09523765158099426)	(106, 0.10637788138649942)	(108, 0.11855626880828823)	(110, 0.1322120343763268)	(112, 0.14757809806862754)	(114, 0.16480086672851246)	(116, 0.18403340205581828)	(118, 0.20542876575038166)	(120, 0.2299984960024277)	(122, 0.25546663188394997)	(124, 0.2827715081635125)	(126, 0.31383637837384587)	(128, 0.3516825473725961)	(130, 0.3910526785131986)	(132, 0.4328784517077027)	(134, 0.4781115114377019)	(136, 0.5277966701759944)	(138, 0.586851866886898)
M145_2_4_2 - polyg	(1, 0.17033770734869186)	(2, 0.17735192611512104)	(3, 0.17804403119264345)	(4, 0.17910880823498565)	(5, 0.18073259322455748)	(6, 0.18375389808220344)	(7, 0.18682844179196653)	(8, 0.18957024267599767)	(9, 0.19453476563591812)	(10, 0.19917985548313594)	(12, 0.20391811332155868)	(14, 0.20791768208685651)	(16, 0.21132496862235153)	(18, 0.21428637977136575)	(20, 0.21674867668178205)	(22, 0.21931079643991797)	(24, 0.22199270361531737)	(26, 0.22426866454332378)	(28, 0.2261652986499958)	(30, 0.22820833959998987)	(32, 0.23013159313272047)	(34, 0.23180196211789478)	(36, 0.23360542823336183)	(38, 0.23505618695355307)	(40, 0.23667997194312493)	(42, 0.2381506952328601)	(44, 0.23968131223122696)	(46, 0.24109879666884504)	(48, 0.24260279424115336)	(50, 0.24410679181346173)	(52, 0.24549100196850654)	(54, 0.2468020087018904)	(56, 0.2485655456782696)	(58, 0.2502625340895025)	(60, 0.2520260710658817)	(62, 0.25351010406864616)	(64, 0.25505403078004235)	(66, 0.2566511963435556)	(68, 0.258301600759186)	(70, 0.25985218232709684)	(72, 0.2611898084865392)	(74, 0.26301323917155023)	(76, 0.26479008586095876)	(78, 0.2665203485547648)	(80, 0.26807758497919026)	(82, 0.2698743962381427)	(84, 0.2717444109187562)	(86, 0.2737275581601185)	(88, 0.27553767913210025)	(90, 0.27748089723437475)	(92, 0.27961045131905915)	(94, 0.281786589399346)	(96, 0.28410913432295487)	(98, 0.28627861754672707)	(100, 0.28837489734883825)	(102, 0.29056434514215435)	(104, 0.29252752781397284)	(106, 0.294936585872272)	(108, 0.29735229878708586)	(110, 0.2997014631367533)	(112, 0.3017844332258352)	(114, 0.3041934912841344)	(116, 0.30663582362500685)	(118, 0.3091646691005695)	(120, 0.31169351457613226)	(122, 0.3139295463650508)	(124, 0.3163319495668354)	(126, 0.31857463621226867)	(128, 0.3208372874272458)	(130, 0.32343933632446953)	(132, 0.3259149429479151)	(134, 0.32874991182315116)	(136, 0.33127875729871387)	(138, 0.33402721303925964)
M145_3_2_1 - illumina_universal_adapter	(1, 3.8011588466270415e-05)	(2, 3.8011588466270415e-05)	(3, 5.068211795502722e-05)	(4, 5.068211795502722e-05)	(5, 0.00015204635386508166)	(6, 0.0002027284718201089)	(7, 0.0002407400602863793)	(8, 0.00027875164875264973)	(9, 0.00029142217824140655)	(10, 0.00031676323721892014)	(12, 0.00037378061991832575)	(14, 0.00039278641415146096)	(16, 0.00044346853210648824)	(18, 0.0005384975032721643)	(20, 0.000646197003926597)	(22, 0.0008172491520248139)	(24, 0.0009883013001230308)	(26, 0.0012607176841313021)	(28, 0.0014190993027407622)	(30, 0.0016471688335383847)	(32, 0.0019766026002460617)	(34, 0.0022997011022093602)	(36, 0.002876210193947795)	(38, 0.003230985019632986)	(40, 0.0035160719331300137)	(42, 0.003725135669694501)	(44, 0.004092581024868448)	(46, 0.004422014791576126)	(48, 0.004732442764050666)	(50, 0.005201252355134668)	(52, 0.005765090917384346)	(54, 0.006271912096934619)	(56, 0.006892768041883702)	(58, 0.0073679128977120825)	(60, 0.008014109901638679)	(62, 0.008717324288264681)	(64, 0.00947755605759009)	(66, 0.010389834180780582)	(68, 0.011428817598858639)	(70, 0.012619847370801778)	(72, 0.013753859760045513)	(74, 0.015058924297387463)	(76, 0.016516035188594496)	(78, 0.01813152769841099)	(80, 0.02007645397493516)	(82, 0.022116409222625005)	(84, 0.0244351161190675)	(86, 0.0271339389001727)	(88, 0.030086172271053035)	(90, 0.03326647517273099)	(92, 0.03752377308095328)	(94, 0.04199013472574005)	(96, 0.046861953314167044)	(98, 0.05250033893666382)	(100, 0.05865188100345525)	(102, 0.06518987421965378)	(104, 0.07343838891683445)	(106, 0.08182627943839145)	(108, 0.0906132916388443)	(110, 0.10100312581962487)	(112, 0.11271069506723616)	(114, 0.12536221876175985)	(116, 0.13825448251656988)	(118, 0.1529142851350615)	(120, 0.17036793950582402)	(122, 0.18780892334709776)	(124, 0.20637124904812648)	(126, 0.22867771621308283)	(128, 0.25505142334393016)	(130, 0.2814378010042662)	(132, 0.3108524352124151)	(134, 0.34319396173246686)	(136, 0.3789375254202498)	(138, 0.4210543654408774)
M145_3_2_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00013937582437632487)	(4, 0.00043079800261773137)	(5, 0.0008996075937017333)	(6, 0.0021413194835999)	(7, 0.0038645114940708256)	(8, 0.00519491709039029)	(9, 0.007691011399675381)	(10, 0.010560886328878798)	(12, 0.013392749669615945)	(14, 0.01567344497759217)	(16, 0.01841027934716364)	(18, 0.02074165677309489)	(20, 0.024302075559435553)	(22, 0.027773800639354917)	(24, 0.031790358487290823)	(26, 0.03482495029984808)	(28, 0.03782786578868344)	(30, 0.041065186073060804)	(32, 0.04397940785547487)	(34, 0.0464945079589931)	(36, 0.04970648718439295)	(38, 0.052969148527747825)	(40, 0.05583902345695124)	(42, 0.05958316492087888)	(44, 0.06281414994051186)	(46, 0.06640624505057442)	(48, 0.06997933436640383)	(50, 0.07359043527069953)	(52, 0.07728389461667214)	(54, 0.08082530760877966)	(56, 0.08438572639512032)	(58, 0.08704020232301488)	(60, 0.089821383545797)	(62, 0.09373657715782285)	(64, 0.09682818635307952)	(66, 0.10014786507913379)	(68, 0.10339152062825555)	(70, 0.10636909505811339)	(72, 0.10935934001745999)	(74, 0.11195679856265514)	(76, 0.11459860396106092)	(78, 0.11736077938960991)	(80, 0.12018630746560269)	(82, 0.1230245060710842)	(84, 0.12674330647603432)	(86, 0.129651192993704)	(88, 0.1323563510395536)	(90, 0.13497281537898187)	(92, 0.13800740719153912)	(94, 0.14099131688614136)	(96, 0.1437915039031566)	(98, 0.14685777203943576)	(100, 0.1502724797366557)	(102, 0.15421301440765908)	(104, 0.15806485537224116)	(106, 0.16194203739580074)	(108, 0.16569251412447275)	(110, 0.1693479618819791)	(112, 0.1736242655844345)	(114, 0.17762815290288164)	(116, 0.18238593672590983)	(118, 0.18654820566296643)	(120, 0.19062178089360177)	(122, 0.19502478989094474)	(124, 0.19957984524215283)	(126, 0.20400186003372894)	(128, 0.20858225644391454)	(130, 0.21403058412407996)	(132, 0.2196499639523436)	(134, 0.22505394477929838)	(136, 0.23081903569668272)	(138, 0.23653344449611205)
M145_3_2_2 - illumina_universal_adapter	(1, 2.534105897751361e-05)	(2, 2.534105897751361e-05)	(3, 3.8011588466270415e-05)	(4, 3.8011588466270415e-05)	(5, 0.00013937582437632487)	(6, 0.0001900579423313521)	(7, 0.0002280695307976225)	(8, 0.0002660811192638929)	(9, 0.00027875164875264973)	(10, 0.0003040927077301633)	(12, 0.00037378061991832575)	(14, 0.00043079800261773137)	(16, 0.0005131564442946506)	(18, 0.0006525322686709755)	(20, 0.0007919080930473004)	(22, 0.0009946365648674093)	(24, 0.0011783592424543829)	(26, 0.0015141282739064383)	(28, 0.0017231920104709255)	(30, 0.0020272847182010887)	(32, 0.00242007113235255)	(34, 0.0028128575465040107)	(36, 0.003459054550430608)	(38, 0.0039025230825370963)	(40, 0.004314315290921692)	(42, 0.004669090116606883)	(44, 0.005106223383968993)	(46, 0.0054863392686316965)	(48, 0.005904466741760672)	(50, 0.006550663745687269)	(52, 0.007228537073335758)	(54, 0.007900075136239868)	(56, 0.008596954258121493)	(58, 0.009103775437671765)	(60, 0.009825995618530902)	(62, 0.010579892123111933)	(64, 0.011390806010392367)	(66, 0.01237277204577102)	(68, 0.01352579022924789)	(70, 0.014818184237101083)	(72, 0.016059896126999252)	(74, 0.017390301723318714)	(76, 0.019100823204300885)	(78, 0.020830350479516188)	(80, 0.022876640991950414)	(82, 0.024986284151828422)	(84, 0.027400020019436592)	(86, 0.03018753650696309)	(88, 0.03321579305477597)	(90, 0.0364911249276196)	(92, 0.04094481604291762)	(94, 0.045480865599892555)	(96, 0.05050473054218463)	(98, 0.056288827253802104)	(100, 0.06268110938087992)	(102, 0.06944083686313168)	(104, 0.07760065785389106)	(106, 0.08619127684726817)	(108, 0.09507965328363108)	(110, 0.10558352222981046)	(112, 0.11721506830048921)	(114, 0.13003130887836672)	(116, 0.14292990789792115)	(118, 0.15774809213502222)	(120, 0.17513839385834096)	(122, 0.19254136611114842)	(124, 0.2110593449589665)	(126, 0.2333784826534116)	(128, 0.2595748023714163)	(130, 0.28615757323882807)	(132, 0.3156609011533983)	(134, 0.3478377107900962)	(136, 0.3839487198330531)	(138, 0.4265280341800204)
M145_3_2_2 - polyg	(1, 0.17765349396185917)	(2, 0.18381137129339498)	(3, 0.18467296729863045)	(4, 0.18587666760006233)	(5, 0.18748582484513446)	(6, 0.19045072874550353)	(7, 0.19392245382542292)	(8, 0.19716610937454465)	(9, 0.2027538128790864)	(10, 0.20799941208743172)	(12, 0.21388487303495923)	(14, 0.2182371999143472)	(16, 0.22171526025901095)	(18, 0.22509829163250905)	(20, 0.22762606226551602)	(22, 0.23049593719471945)	(24, 0.2331124015341477)	(26, 0.23591892381590734)	(28, 0.23841501812519245)	(30, 0.24035360913697223)	(32, 0.24203245429423248)	(34, 0.24366695259828214)	(36, 0.24582727787611516)	(38, 0.24779754521161684)	(40, 0.2497741478118629)	(42, 0.25149100455758944)	(44, 0.25326487868601544)	(46, 0.25507042913816325)	(48, 0.25699634962045426)	(50, 0.25896661695595596)	(52, 0.26106358958634523)	(54, 0.2628818105679818)	(56, 0.26447196201882084)	(58, 0.2660811192638929)	(60, 0.26786132865706325)	(62, 0.26961619699125605)	(64, 0.27128870688377194)	(66, 0.27285351727563345)	(68, 0.2744183276674949)	(70, 0.27583109170549125)	(72, 0.27739590209735276)	(74, 0.2793661694328544)	(76, 0.2810956967080697)	(78, 0.28276187133584124)	(80, 0.2843456875219359)	(82, 0.2862082553567831)	(84, 0.28786809471981023)	(86, 0.28962929831874745)	(88, 0.29125112609330833)	(90, 0.2929616475742905)	(92, 0.2948939033213259)	(94, 0.2967184595677069)	(96, 0.298796426403863)	(98, 0.3008807285047635)	(100, 0.3029333542819421)	(102, 0.30506200323605326)	(104, 0.30747573910366144)	(106, 0.30981345179433706)	(108, 0.3121131528965464)	(110, 0.31420379026219125)	(112, 0.3169849714849734)	(114, 0.3195317479122135)	(116, 0.32198349536828796)	(118, 0.32432754332370795)	(120, 0.32656389177847356)	(122, 0.32883825182170534)	(124, 0.3314420456316449)	(126, 0.33402049838260695)	(128, 0.3364912516329145)	(130, 0.3391710686197865)	(132, 0.34200926722526803)	(134, 0.3450185179788478)	(136, 0.34770467023046425)	(138, 0.3507392620430215)
M145_3_3_1 - illumina_universal_adapter	(1, 6.736474506485878e-05)	(2, 6.736474506485878e-05)	(3, 8.083769407783053e-05)	(4, 0.00013472949012971756)	(5, 0.00020209423519457632)	(6, 0.00025598603124646336)	(7, 0.0002964048782853786)	(8, 0.0003233507763113221)	(9, 0.00035029667433726566)	(10, 0.00036376962335023743)	(12, 0.00043787084292158207)	(14, 0.0005793368075577855)	(16, 0.0006871203996615595)	(18, 0.0008083769407783053)	(20, 0.0009296334818950511)	(22, 0.0011182547680766556)	(24, 0.0012799301562323169)	(26, 0.0014954973404398648)	(28, 0.0017514833716863283)	(30, 0.0020142058774392773)	(32, 0.0022971378067116843)	(34, 0.002600279159503549)	(36, 0.0028832110887759554)	(38, 0.0032132983395937635)	(40, 0.0035568585394245436)	(42, 0.004055357652904499)	(44, 0.004432600225267707)	(46, 0.0048435251701633465)	(48, 0.005308341911110872)	(50, 0.005739476279525968)	(52, 0.006251448342018895)	(54, 0.006763420404511821)	(56, 0.007389912533615008)	(58, 0.00813766120383494)	(60, 0.008858463976028928)	(62, 0.009666840916807234)	(64, 0.010421326061533651)	(66, 0.01132401364540276)	(68, 0.012368167193908071)	(70, 0.013446003114945811)	(72, 0.014712460322165156)	(74, 0.016315741254708797)	(76, 0.017757346799096775)	(78, 0.019441465425718243)	(80, 0.021374833609079692)	(82, 0.023314938266947624)	(84, 0.02555818427760742)	(86, 0.02856265190750012)	(88, 0.03151996421584742)	(90, 0.03501619448471359)	(92, 0.038876194376930004)	(94, 0.042864187284769636)	(96, 0.047384361678621666)	(98, 0.05211336678217475)	(100, 0.057691167673545055)	(102, 0.06417839262329096)	(104, 0.07113043431398439)	(106, 0.07874265050631342)	(108, 0.08615950893795438)	(110, 0.09522680362368437)	(112, 0.1056077108381791)	(114, 0.11662858313079)	(116, 0.12870708192091918)	(118, 0.14160069412633314)	(120, 0.1567847076639523)	(122, 0.1728714087854406)	(124, 0.19091842398831627)	(126, 0.21072365903738474)	(128, 0.23393755018673507)	(130, 0.2588961882332652)	(132, 0.2852560129771445)	(134, 0.31484260900963046)	(136, 0.3484374073734755)	(138, 0.38853964011058595)
M145_3_3_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00012125654111674579)	(4, 0.0005658638585448137)	(5, 0.0011452006661025992)	(6, 0.002694589802594351)	(7, 0.004513437919345538)	(8, 0.0060763000048502614)	(9, 0.008932565195600274)	(10, 0.013297800675803124)	(12, 0.01684792274072118)	(14, 0.019353891257133927)	(16, 0.02243246010659797)	(18, 0.025059685164127467)	(20, 0.029539440710940574)	(22, 0.03357458894032561)	(24, 0.03845179648302139)	(26, 0.041853716108796755)	(28, 0.045248899260065645)	(30, 0.048415042278114)	(32, 0.05102879438663052)	(34, 0.053346141616861666)	(36, 0.05645839283885814)	(38, 0.05965821822943893)	(40, 0.06273005060439649)	(42, 0.06673825293575558)	(44, 0.07058477987895903)	(46, 0.07416858431640952)	(48, 0.07823741491832698)	(50, 0.08174038166169964)	(52, 0.08530397667563067)	(54, 0.08862505860732821)	(56, 0.092296437213363)	(58, 0.09510554708256762)	(60, 0.09801570406936952)	(62, 0.10217884531437779)	(64, 0.10566833910873748)	(66, 0.10927908944421391)	(68, 0.11228355707410662)	(70, 0.11507245751979175)	(72, 0.11797587803208717)	(74, 0.12110833867760311)	(76, 0.1240723874604569)	(78, 0.12701622681979122)	(80, 0.13009479566925528)	(82, 0.13320704689125173)	(84, 0.13660223004252064)	(86, 0.1396201706214263)	(88, 0.14255053703174764)	(90, 0.1454068022224977)	(92, 0.14811486497410498)	(94, 0.1511530149765301)	(96, 0.1537937129830726)	(98, 0.1567442888169134)	(100, 0.16005863427410444)	(102, 0.16416788372306085)	(104, 0.16796725534471887)	(106, 0.1723931190954801)	(108, 0.1762531189876965)	(110, 0.18047688850326316)	(112, 0.1850846370656995)	(114, 0.18885706278933156)	(116, 0.1944213907316889)	(118, 0.1982005529298275)	(120, 0.20184498563783637)	(122, 0.20661440958842836)	(124, 0.21085838852751446)	(126, 0.21572212312119726)	(128, 0.22029618931110118)	(130, 0.22601545616710766)	(132, 0.23157304763495853)	(134, 0.23725863211843262)	(136, 0.24291727070388075)	(138, 0.24875779410100402)
M145_3_3_2 - illumina_universal_adapter	(1, 6.736474506485878e-05)	(2, 6.736474506485878e-05)	(3, 8.083769407783053e-05)	(4, 0.00012125654111674579)	(5, 0.00018862128618160457)	(6, 0.00024251308223349158)	(7, 0.00028293192927240685)	(8, 0.0003098778272983504)	(9, 0.0003637696233502374)	(10, 0.00037724257236320915)	(12, 0.0004580802664410397)	(14, 0.0006197556545967007)	(16, 0.00076795809373939)	(18, 0.0008824781603496499)	(20, 0.0010104711759728816)	(22, 0.0012260383601804298)	(24, 0.0014079231718555484)	(26, 0.0016639092031020119)	(28, 0.001973787030400362)	(30, 0.002324083704737628)	(32, 0.002694589802594351)	(34, 0.0031728794925548484)	(36, 0.003570331488437515)	(38, 0.003981256433333154)	(40, 0.0045134379193455375)	(42, 0.005086038252396838)	(44, 0.005564327942357335)	(46, 0.006089772953863233)	(48, 0.006669109761421019)	(50, 0.007282128941511234)	(52, 0.007901884596107935)	(54, 0.008508167301691663)	(56, 0.009235706548392139)	(58, 0.010084502336209358)	(60, 0.010960244022052524)	(62, 0.011943769299999461)	(64, 0.01289361220541397)	(66, 0.013978184600958198)	(68, 0.015103175843541337)	(70, 0.016268585933163396)	(72, 0.017649563206993)	(74, 0.019407783053185815)	(76, 0.020903280393625677)	(78, 0.022661500239818493)	(80, 0.02464202374472534)	(82, 0.026561918979073815)	(84, 0.028946630954369813)	(86, 0.03187026089018469)	(88, 0.03482757319853198)	(90, 0.03837095878894356)	(92, 0.042379161120302655)	(94, 0.04638736345166175)	(96, 0.05119720624929267)	(98, 0.05616872443507925)	(100, 0.062063139628254396)	(102, 0.0687794047112208)	(104, 0.07575839229994018)	(106, 0.08336387201776274)	(108, 0.0910636623786761)	(110, 0.1002656865545358)	(112, 0.11086889742774458)	(114, 0.12185608734782305)	(116, 0.1338470119693679)	(118, 0.1470639749510932)	(120, 0.16239619092785507)	(122, 0.17876582397861573)	(124, 0.19674547443642654)	(126, 0.2166989119246377)	(128, 0.23991280307398805)	(130, 0.2649320693910766)	(132, 0.29162198138577367)	(134, 0.32151171877105145)	(136, 0.35542313143670135)	(138, 0.39513464865243564)
M145_3_3_2 - polyg	(1, 0.17555252563902196)	(2, 0.1832186336274029)	(3, 0.18404048351719418)	(4, 0.1853743054694784)	(5, 0.18713926179017767)	(6, 0.19031887775723902)	(7, 0.19383531744962465)	(8, 0.1971900817538546)	(9, 0.2025388425120044)	(10, 0.208439994179686)	(12, 0.21454324008256223)	(14, 0.21932613698216719)	(16, 0.22332086636451332)	(18, 0.22687098842943137)	(20, 0.2302526986316873)	(22, 0.23333126748115135)	(24, 0.2361201679268365)	(26, 0.23890906837252165)	(28, 0.2414285098379474)	(30, 0.24373238411916553)	(32, 0.24566575230252696)	(34, 0.24786184299164138)	(36, 0.24994341361414552)	(38, 0.25201151128763666)	(40, 0.2538775147259333)	(42, 0.25584456528182714)	(44, 0.25741416384183835)	(46, 0.25888945175875877)	(48, 0.2604859962167959)	(50, 0.26231831728256005)	(52, 0.26423147604240205)	(54, 0.26594927704155596)	(56, 0.2674919297035412)	(58, 0.26907500121256545)	(60, 0.2705637620784988)	(62, 0.2720323135209127)	(64, 0.2737096956730277)	(66, 0.27549486141724644)	(68, 0.2770307776047253)	(70, 0.27849932904713914)	(72, 0.28045290665402006)	(74, 0.28234585599034256)	(76, 0.28403671109147055)	(78, 0.2856804108710531)	(80, 0.28760704257990805)	(82, 0.2894528365946852)	(84, 0.2912649482369299)	(86, 0.2928345467969411)	(88, 0.2942155240707707)	(90, 0.2957042849367041)	(92, 0.2975096601044423)	(94, 0.29960470367595937)	(96, 0.30143702474172357)	(98, 0.30320871753692935)	(100, 0.3050814574497324)	(102, 0.3069811432605615)	(104, 0.30908292330658504)	(106, 0.3118179319562183)	(108, 0.3142161168805273)	(110, 0.3165671464832909)	(112, 0.3186150347332626)	(114, 0.3209728008105326)	(116, 0.3235393975975037)	(118, 0.32578264360816356)	(120, 0.32831555802260226)	(122, 0.3305924864057944)	(124, 0.3326605840792856)	(126, 0.3348903571409324)	(128, 0.3369786642379431)	(130, 0.33953852455040767)	(132, 0.34213880370991123)	(134, 0.3445976169047786)	(136, 0.3474201997229962)	(138, 0.35031014728627863)
