motif_group	category	n_sites	observed	expected	fold_enrichment	odds_ratio	OR_CI_low	OR_CI_high	p_value	direction	p_bonferroni
CCGG_other_4mC_T2	Transport	39	4	3.2	1.23	1.26	0.446	3.556	0.5627481914469608	enriched	1.0
CCGG_other_4mC_T2	DNA/RNA metabolism	39	2	1.9	1.04	1.046	0.251	4.355	0.7176108975570002	enriched	1.0
CCGG_other_4mC_T2	Stress/Defense	39	3	1.2	2.45	2.571	0.787	8.406	0.12450830680166919	enriched	1.0
CCGG_other_4mC_T2	Secondary metabolism	39	1	1.0	0.97	0.971	0.133	7.105	1.0	depleted	1.0
CCGG_other_4mC_T2	Translation	39	1	0.5	2.14	2.166	0.294	15.934	0.3779972113710554	enriched	1.0
CCGG_other_4mC_T2	Membrane/Cell wall	39	0	0.4	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T3	Regulatory/TF	6	0	0.6	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T3	Hypothetical	6	0	0.8	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T3	Primary metabolism	6	1	1.3	0.74	0.691	0.081	5.922	1.0	depleted	1.0
CCGG_other_4mC_T3	Other	6	3	2.0	1.5	1.995	0.402	9.89	0.4081261237592928	enriched	1.0
CCGG_other_4mC_T3	Transport	6	1	0.5	2.0	2.205	0.257	18.9	0.4064043492711734	enriched	1.0
CCGG_other_4mC_T3	DNA/RNA metabolism	6	0	0.3	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T3	Stress/Defense	6	1	0.2	5.31	6.171	0.718	53.02	0.1747368578486232	enriched	1.0
CCGG_other_4mC_T3	Secondary metabolism	6	0	0.2	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T3	Translation	6	0	0.1	0.0	0.0	0.0	inf	1.0	depleted	1.0
CCGG_other_4mC_T3	Membrane/Cell wall	6	0	0.1	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_4mC_T1	Regulatory/TF	587	35	57.3	0.61	0.587	0.414	0.832	0.001676999336728516	depleted	0.016769993367285158
AAGCCCG_4mC_T1	Hypothetical	587	44	78.1	0.56	0.528	0.386	0.723	2.3357079564984877e-05	depleted	0.00023357079564984877
AAGCCCG_4mC_T1	Primary metabolism	587	141	131.7	1.07	1.093	0.898	1.33	0.3843657254513018	enriched	1.0
AAGCCCG_4mC_T1	Other	587	202	196.0	1.03	1.047	0.877	1.249	0.6183030940560312	enriched	1.0
AAGCCCG_4mC_T1	Transport	587	61	48.8	1.25	1.278	0.969	1.686	0.090400709046727	enriched	0.9040070904672701
AAGCCCG_4mC_T1	DNA/RNA metabolism	587	34	28.9	1.18	1.189	0.829	1.706	0.3261302803281572	enriched	1.0
AAGCCCG_4mC_T1	Stress/Defense	587	31	18.4	1.68	1.72	1.173	2.523	0.00793149068328647	enriched	0.0793149068328647
AAGCCCG_4mC_T1	Secondary metabolism	587	18	15.5	1.16	1.167	0.716	1.903	0.5068278002739312	enriched	1.0
AAGCCCG_4mC_T1	Translation	587	13	7.0	1.84	1.864	1.038	3.347	0.0520273825432217	enriched	0.520273825432217
AAGCCCG_4mC_T1	Membrane/Cell wall	587	8	5.3	1.51	1.521	0.729	3.172	0.2609353443178467	enriched	1.0
AAGCCCG_4mC_T2	Regulatory/TF	212	10	20.7	0.48	0.458	0.242	0.868	0.012584336215763901	depleted	0.12584336215763903
AAGCCCG_4mC_T2	Hypothetical	212	14	28.2	0.5	0.461	0.267	0.795	0.002719412653629013	depleted	0.02719412653629013
AAGCCCG_4mC_T2	Primary metabolism	212	62	47.6	1.3	1.429	1.058	1.93	0.024358060668866692	enriched	0.24358060668866693
AAGCCCG_4mC_T2	Other	212	69	70.8	0.97	0.963	0.719	1.288	0.8251620632990901	depleted	1.0
AAGCCCG_4mC_T2	Transport	212	24	17.6	1.36	1.407	0.913	2.168	0.13065013592697033	enriched	1.0
AAGCCCG_4mC_T2	DNA/RNA metabolism	212	13	10.4	1.25	1.264	0.715	2.235	0.4197388420346745	enriched	1.0
AAGCCCG_4mC_T2	Stress/Defense	212	7	6.7	1.05	1.054	0.491	2.261	0.840981995772272	enriched	1.0
AAGCCCG_4mC_T2	Secondary metabolism	212	10	5.6	1.79	1.827	0.954	3.497	0.08013165870273661	enriched	0.8013165870273662
AAGCCCG_4mC_T2	Translation	212	2	2.5	0.79	0.784	0.192	3.2	1.0	depleted	1.0
AAGCCCG_4mC_T2	Membrane/Cell wall	212	1	1.9	0.52	0.522	0.072	3.771	1.0	depleted	1.0
AAGCCCG_4mC_T3	Regulatory/TF	15	1	1.5	0.68	0.661	0.087	5.032	1.0	depleted	1.0
AAGCCCG_4mC_T3	Hypothetical	15	1	2.0	0.5	0.465	0.061	3.543	0.709231350213299	depleted	1.0
AAGCCCG_4mC_T3	Primary metabolism	15	6	3.4	1.78	2.305	0.819	6.484	0.12012498980950027	enriched	1.0
AAGCCCG_4mC_T3	Other	15	3	5.0	0.6	0.499	0.141	1.769	0.4118611595148678	depleted	1.0
AAGCCCG_4mC_T3	Transport	15	2	1.2	1.6	1.696	0.382	7.532	0.3588033013698786	enriched	1.0
AAGCCCG_4mC_T3	DNA/RNA metabolism	15	2	0.7	2.71	2.976	0.669	13.235	0.167122584696756	enriched	1.0
AAGCCCG_4mC_T3	Stress/Defense	15	0	0.5	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_4mC_T3	Secondary metabolism	15	0	0.4	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_4mC_T3	Translation	15	0	0.2	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_4mC_T3	Membrane/Cell wall	15	0	0.1	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_6mA_T1	Regulatory/TF	260	11	25.4	0.43	0.409	0.222	0.751	0.0017452263343379916	depleted	0.017452263343379917
AAGCCCG_6mA_T1	Hypothetical	260	18	34.6	0.52	0.485	0.299	0.786	0.0019291521703793633	depleted	0.019291521703793633
AAGCCCG_6mA_T1	Primary metabolism	260	67	58.3	1.15	1.2	0.904	1.592	0.20072466006545142	enriched	1.0
AAGCCCG_6mA_T1	Other	260	96	86.8	1.11	1.168	0.904	1.509	0.2563167175857658	enriched	1.0
AAGCCCG_6mA_T1	Transport	260	21	21.6	0.97	0.969	0.616	1.524	1.0	depleted	1.0
AAGCCCG_6mA_T1	DNA/RNA metabolism	260	18	12.8	1.41	1.439	0.882	2.348	0.14614044147601962	enriched	1.0
AAGCCCG_6mA_T1	Stress/Defense	260	16	8.2	1.96	2.023	1.202	3.407	0.011792315901868156	enriched	0.11792315901868156
AAGCCCG_6mA_T1	Secondary metabolism	260	5	6.9	0.73	0.723	0.295	1.772	0.6904634067516774	depleted	1.0
AAGCCCG_6mA_T1	Translation	260	3	3.1	0.96	0.961	0.302	3.052	1.0	depleted	1.0
AAGCCCG_6mA_T1	Membrane/Cell wall	260	5	2.3	2.14	2.158	0.864	5.388	0.09483210319388481	enriched	0.9483210319388481
AAGCCCG_6mA_T2	Regulatory/TF	64	4	6.2	0.64	0.617	0.224	1.702	0.5220405441182411	depleted	1.0
AAGCCCG_6mA_T2	Hypothetical	64	3	8.5	0.35	0.32	0.1	1.023	0.04072773559807477	depleted	0.4072773559807477
AAGCCCG_6mA_T2	Primary metabolism	64	17	14.4	1.18	1.25	0.716	2.183	0.4518985154302221	enriched	1.0
AAGCCCG_6mA_T2	Other	64	27	21.4	1.26	1.456	0.884	2.396	0.14450537694381485	enriched	1.0
AAGCCCG_6mA_T2	Transport	64	4	5.3	0.75	0.735	0.266	2.028	0.8184517818934149	depleted	1.0
AAGCCCG_6mA_T2	DNA/RNA metabolism	64	3	3.1	0.95	0.951	0.297	3.046	1.0	depleted	1.0
AAGCCCG_6mA_T2	Stress/Defense	64	4	2.0	1.99	2.057	0.742	5.704	0.14374360824684135	enriched	1.0
AAGCCCG_6mA_T2	Secondary metabolism	64	2	1.7	1.18	1.19	0.289	4.898	0.6866833670646607	enriched	1.0
AAGCCCG_6mA_T2	Translation	64	0	0.8	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_6mA_T2	Membrane/Cell wall	64	0	0.6	0.0	0.0	0.0	inf	1.0	depleted	1.0
AAGCCCG_6mA_T3	Regulatory/TF	38	2	3.7	0.54	0.514	0.124	2.139	0.5794214051218568	depleted	1.0
AAGCCCG_6mA_T3	Hypothetical	38	9	5.1	1.78	2.022	0.954	4.283	0.08775876931141455	enriched	0.8775876931141455
AAGCCCG_6mA_T3	Primary metabolism	38	11	8.5	1.29	1.408	0.697	2.845	0.3324024665909986	enriched	1.0
AAGCCCG_6mA_T3	Other	38	7	12.7	0.55	0.45	0.198	1.024	0.057300900681275795	depleted	0.5730090068127579
AAGCCCG_6mA_T3	Transport	38	6	3.2	1.9	2.067	0.861	4.961	0.1289472141967127	enriched	1.0
AAGCCCG_6mA_T3	DNA/RNA metabolism	38	0	1.9	0.0	0.0	0.0	inf	0.26104496247588593	depleted	1.0
AAGCCCG_6mA_T3	Stress/Defense	38	0	1.2	0.0	0.0	0.0	inf	0.6324401270902589	depleted	1.0
AAGCCCG_6mA_T3	Secondary metabolism	38	1	1.0	1.0	0.997	0.136	7.302	1.0	depleted	1.0
AAGCCCG_6mA_T3	Translation	38	2	0.5	4.38	4.572	1.085	19.259	0.07800412973916282	enriched	0.7800412973916282
AAGCCCG_6mA_T3	Membrane/Cell wall	38	0	0.3	0.0	0.0	0.0	inf	1.0	depleted	1.0
All_4mC_T1	Regulatory/TF	1987	121	193.8	0.62	0.6	0.492	0.731	1.3890874793160768e-07	depleted	1.3890874793160767e-06
All_4mC_T1	Hypothetical	1987	144	264.4	0.54	0.509	0.425	0.61	8.056461496151929e-15	depleted	8.056461496151928e-14
All_4mC_T1	Primary metabolism	1987	524	445.8	1.18	1.238	1.106	1.386	0.00023164499559105402	enriched	0.0023164499559105403
All_4mC_T1	Other	1987	642	663.5	0.97	0.952	0.857	1.057	0.3655325628681807	depleted	1.0
All_4mC_T1	Transport	1987	219	165.3	1.33	1.366	1.162	1.605	0.00020668365630957473	enriched	0.0020668365630957474
All_4mC_T1	DNA/RNA metabolism	1987	127	97.7	1.3	1.321	1.075	1.624	0.009408253227536965	enriched	0.09408253227536965
All_4mC_T1	Stress/Defense	1987	83	62.4	1.33	1.345	1.044	1.733	0.02547890053325794	enriched	0.2547890053325794
All_4mC_T1	Secondary metabolism	1987	74	52.4	1.41	1.427	1.09	1.869	0.012755798596606206	enriched	0.12755798596606205
All_4mC_T1	Translation	1987	25	23.9	1.05	1.049	0.673	1.633	0.8190574061972704	enriched	1.0
All_4mC_T1	Membrane/Cell wall	1987	28	17.9	1.56	1.573	1.014	2.441	0.05774215642903943	enriched	0.5774215642903944
All_4mC_T2	Regulatory/TF	664	43	64.8	0.66	0.641	0.466	0.88	0.004670516112964431	depleted	0.046705161129644304
All_4mC_T2	Hypothetical	664	50	88.4	0.57	0.531	0.395	0.713	7.3337789594154955e-06	depleted	7.333778959415496e-05
All_4mC_T2	Primary metabolism	664	192	149.0	1.29	1.406	1.18	1.677	0.0002103632957392075	enriched	0.0021036329573920747
All_4mC_T2	Other	664	215	221.7	0.97	0.955	0.807	1.131	0.6074205072021372	depleted	1.0
All_4mC_T2	Transport	664	83	55.2	1.5	1.575	1.235	2.009	0.00041334331953098077	enriched	0.004133433195309808
All_4mC_T2	DNA/RNA metabolism	664	29	32.6	0.89	0.884	0.601	1.299	0.5745870438390535	depleted	1.0
All_4mC_T2	Stress/Defense	664	16	20.8	0.77	0.762	0.457	1.271	0.3497399999400397	depleted	1.0
All_4mC_T2	Secondary metabolism	664	29	17.5	1.66	1.685	1.133	2.505	0.013339947499373794	enriched	0.13339947499373794
All_4mC_T2	Translation	664	3	8.0	0.38	0.373	0.118	1.182	0.08688650188193951	depleted	0.8688650188193952
All_4mC_T2	Membrane/Cell wall	664	4	6.0	0.67	0.667	0.243	1.831	0.6619649216644373	depleted	1.0
All_4mC_T3	Regulatory/TF	42	4	4.1	0.98	0.974	0.347	2.736	1.0	depleted	1.0
All_4mC_T3	Hypothetical	42	3	5.6	0.54	0.501	0.155	1.625	0.35889715216183926	depleted	1.0
All_4mC_T3	Primary metabolism	42	12	9.4	1.27	1.383	0.707	2.707	0.35423245860548747	enriched	1.0
All_4mC_T3	Other	42	12	14.0	0.86	0.798	0.408	1.561	0.6231685387356816	depleted	1.0
All_4mC_T3	Transport	42	5	3.5	1.43	1.49	0.584	3.803	0.39400808692077305	enriched	1.0
All_4mC_T3	DNA/RNA metabolism	42	3	2.1	1.45	1.488	0.458	4.837	0.4616163497960242	enriched	1.0
All_4mC_T3	Stress/Defense	42	1	1.3	0.76	0.753	0.103	5.493	1.0	depleted	1.0
All_4mC_T3	Secondary metabolism	42	2	1.1	1.8	1.845	0.443	7.684	0.30633649320981843	enriched	1.0
All_4mC_T3	Translation	42	0	0.5	0.0	0.0	0.0	inf	1.0	depleted	1.0
All_4mC_T3	Membrane/Cell wall	42	0	0.4	0.0	0.0	0.0	inf	1.0	depleted	1.0
