gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS14745,SCO2539,-1.6271734001069285,4.0602192159675884e-20,-59.04666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS15045,SCO2598,-2.0277463135288207,2.895297451286593e-22,58.669999999999995,T2_vs_T1,6mA,,,,,,,,,
SC_RS15255,SCO2636,-1.171662926629089,2.7358625367466848e-05,58.576666666666675,T2_vs_T1,6mA,,,,,,,,,
SC_RS16500,SCO2880,6.214245548697345,5.452838720086507e-75,59.629999999999995,T2_vs_T1,6mA,,,,,,,,,
SC_RS17860,SCO3150,-1.125436608698822,6.498760961851748e-06,57.65,T2_vs_T1,6mA,,,,,,,,,
SC_RS17930,SCO3164,-1.0303868461828014,8.643324575275107e-05,-52.27333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS19695,SCO3515,-1.4586945016513082,0.0176216803355118,-57.626666666666665,T2_vs_T1,6mA,,,,,,,,,
SC_RS19920,SCO3557,1.1437374848085382,0.001836953298931,-51.03,T2_vs_T1,6mA,,,,,,,,,
SC_RS20270,SCO3627,-3.242646175359007,1.1814238797918461e-07,51.95666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS20795,SCO3733,-2.5123066617449545,8.813027366113145e-38,-58.31999999999999,T2_vs_T1,6mA,,,,,,,,,
SC_RS22225,SCO4021,-1.291859747883198,0.0035199663755551,59.40666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS22780,SCO4122,-3.79957961958281,5.766380137126139e-88,-56.11666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS22855,SCO4134,-1.3657210038734158,3.151369281666591e-11,-61.77333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS22910,SCO4144,3.9384946358729542,1.4127845718220822e-84,-55.583333333333336,T2_vs_T1,6mA,,,,,,,,,
SC_RS22915,SCO4145,2.725144307021672,3.602645767685048e-39,57.7,T2_vs_T1,6mA,,,,,,,,,
SC_RS23185,SCO4200,1.363184615019574,3.356009241308248e-07,-12.923333333333346,T2_vs_T1,6mA,,,,,,,,,
SC_RS23450,SCO4252,2.827055430939573,5.3006255698795385e-31,-56.4,T2_vs_T1,6mA,,,,,,,,,
SC_RS24370,SCO4441,3.6890665244051695,3.3894629548345035e-70,-55.879999999999995,T2_vs_T1,6mA,,,,,,,,,
SC_RS24380,SCO4443,2.1231739543915493,1.4387410976569703e-24,58.3,T2_vs_T1,6mA,,,,,,,,,
SC_RS25055,SCO4580,1.9190466806913635,1.2569074168691232e-20,58.67666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS25060,SCO4581,3.656064010340054,2.7334265221058907e-59,58.67666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS25370,SCO4639,-1.205765616879327,2.4762759966205292e-09,-54.98333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS26190,SCO4805,-2.34586946586079,4.202247167935599e-30,55.74,T2_vs_T1,6mA,,,,,,,,,
SC_RS26195,SCO4806,-2.3797029929307567,1.0963831592669626e-30,54.61000000000001,T2_vs_T1,6mA,,,,,,,,,
SC_RS26315,SCO4831,-2.427713072026714,8.154700527456043e-15,-56.39333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS26590,SCO4886,-2.725706274840717,6.788903724865328e-79,-54.13,T2_vs_T1,6mA,,,,,,,,,
SC_RS26965,SCO4960,-1.272316820268741,1.1788458467230524e-08,-54.07,T2_vs_T1,6mA,,,,,,,,,
SC_RS27080,SCO4984,-1.2193318752110196,5.094246921098491e-12,57.553333333333335,T2_vs_T1,6mA,,,,,,,,,
SC_RS27215,SCO5010,3.883217572954316,9.578019421288161e-59,56.27333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS27300,SCO5027,-2.2543700120671244,1.2788777406186013e-17,-58.98333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS28555,SCO5274,1.8729769554004196,1.5514572893504203e-09,69.36,T2_vs_T1,6mA,,,,,,,,,
SC_RS29345,SCO5432,1.2042252226261456,1.0302455550389695e-05,54.77333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS29545,SCO5472,-1.1590580662931609,5.525458342260256e-07,-56.64666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS29550,SCO5473,-1.3081808347232775,1.0054629507682401e-07,-56.64666666666667,T2_vs_T1,6mA,,,,,,,,,
