pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj	comparison	direction
sco00620	Pyruvate metabolism - Streptomyces coelicolor	25	56	0.012807377049180328	1.8234503073770492	7.426401306222019e-4	0.017637703102277295	T2vsT1	Up
sco01100	Metabolic pathways - Streptomyces coelicolor	302	1066	0.15471311475409835	1.157155407067942	0.0010960486986132806	0.02082492527365233	T2vsT1	Up
sco00290	Valine, leucine and isoleucine biosynthesis - Streptomyces coelicolor	10	17	0.005122950819672131	2.4026639344262293	0.0025951598241143047	0.03961318223226969	T2vsT1	Up
sco00909	Sesquiterpenoid and triterpenoid biosynthesis - Streptomyces coelicolor	4	4	0.0020491803278688526	4.08452868852459	0.0035844567829673496	0.03961318223226969	T2vsT1	Up
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	6	8	0.0030737704918032786	3.0633965163934422	0.00375282779042555	0.03961318223226969	T2vsT1	Up
sco01320	Sulfur cycle - Streptomyces coelicolor	6	8	0.0030737704918032786	3.0633965163934422	0.00375282779042555	0.03961318223226969	T2vsT1	Up
sco00500	Starch and sucrose metabolism - Streptomyces coelicolor	22	54	0.011270491803278689	1.6640672434729813	0.005986991400247832	0.0568764183023544	T2vsT1	Up
sco00770	Pantothenate and CoA biosynthesis - Streptomyces coelicolor	13	28	0.00665983606557377	1.896388319672131	0.009258884351113708	0.07996309212325475	T2vsT1	Up
sco00410	beta-Alanine metabolism - Streptomyces coelicolor	10	20	0.005122950819672131	2.042264344262295	0.011832286461049587	0.09367226781664256	T2vsT1	Up
sco03010	Ribosome - Streptomyces coelicolor	59	78	0.0326508024349751	3.3374980488981594	7.965459567742823e-35	6.611331441226544e-33	T2vsT1	Down
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor	61	164	0.033757609297177645	1.6411549934536425	1.5300272128990504e-5	6.349612933531059e-4	T2vsT1	Down
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	20	37	0.011068068622025456	2.3850192195515936	3.1940037617724876e-5	8.836743740903883e-4	T2vsT1	Down
sco01232	Nucleotide metabolism - Streptomyces coelicolor	24	49	0.013281682346430549	2.161119456083485	4.556607664819249e-5	9.454960904499942e-4	T2vsT1	Down
sco03440	Homologous recombination - Streptomyces coelicolor	13	23	0.007194244604316547	2.4939005317485146	4.472489758117339e-4	0.00621807695919185	T2vsT1	Down
sco00730	Thiamine metabolism - Streptomyces coelicolor	9	13	0.004980630879911455	3.0546592311949254	4.4949953921868794e-4	0.00621807695919185	T2vsT1	Down
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	15	95	0.008301051466519093	0.6966766667637551	0.0014314700253321973	0.01697314458608177	T2vsT1	Down
sco03030	DNA replication - Streptomyces coelicolor	11	20	0.006087437742114001	2.4267570558937464	0.001681929163561883	0.017450015071954535	T2vsT1	Down
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor	22	56	0.012174875484228001	1.7333978970669617	0.00373384196008225	0.034434320298536304	T2vsT1	Down
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor	18	45	0.00996126175982291	1.764914222468179	0.006705834817335669	0.05565842898388605	T2vsT1	Down
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Streptomyces coelicolor	7	12	0.00387382401770891	2.573833241099428	0.00809195419775116	0.05773945040671235	T2vsT1	Down
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor	15	36	0.008301051466519093	1.8384523150710201	0.008347872347958411	0.05773945040671235	T2vsT1	Down
sco00230	Purine metabolism - Streptomyces coelicolor	25	71	0.01383508577753182	1.5536216747079041	0.010712503996365043	0.06839521782294604	T2vsT1	Down
sco03430	Mismatch repair - Streptomyces coelicolor	9	19	0.004980630879911455	2.090030000291265	0.015277781092141582	0.09057541647483938	T2vsT1	Down
