gene_id	in_2v1	in_3v1	in_3v2	overlap_count	category
SC_RS02615	TRUE	TRUE	TRUE	3	All three
SC_RS02620	TRUE	TRUE	TRUE	3	All three
SC_RS02625	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02635	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02640	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02645	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02680	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS02700	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02705	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02710	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02715	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS02735	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02750	TRUE	TRUE	TRUE	3	All three
SC_RS02755	TRUE	TRUE	TRUE	3	All three
SC_RS02760	TRUE	TRUE	TRUE	3	All three
SC_RS02765	TRUE	TRUE	TRUE	3	All three
SC_RS02770	TRUE	TRUE	TRUE	3	All three
SC_RS02775	TRUE	TRUE	TRUE	3	All three
SC_RS02780	TRUE	TRUE	TRUE	3	All three
SC_RS02785	TRUE	TRUE	TRUE	3	All three
SC_RS02790	TRUE	TRUE	TRUE	3	All three
SC_RS02795	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02800	TRUE	TRUE	TRUE	3	All three
SC_RS02805	TRUE	TRUE	TRUE	3	All three
SC_RS02810	TRUE	TRUE	TRUE	3	All three
SC_RS02815	TRUE	TRUE	TRUE	3	All three
SC_RS02820	TRUE	TRUE	TRUE	3	All three
SC_RS02825	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS02835	TRUE	TRUE	TRUE	3	All three
SC_RS02845	TRUE	TRUE	TRUE	3	All three
SC_RS02850	TRUE	TRUE	TRUE	3	All three
SC_RS02855	TRUE	TRUE	TRUE	3	All three
SC_RS02860	TRUE	TRUE	TRUE	3	All three
SC_RS02875	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02880	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02885	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02890	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02910	TRUE	TRUE	TRUE	3	All three
SC_RS02915	TRUE	TRUE	TRUE	3	All three
SC_RS02920	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02925	TRUE	FALSE	FALSE	1	2v1 only
SC_RS02935	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02940	TRUE	TRUE	TRUE	3	All three
SC_RS02945	TRUE	TRUE	TRUE	3	All three
SC_RS02950	TRUE	TRUE	TRUE	3	All three
SC_RS02955	TRUE	TRUE	TRUE	3	All three
SC_RS02965	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS02970	TRUE	TRUE	TRUE	3	All three
SC_RS02975	TRUE	TRUE	TRUE	3	All three
SC_RS02980	TRUE	TRUE	TRUE	3	All three
SC_RS02985	TRUE	TRUE	TRUE	3	All three
SC_RS02990	TRUE	TRUE	TRUE	3	All three
SC_RS02995	TRUE	TRUE	TRUE	3	All three
SC_RS03000	TRUE	TRUE	TRUE	3	All three
SC_RS03005	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03010	TRUE	TRUE	TRUE	3	All three
SC_RS03015	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03020	TRUE	TRUE	TRUE	3	All three
SC_RS03025	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03030	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03035	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03040	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03045	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03050	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03060	TRUE	TRUE	TRUE	3	All three
SC_RS03065	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03110	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03140	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03145	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03155	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03160	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03170	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03175	TRUE	FALSE	FALSE	1	2v1 only
SC_RS03200	TRUE	TRUE	TRUE	3	All three
SC_RS03255	TRUE	TRUE	TRUE	3	All three
SC_RS03260	TRUE	TRUE	TRUE	3	All three
SC_RS03265	TRUE	TRUE	TRUE	3	All three
SC_RS03270	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03280	TRUE	TRUE	TRUE	3	All three
SC_RS03285	TRUE	TRUE	TRUE	3	All three
SC_RS03310	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS03340	TRUE	TRUE	TRUE	3	All three
SC_RS03350	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03365	TRUE	FALSE	FALSE	1	2v1 only
SC_RS03390	TRUE	TRUE	TRUE	3	All three
SC_RS03405	TRUE	TRUE	TRUE	3	All three
SC_RS03410	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS03415	TRUE	TRUE	TRUE	3	All three
SC_RS03420	TRUE	TRUE	TRUE	3	All three
SC_RS03425	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03435	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03440	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03445	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03450	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03455	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03485	TRUE	TRUE	TRUE	3	All three
SC_RS03490	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03495	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03500	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03515	TRUE	TRUE	TRUE	3	All three
SC_RS03530	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03535	TRUE	TRUE	TRUE	3	All three
SC_RS03540	TRUE	TRUE	TRUE	3	All three
SC_RS03545	TRUE	TRUE	TRUE	3	All three
SC_RS03550	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03605	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS03670	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03680	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03690	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS03740	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03760	TRUE	TRUE	TRUE	3	All three
SC_RS03775	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03780	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03785	TRUE	TRUE	TRUE	3	All three
SC_RS03805	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03810	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03815	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03820	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03825	TRUE	TRUE	TRUE	3	All three
SC_RS03830	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03835	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03840	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03845	TRUE	TRUE	TRUE	3	All three
SC_RS03850	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03855	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03860	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03865	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03870	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03875	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03880	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03885	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03890	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03895	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03900	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03905	TRUE	TRUE	TRUE	3	All three
SC_RS03910	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03915	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03920	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03925	TRUE	FALSE	FALSE	1	2v1 only
SC_RS03930	TRUE	TRUE	TRUE	3	All three
SC_RS03935	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03945	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03955	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03990	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS03995	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04015	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04020	TRUE	TRUE	TRUE	3	All three
SC_RS04030	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04035	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04040	TRUE	TRUE	TRUE	3	All three
SC_RS04060	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04070	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04085	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04090	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04095	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04100	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04105	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04110	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04115	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04120	TRUE	TRUE	TRUE	3	All three
SC_RS04125	TRUE	TRUE	TRUE	3	All three
SC_RS04140	TRUE	TRUE	TRUE	3	All three
SC_RS04160	TRUE	TRUE	TRUE	3	All three
SC_RS04175	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04180	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04185	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04190	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04210	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04225	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04240	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04250	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04270	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04300	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04345	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04360	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04365	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04370	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04375	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04380	TRUE	TRUE	TRUE	3	All three
SC_RS04385	TRUE	TRUE	TRUE	3	All three
SC_RS04390	TRUE	TRUE	TRUE	3	All three
SC_RS04395	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04400	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04405	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04410	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04415	TRUE	TRUE	TRUE	3	All three
SC_RS04425	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04440	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04445	TRUE	TRUE	TRUE	3	All three
SC_RS04460	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04465	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04485	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04505	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04510	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04535	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04540	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04555	TRUE	TRUE	TRUE	3	All three
SC_RS04600	TRUE	TRUE	TRUE	3	All three
SC_RS04605	TRUE	TRUE	TRUE	3	All three
SC_RS04610	TRUE	TRUE	TRUE	3	All three
SC_RS04615	TRUE	TRUE	TRUE	3	All three
SC_RS04630	TRUE	TRUE	TRUE	3	All three
SC_RS04635	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04640	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04645	TRUE	TRUE	TRUE	3	All three
SC_RS04660	TRUE	TRUE	TRUE	3	All three
SC_RS04665	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04695	TRUE	TRUE	TRUE	3	All three
SC_RS04710	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04715	TRUE	TRUE	TRUE	3	All three
SC_RS04720	TRUE	TRUE	TRUE	3	All three
SC_RS04725	TRUE	TRUE	TRUE	3	All three
SC_RS04735	TRUE	TRUE	TRUE	3	All three
SC_RS04740	TRUE	TRUE	TRUE	3	All three
SC_RS04770	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04775	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04780	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04785	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04795	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04815	TRUE	TRUE	TRUE	3	All three
SC_RS04825	TRUE	TRUE	TRUE	3	All three
SC_RS04830	TRUE	TRUE	TRUE	3	All three
SC_RS04840	TRUE	TRUE	TRUE	3	All three
SC_RS04845	TRUE	TRUE	TRUE	3	All three
SC_RS04850	TRUE	TRUE	TRUE	3	All three
SC_RS04855	TRUE	TRUE	TRUE	3	All three
SC_RS04860	TRUE	TRUE	TRUE	3	All three
SC_RS04865	TRUE	TRUE	TRUE	3	All three
SC_RS04870	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04875	TRUE	TRUE	TRUE	3	All three
SC_RS04880	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04885	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04890	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04900	TRUE	TRUE	TRUE	3	All three
SC_RS04905	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04910	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04925	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04930	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS04960	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04965	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04975	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS04980	TRUE	FALSE	FALSE	1	2v1 only
SC_RS04995	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05000	TRUE	TRUE	TRUE	3	All three
SC_RS05005	TRUE	TRUE	TRUE	3	All three
SC_RS05030	TRUE	TRUE	TRUE	3	All three
SC_RS05060	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05065	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05085	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05090	TRUE	TRUE	TRUE	3	All three
SC_RS05125	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05130	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05135	TRUE	TRUE	TRUE	3	All three
SC_RS05160	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05185	TRUE	TRUE	TRUE	3	All three
SC_RS05200	TRUE	TRUE	TRUE	3	All three
SC_RS05250	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05255	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05260	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05265	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05270	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05280	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05285	TRUE	TRUE	TRUE	3	All three
SC_RS05300	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05305	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05310	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05315	TRUE	TRUE	TRUE	3	All three
SC_RS05320	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05325	TRUE	TRUE	TRUE	3	All three
SC_RS05330	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05335	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05340	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05345	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05360	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05365	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05370	TRUE	TRUE	TRUE	3	All three
SC_RS05410	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05415	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05420	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05425	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05430	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05435	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05445	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05450	TRUE	TRUE	TRUE	3	All three
SC_RS05490	TRUE	TRUE	TRUE	3	All three
SC_RS05505	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05510	TRUE	TRUE	TRUE	3	All three
SC_RS05515	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05520	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05525	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05530	TRUE	TRUE	TRUE	3	All three
SC_RS05535	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05555	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05565	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05585	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05615	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05625	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05655	TRUE	TRUE	TRUE	3	All three
SC_RS05670	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05675	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05685	TRUE	TRUE	TRUE	3	All three
SC_RS05695	TRUE	TRUE	TRUE	3	All three
SC_RS05700	TRUE	TRUE	TRUE	3	All three
SC_RS05705	TRUE	TRUE	TRUE	3	All three
SC_RS05710	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS05725	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05730	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05735	TRUE	TRUE	TRUE	3	All three
SC_RS05740	TRUE	TRUE	TRUE	3	All three
SC_RS05745	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05750	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05765	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05795	TRUE	TRUE	TRUE	3	All three
SC_RS05800	TRUE	TRUE	TRUE	3	All three
SC_RS05805	TRUE	TRUE	TRUE	3	All three
SC_RS05810	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05815	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05820	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05825	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05830	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05835	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05860	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05865	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05870	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05880	TRUE	TRUE	TRUE	3	All three
SC_RS05905	TRUE	FALSE	FALSE	1	2v1 only
SC_RS05920	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS05925	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06045	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06060	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06085	TRUE	TRUE	TRUE	3	All three
SC_RS06090	TRUE	TRUE	TRUE	3	All three
SC_RS06100	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06110	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06125	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06200	TRUE	TRUE	TRUE	3	All three
SC_RS06210	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06225	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06230	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06235	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06240	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06245	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06250	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06255	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06260	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06265	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06280	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06285	TRUE	TRUE	TRUE	3	All three
SC_RS06290	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06295	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06300	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06310	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06315	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06335	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06340	TRUE	TRUE	TRUE	3	All three
SC_RS06345	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06350	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06355	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06360	TRUE	TRUE	TRUE	3	All three
SC_RS06365	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06370	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06375	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06385	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06445	TRUE	FALSE	TRUE	2	2v1 & 3v2 only
SC_RS06450	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06475	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06480	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06500	TRUE	TRUE	TRUE	3	All three
SC_RS06505	TRUE	TRUE	TRUE	3	All three
SC_RS06510	TRUE	TRUE	TRUE	3	All three
SC_RS06515	TRUE	TRUE	TRUE	3	All three
SC_RS06520	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06525	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06530	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06535	TRUE	TRUE	TRUE	3	All three
SC_RS06545	TRUE	TRUE	TRUE	3	All three
SC_RS06550	TRUE	TRUE	TRUE	3	All three
SC_RS06555	TRUE	TRUE	TRUE	3	All three
SC_RS06580	TRUE	TRUE	FALSE	2	2v1 & 3v1 only
SC_RS06585	TRUE	FALSE	FALSE	1	2v1 only
SC_RS06590	TRUE	TRUE	TRUE	3	All three
SC_RS06595	TRUE	TRUE	TRUE	3	All three
SC_RS06600	TRUE	TRUE	TRUE	3	All three
