locus_tag	category	upstream_density	downstream_density
SC_RS12555	Shielded	2.0	0.0
SC_RS12565	Shielded	0.0	0.0
SC_RS12645	Shielded	0.0	0.0
SC_RS12650	Shielded	0.0	0.0
SC_RS12675	Shielded	0.0	0.0
SC_RS12745	Shielded	0.0	0.0
SC_RS12755	Shielded	0.0	0.0
SC_RS12760	Shielded	0.0	3.4129692832764507
SC_RS12805	Shielded	0.0	0.0
SC_RS12865	Shielded	0.0	0.0
SC_RS12870	Shielded	0.0	0.0
SC_RS12950	Shielded	0.0	0.0
SC_RS12960	Shielded	0.0	0.0
SC_RS13040	Shielded	0.0	0.0
SC_RS13055	Shielded	0.0	0.0
SC_RS13080	Shielded	2.0	0.0
SC_RS13095	Shielded	0.0	0.0
SC_RS13105	Shielded	0.0	0.0
SC_RS13110	Shielded	0.0	0.0
SC_RS13125	Shielded	0.0	0.0
SC_RS13190	Shielded	0.0	0.0
SC_RS13245	Shielded	0.0	0.0
SC_RS13260	Shielded	0.0	0.0
SC_RS13290	Shielded	0.0	0.0
SC_RS13320	Shielded	0.0	0.0
SC_RS13425	Shielded	0.0	0.0
SC_RS13430	Shielded	0.0	0.0
SC_RS13500	Shielded	0.0	0.0
SC_RS13505	Shielded	0.0	0.0
SC_RS13565	Shielded	0.0	0.0
SC_RS13570	Shielded	0.0	0.0
SC_RS13625	Shielded	0.0	0.0
SC_RS13675	Shielded	0.0	0.0
SC_RS13685	Shielded	0.0	0.0
SC_RS13825	Shielded	0.0	0.0
SC_RS13830	Shielded	0.0	3.4129692832764507
SC_RS13905	Shielded	0.0	3.4129692832764507
SC_RS13925	Shielded	0.0	0.0
SC_RS13940	Shielded	0.0	0.0
SC_RS14025	Shielded	0.0	0.0
SC_RS14165	Shielded	0.0	0.0
SC_RS14235	Shielded	0.0	0.0
SC_RS14245	Shielded	0.0	0.0
SC_RS14295	Shielded	0.0	0.0
SC_RS14375	Shielded	0.0	0.0
SC_RS14425	Shielded	0.0	3.4129692832764507
SC_RS14455	Shielded	0.0	0.0
SC_RS14495	Shielded	0.0	0.0
SC_RS14555	Shielded	0.0	0.0
SC_RS14590	Shielded	0.0	0.0
SC_RS14615	Shielded	0.0	0.0
SC_RS14635	Shielded	0.0	0.0
SC_RS14640	Shielded	0.0	0.0
SC_RS14725	Shielded	0.0	0.0
