start	end	center	density_T1	mean_freq_T1	density_T2	mean_freq_T2	density_T3	mean_freq_T3	delta_T3_T1
4150000	4200000	4175000.0000	0.2000	59.3010	0.3000	57.2940	0.2200	60.2864	0.0200
4200000	4250000	4225000.0000	0.2800	63.9329	0.3000	61.0640	0.3000	61.4113	0.0200
4250000	4300000	4275000.0000	0.1800	59.1322	0.1800	58.6478	0.1400	60.4343	-0.0400
4300000	4350000	4325000.0000	0.1200	64.4950	0.1600	59.6637	0.1000	64.1300	-0.0200
4350000	4400000	4375000.0000	0.1400	60.0771	0.2400	58.6867	0.1600	63.4937	0.0200
4400000	4450000	4425000.0000	0.2400	56.7200	0.3600	56.8506	0.2800	59.7171	0.0400
4450000	4500000	4475000.0000	0.1200	57.7917	0.1800	54.3311	0.1600	54.5187	0.0400
4500000	4550000	4525000.0000	0.2400	56.7992	0.1800	53.9978	0.2600	55.4146	0.0200
4550000	4600000	4575000.0000	0.1800	60.5089	0.2600	59.6469	0.3400	56.5353	0.1600
4600000	4650000	4625000.0000	0.1800	62.3767	0.1800	57.7911	0.2200	58.7673	0.0400
4650000	4700000	4675000.0000	0.4600	58.9243	0.4000	60.5910	0.4800	60.2521	0.0200
4700000	4750000	4725000.0000	0.1600	58.7087	0.2000	57.9940	0.3400	56.7688	0.1800
4750000	4800000	4775000.0000	0.1400	57.8614	0.2000	57.5810	0.1800	58.3522	0.0400
4800000	4850000	4825000.0000	0.4600	60.1096	0.5200	61.0019	0.5200	60.1865	0.0600
4850000	4900000	4875000.0000	0.2600	58.6331	0.3200	58.7431	0.3800	57.7268	0.1200
4900000	4950000	4925000.0000	0.1200	65.6350	0.2800	57.6571	0.2400	57.7775	0.1200
4950000	5000000	4975000.0000	0.1800	61.0189	0.2400	57.7883	0.1200	61.9283	-0.0600
5000000	5050000	5025000.0000	0.3000	55.8133	0.2000	60.7580	0.1800	61.1656	-0.1200
5050000	5100000	5075000.0000	0.1800	58.0167	0.1400	60.1700	0.1600	59.5837	-0.0200
5100000	5150000	5125000.0000	0.2000	55.9600	0.2600	56.2685	0.1800	58.6256	-0.0200
5150000	5200000	5175000.0000	0.2600	58.5185	0.2400	60.6808	0.3000	57.7647	0.0400
5200000	5250000	5225000.0000	0.4200	60.9452	0.4600	59.3874	0.4000	60.1260	-0.0200
5250000	5300000	5275000.0000	0.3400	55.6453	0.4600	55.9313	0.3800	56.8453	0.0400
5300000	5350000	5325000.0000	0.2800	59.8221	0.2000	64.7360	0.3200	61.5894	0.0400
5350000	5400000	5375000.0000	0.1800	61.9600	0.1800	60.8189	0.2400	61.2325	0.0600
5400000	5450000	5425000.0000	0.2400	57.2408	0.2800	55.8050	0.2600	56.1985	0.0200
5450000	5500000	5475000.0000	0.2000	57.4020	0.2200	56.7618	0.2600	57.6454	0.0600
5500000	5550000	5525000.0000	0.1600	59.7250	0.1600	57.0650	0.1600	59.2862	0.0000
5550000	5600000	5575000.0000	0.4200	61.3257	0.5400	60.4530	0.5800	59.8393	0.1600
5600000	5650000	5625000.0000	0.2800	56.7529	0.3000	56.6100	0.2200	58.4118	-0.0600
5650000	5700000	5675000.0000	0.1400	58.7100	0.1400	58.7014	0.1800	57.7111	0.0400
5700000	5750000	5725000.0000	0.2000	61.5270	0.2400	58.3692	0.1400	55.3171	-0.0600
5750000	5800000	5775000.0000	0.2400	58.9158	0.2800	58.2114	0.4000	56.3555	0.1600
5800000	5850000	5825000.0000	0.0800	62.4400	0.0800	61.1525	0.1200	57.8117	0.0400
5850000	5900000	5875000.0000	0.1000	64.2100	0.1400	59.8800	0.1800	58.4622	0.0800
5900000	5950000	5925000.0000	0.1200	54.9400	0.1400	56.3214	0.1800	56.3256	0.0600
5950000	6000000	5975000.0000	0.2200	57.5909	0.2200	56.5464	0.2800	57.7586	0.0600
6000000	6050000	6025000.0000	0.3200	57.6975	0.3400	57.2982	0.4600	57.3652	0.1400
6050000	6100000	6075000.0000	0.1400	61.4729	0.1200	62.0017	0.1600	59.4138	0.0200
6100000	6150000	6125000.0000	0.3200	64.3588	0.2400	63.6925	0.3600	62.3506	0.0400
6150000	6200000	6175000.0000	0.2000	60.0710	0.2200	58.5145	0.2600	59.1946	0.0600
6200000	6250000	6225000.0000	0.3600	59.3811	0.3800	58.8505	0.3600	57.8811	0.0000
6250000	6300000	6275000.0000	0.1000	66.5400	0.1400	60.6486	0.1800	60.9844	0.0800
6300000	6350000	6325000.0000	0.2600	58.0185	0.3400	60.9506	0.2200	62.6300	-0.0400
6350000	6400000	6375000.0000	0.2000	60.1350	0.2800	57.7929	0.2400	58.6075	0.0400
6400000	6450000	6425000.0000	0.0400	52.5700	0.0400	50.3900	0.1000	52.8940	0.0600
6450000	6500000	6475000.0000	0.1400	57.8129	0.1000	58.7360	0.1400	56.5514	0.0000
6500000	6550000	6525000.0000	0.2600	58.1177	0.2600	59.4477	0.3000	58.5260	0.0400
6550000	6600000	6575000.0000	0.1600	55.8713	0.1600	58.4200	0.1600	58.1750	0.0000
6600000	6650000	6625000.0000	0.2600	63.4092	0.2800	61.1971	0.2600	63.6708	0.0000
6650000	6700000	6675000.0000	0.1800	57.1222	0.2000	57.5170	0.3400	56.0624	0.1600
6700000	6750000	6725000.0000	0.2600	58.4585	0.2600	59.1746	0.3200	60.4850	0.0600
6750000	6800000	6775000.0000	0.4600	60.1948	0.6000	57.7240	0.4800	59.4600	0.0200
6800000	6850000	6825000.0000	0.2200	58.3345	0.2400	58.8350	0.3400	55.2582	0.1200
6850000	6900000	6875000.0000	0.1200	53.1367	0.1600	54.0063	0.1000	57.7600	-0.0200
6900000	6950000	6925000.0000	0.2000	56.5530	0.2600	60.2592	0.2400	59.5875	0.0400
6950000	7000000	6975000.0000	0.1400	55.3900	0.1600	56.7450	0.2000	55.8620	0.0600
7000000	7050000	7025000.0000	0.1800	58.3944	0.1800	59.5544	0.2400	58.4492	0.0600
7050000	7100000	7075000.0000	0.1400	66.3971	0.2200	57.8082	0.2000	58.0530	0.0600
7100000	7150000	7125000.0000	0.3800	59.9126	0.4600	59.4517	0.5000	58.3308	0.1200
7150000	7200000	7175000.0000	0.3000	56.2113	0.3000	58.7500	0.2800	59.6921	-0.0200
7200000	7250000	7225000.0000	0.2600	59.7115	0.3000	54.8193	0.3000	56.8213	0.0400
7250000	7300000	7275000.0000	0.4400	58.9714	0.3000	61.3920	0.4400	60.0591	0.0000
7300000	7350000	7325000.0000	0.2200	55.4236	0.1400	56.5686	0.2600	53.7385	0.0400
7350000	7400000	7375000.0000	0.3000	61.2173	0.3600	59.7050	0.4200	60.1129	0.1200
7400000	7450000	7425000.0000	0.3400	60.8024	0.3600	59.0622	0.5400	58.0667	0.2000
7450000	7500000	7475000.0000	0.1800	57.8422	0.1800	56.8211	0.1800	55.5933	0.0000
7500000	7550000	7525000.0000	0.1800	55.2678	0.0800	56.2600	0.1000	55.2400	-0.0800
7550000	7600000	7575000.0000	0.2200	58.2364	0.3000	59.3667	0.2800	60.9814	0.0600
7600000	7650000	7625000.0000	0.2200	57.8518	0.2200	54.9591	0.2400	56.3592	0.0200
7650000	7700000	7675000.0000	0.1400	63.2743	0.2200	60.0009	0.2000	58.0310	0.0600
7700000	7750000	7725000.0000	0.1800	59.0044	0.1400	55.4829	0.1800	56.7289	0.0000
7750000	7800000	7775000.0000	0.3800	58.8495	0.4400	59.2368	0.4000	58.6225	0.0200
7800000	7850000	7825000.0000	0.1800	59.6478	0.2000	60.1810	0.1600	63.0200	-0.0200
7850000	7900000	7875000.0000	0.1200	60.4750	0.1400	55.9657	0.1800	56.3100	0.0600
7900000	7950000	7925000.0000	0.2200	60.9382	0.2000	62.3710	0.2200	60.6745	0.0000
7950000	8000000	7975000.0000	0.1400	52.6957	0.1200	55.1600	0.1200	54.4383	-0.0200
8000000	8050000	8025000.0000	0.3200	60.0925	0.2400	59.5692	0.2400	57.4200	-0.0800
8050000	8100000	8075000.0000	0.0800	64.1650	0.1800	55.2289	0.1800	57.4422	0.1000
8100000	8150000	8125000.0000	0.1400	62.8871	0.1000	59.9240	0.2000	55.8900	0.0600
8150000	8200000	8175000.0000	0.2400	59.2375	0.1800	55.6733	0.1800	59.2344	-0.0600
8200000	8250000	8225000.0000	0.2600	56.6715	0.2600	59.8546	0.3400	56.8424	0.0800
8250000	8300000	8275000.0000	0.1800	58.8333	0.2600	57.7277	0.3200	57.7375	0.1400
8300000	8350000	8325000.0000	0.1800	57.0278	0.1800	57.2533	0.1000	56.8100	-0.0800
8350000	8400000	8375000.0000	0.2200	57.8100	0.1800	59.1267	0.2600	56.8346	0.0400
8400000	8450000	8425000.0000	0.1200	67.0383	0.1000	63.9620	0.1200	63.5183	0.0000
8450000	8500000	8475000.0000	0.2800	58.8514	0.2200	58.2482	0.2600	58.5608	-0.0200
8500000	8550000	8525000.0000	0.2400	56.9092	0.1800	54.7244	0.1800	58.5344	-0.0600
8550000	8600000	8575000.0000	0.1400	58.4429	0.1200	56.6217	0.2000	56.9030	0.0600
8600000	8650000	8625000.0000	0.1000	59.8200	0.1000	58.6440	0.1200	54.9767	0.0200
8650000	8667507	8658753.5000	0.2285	62.4625	0.2285	59.1750	0.1714	64.6300	-0.0571
