start	end	center	density_T1	mean_freq_T1	density_T2	mean_freq_T2	density_T3	mean_freq_T3	delta_T3_T1
2350000	2400000	2375000.0000	0.2800	83.5036	0.2800	80.9121	0.1400	91.2843	-0.1400
2400000	2450000	2425000.0000	0.4600	78.5552	0.4600	77.4604	0.3000	81.9680	-0.1600
2450000	2500000	2475000.0000	0.3400	82.1600	0.3600	80.1461	0.1800	86.6544	-0.1600
2500000	2550000	2525000.0000	0.3000	81.8407	0.2800	78.0914	0.2400	81.4875	-0.0600
2550000	2600000	2575000.0000	0.3400	75.3241	0.2800	73.8300	0.2000	75.9240	-0.1400
2600000	2650000	2625000.0000	0.3400	78.0324	0.3000	75.7613	0.1800	82.0333	-0.1600
2650000	2700000	2675000.0000	0.2000	78.4220	0.2000	81.5540	0.1200	79.2700	-0.0800
2700000	2750000	2725000.0000	0.2000	80.9260	0.2400	74.2633	0.1200	82.3417	-0.0800
2750000	2800000	2775000.0000	0.3000	81.8640	0.3400	75.9871	0.1600	82.8650	-0.1400
2800000	2850000	2825000.0000	0.1400	81.1857	0.1400	78.9900	0.0800	87.8550	-0.0600
2850000	2900000	2875000.0000	0.2400	78.2425	0.2200	82.1545	0.1600	77.1488	-0.0800
2900000	2950000	2925000.0000	0.3400	81.0918	0.3200	80.2181	0.2800	79.3436	-0.0600
2950000	3000000	2975000.0000	0.2200	75.5100	0.2000	72.2890	0.1200	72.1667	-0.1000
3000000	3050000	3025000.0000	0.2400	81.9050	0.2200	79.0700	0.1400	82.6743	-0.1000
3050000	3100000	3075000.0000	0.3600	78.0339	0.3000	83.2033	0.1800	83.8089	-0.1800
3100000	3150000	3125000.0000	0.3200	77.0506	0.2600	81.2669	0.2200	77.9164	-0.1000
3150000	3200000	3175000.0000	0.1600	78.3787	0.1400	78.2300	0.1600	72.6925	0.0000
3200000	3250000	3225000.0000	0.3600	77.0478	0.2800	83.4257	0.2600	79.7523	-0.1000
3250000	3300000	3275000.0000	0.2200	87.0818	0.1800	88.8611	0.1400	83.9314	-0.0800
3300000	3350000	3325000.0000	0.3600	75.8539	0.3200	72.6550	0.2200	78.5882	-0.1400
3350000	3400000	3375000.0000	0.3600	78.9622	0.3400	78.4788	0.2400	81.1933	-0.1200
3400000	3450000	3425000.0000	0.4400	80.0850	0.3800	80.5042	0.3200	80.2581	-0.1200
3450000	3500000	3475000.0000	0.3600	80.2700	0.3200	81.3825	0.2800	82.3893	-0.0800
3500000	3550000	3525000.0000	0.4000	81.4280	0.3800	79.1189	0.2200	80.6718	-0.1800
3550000	3600000	3575000.0000	0.2000	83.1850	0.1600	80.9213	0.0800	81.6875	-0.1200
3600000	3650000	3625000.0000	0.4400	79.3736	0.3600	80.2300	0.3200	80.8194	-0.1200
3650000	3700000	3675000.0000	0.3600	79.1572	0.3400	78.2059	0.3200	77.7837	-0.0400
3700000	3750000	3725000.0000	0.2800	81.9321	0.2800	82.2293	0.2400	80.7517	-0.0400
3750000	3800000	3775000.0000	0.4400	80.3291	0.4200	83.0729	0.3200	82.9831	-0.1200
3800000	3850000	3825000.0000	0.2400	73.5725	0.2200	73.4982	0.2200	73.9245	-0.0200
3850000	3900000	3875000.0000	0.4000	76.5545	0.3800	76.7605	0.3000	79.8027	-0.1000
3900000	3950000	3925000.0000	0.3400	83.9106	0.3600	80.8200	0.3000	83.0347	-0.0400
3950000	4000000	3975000.0000	0.4600	81.6261	0.4000	77.9410	0.3600	80.1756	-0.1000
4000000	4050000	4025000.0000	0.2000	88.0840	0.2000	86.0600	0.1800	82.6122	-0.0200
4050000	4100000	4075000.0000	0.2800	80.5450	0.2400	81.9883	0.2000	85.8890	-0.0800
4100000	4150000	4125000.0000	0.4600	76.6448	0.3400	76.9400	0.1800	81.8756	-0.2800
4150000	4200000	4175000.0000	0.4800	82.3275	0.4800	81.4392	0.3600	80.7572	-0.1200
4200000	4250000	4225000.0000	0.2800	81.5000	0.2600	79.8092	0.1800	82.4856	-0.1000
4250000	4300000	4275000.0000	0.3600	78.8233	0.3400	79.5629	0.3200	81.6944	-0.0400
4300000	4350000	4325000.0000	0.3000	81.6467	0.3400	75.6624	0.2800	75.7293	-0.0200
4350000	4400000	4375000.0000	0.4600	76.3357	0.3800	78.5963	0.3000	78.7027	-0.1600
4400000	4450000	4425000.0000	0.3000	80.8947	0.3000	80.9800	0.2800	80.8514	-0.0200
4450000	4500000	4475000.0000	0.2800	77.9957	0.2400	78.3850	0.2400	73.8192	-0.0400
4500000	4550000	4525000.0000	0.2600	85.1615	0.2200	87.6927	0.2200	86.8382	-0.0400
4550000	4600000	4575000.0000	0.1800	72.3356	0.1400	70.5257	0.1000	77.9000	-0.0800
4600000	4650000	4625000.0000	0.3800	78.4916	0.3600	75.6078	0.3000	77.7267	-0.0800
4650000	4700000	4675000.0000	0.4400	80.6750	0.4400	79.0773	0.3200	77.5731	-0.1200
4700000	4750000	4725000.0000	0.3400	77.3065	0.3200	76.8206	0.2000	82.6190	-0.1400
4750000	4800000	4775000.0000	0.3400	75.5465	0.3200	75.9494	0.2400	79.3783	-0.1000
4800000	4850000	4825000.0000	0.3000	76.3947	0.3200	75.0081	0.1400	84.4514	-0.1600
4850000	4900000	4875000.0000	0.4200	77.6657	0.3800	75.0779	0.2800	83.6579	-0.1400
4900000	4950000	4925000.0000	0.2600	77.6185	0.2200	78.3291	0.1800	79.8433	-0.0800
4950000	5000000	4975000.0000	0.3800	80.7763	0.3800	77.9037	0.3800	76.7779	0.0000
5000000	5050000	5025000.0000	0.2200	83.5291	0.2000	78.8660	0.2000	76.7730	-0.0200
5050000	5100000	5075000.0000	0.4600	79.6996	0.4400	77.2277	0.3800	82.0100	-0.0800
5100000	5150000	5125000.0000	0.2200	79.5718	0.2000	78.1460	0.2200	77.7391	0.0000
5150000	5200000	5175000.0000	0.3000	80.8200	0.2800	81.2364	0.1800	89.8189	-0.1200
5200000	5250000	5225000.0000	0.4200	76.5157	0.3200	80.8787	0.2800	76.9000	-0.1400
5250000	5300000	5275000.0000	0.2600	79.3062	0.2400	78.4650	0.1800	81.6644	-0.0800
5300000	5350000	5325000.0000	0.3000	81.8173	0.2600	82.3769	0.1400	76.1386	-0.1600
5350000	5400000	5375000.0000	0.3200	83.5550	0.2600	85.4208	0.2000	88.2500	-0.1200
5400000	5450000	5425000.0000	0.3600	77.9828	0.3000	77.3720	0.1800	79.9200	-0.1800
5450000	5500000	5475000.0000	0.3200	74.3431	0.2800	75.3771	0.2200	75.6282	-0.1000
5500000	5550000	5525000.0000	0.4200	73.6090	0.3200	75.4675	0.1200	73.0433	-0.3000
5550000	5600000	5575000.0000	0.5800	78.4814	0.5200	73.7604	0.3000	72.4620	-0.2800
5600000	5650000	5625000.0000	0.2600	82.3985	0.2400	82.3808	0.1400	89.7600	-0.1200
5650000	5700000	5675000.0000	0.2600	89.2100	0.2600	83.2415	0.2200	84.4918	-0.0400
5700000	5750000	5725000.0000	0.1600	82.1675	0.1800	77.8189	0.1600	81.8225	0.0000
5750000	5800000	5775000.0000	0.3600	74.4267	0.3200	76.1156	0.1600	76.0775	-0.2000
5800000	5850000	5825000.0000	0.3000	81.7340	0.3000	80.1187	0.2600	85.0992	-0.0400
5850000	5900000	5875000.0000	0.1600	76.0463	0.1200	77.9400	0.1200	71.7483	-0.0400
5900000	5950000	5925000.0000	0.4000	76.9160	0.3600	76.3172	0.2200	79.5091	-0.1800
5950000	6000000	5975000.0000	0.3200	80.0225	0.3400	79.3206	0.2200	82.4245	-0.1000
6000000	6050000	6025000.0000	0.3400	78.6965	0.3400	79.9018	0.2400	78.8267	-0.1000
6050000	6100000	6075000.0000	0.3000	82.3220	0.2800	81.4850	0.2400	82.0267	-0.0600
6100000	6150000	6125000.0000	0.2600	74.6623	0.2000	80.2480	0.2600	72.7431	0.0000
6150000	6200000	6175000.0000	0.2200	84.8555	0.2000	84.2710	0.1400	83.5457	-0.0800
6200000	6250000	6225000.0000	0.4000	79.3150	0.3600	79.0878	0.2600	80.1446	-0.1400
6250000	6300000	6275000.0000	0.2000	80.1410	0.2600	70.8254	0.2600	70.9038	0.0600
6300000	6350000	6325000.0000	0.3600	77.6139	0.2800	79.4243	0.1600	81.7100	-0.2000
6350000	6400000	6375000.0000	0.2400	78.4975	0.2800	71.1343	0.1800	77.0867	-0.0600
6400000	6450000	6425000.0000	0.2800	83.5764	0.2800	83.2036	0.2000	83.2900	-0.0800
6450000	6500000	6475000.0000	0.4400	82.1827	0.4400	81.8482	0.3200	80.0613	-0.1200
6500000	6550000	6525000.0000	0.1600	82.7475	0.1800	76.7344	0.0600	88.8433	-0.1000
6550000	6600000	6575000.0000	0.2200	76.8382	0.1800	75.4433	0.1200	76.5850	-0.1000
6600000	6650000	6625000.0000	0.2400	83.3275	0.2600	85.2438	0.1000	86.2440	-0.1400
6650000	6700000	6675000.0000	0.1400	86.8114	0.2000	78.7040	0.0600	86.5433	-0.0800
6700000	6750000	6725000.0000	0.3800	83.9305	0.4000	80.9840	0.2800	83.2664	-0.1000
6750000	6800000	6775000.0000	0.1800	77.6400	0.2600	80.0423	0.0400	94.4950	-0.1400
6800000	6850000	6825000.0000	0.2000	83.7970	0.2800	80.4307	0.1800	78.5578	-0.0200
6850000	6900000	6875000.0000	0.1800	84.2044	0.2800	81.4843	0.1400	85.8957	-0.0400
6900000	6950000	6925000.0000	0.2000	86.4880	0.2400	85.6000	0.1800	84.5567	-0.0200
6950000	7000000	6975000.0000	0.1000	83.3320	0.1400	90.6143	0.1000	83.5820	0.0000
7000000	7050000	7025000.0000	0.2600	78.5231	0.3400	77.7688	0.3000	75.2047	0.0400
7050000	7100000	7075000.0000	0.1600	79.7075	0.2600	79.1338	0.2000	76.8970	0.0400
7100000	7150000	7125000.0000	0.2400	85.0958	0.3800	80.9984	0.1200	82.1183	-0.1200
7150000	7200000	7175000.0000	0.1800	88.7767	0.2200	83.3727	0.1600	85.6788	-0.0200
7200000	7250000	7225000.0000	0.1800	91.3233	0.3000	84.6687	0.1600	85.8600	-0.0200
7250000	7300000	7275000.0000	0.2400	80.3842	0.3200	76.3225	0.1200	88.7967	-0.1200
7300000	7350000	7325000.0000	0.1200	76.6617	0.2200	77.7791	0.2200	82.6118	0.1000
7350000	7400000	7375000.0000	0.1600	84.1000	0.3600	80.5100	0.2800	79.5964	0.1200
7400000	7450000	7425000.0000	0.1600	86.6875	0.2200	87.1409	0.1400	87.5629	-0.0200
7450000	7500000	7475000.0000	0.1600	83.9487	0.3400	82.7647	0.2600	81.5792	0.1000
7500000	7550000	7525000.0000	0.0600	83.8833	0.2000	71.6430	0.0400	72.3100	-0.0200
7550000	7600000	7575000.0000	0.2400	84.0525	0.4400	78.7077	0.2600	80.2108	0.0200
7600000	7650000	7625000.0000	0.2400	85.2575	0.3800	79.0447	0.3600	79.5383	0.1200
7650000	7700000	7675000.0000	0.1600	88.1475	0.3400	78.2459	0.1800	83.5000	0.0200
7700000	7750000	7725000.0000	0.0000		0.1000	74.9100	0.0400	69.3300	0.0400
7750000	7800000	7775000.0000	0.1600	87.0925	0.2200	79.5282	0.1400	84.5443	-0.0200
7800000	7850000	7825000.0000	0.0600	76.2333	0.2000	78.0690	0.1400	76.9186	0.0800
7850000	7900000	7875000.0000	0.1000	89.7320	0.2800	83.3557	0.3200	79.7156	0.2200
7900000	7950000	7925000.0000	0.1000	91.0620	0.3200	80.9881	0.2600	83.1685	0.1600
7950000	8000000	7975000.0000	0.1000	85.0260	0.2800	80.2736	0.2200	82.0745	0.1200
8000000	8050000	8025000.0000	0.0200	100.0000	0.2800	79.5850	0.1200	86.1800	0.1000
8050000	8100000	8075000.0000	0.0200	71.7200	0.2000	78.5740	0.0400	84.0250	0.0200
8100000	8150000	8125000.0000	0.0800	83.6550	0.3000	82.9140	0.1600	83.6087	0.0800
8150000	8200000	8175000.0000	0.0600	81.9233	0.2600	82.6300	0.1400	85.6857	0.0800
8200000	8250000	8225000.0000	0.0400	91.4950	0.2000	78.3460	0.1200	82.4483	0.0800
8250000	8300000	8275000.0000	0.0200	78.2400	0.1400	79.8914	0.0800	76.9850	0.0600
8300000	8350000	8325000.0000	0.0000		0.2800	80.8971	0.1600	87.9550	0.1600
8350000	8400000	8375000.0000	0.0400	85.4400	0.2000	78.6900	0.1000	77.7480	0.0600
8400000	8450000	8425000.0000	0.0400	86.3250	0.2600	82.4408	0.1600	82.7837	0.1200
8450000	8500000	8475000.0000	0.0600	89.1367	0.3000	74.4800	0.1200	80.3000	0.0600
8500000	8550000	8525000.0000	0.0400	88.2000	0.3800	79.5253	0.2400	76.4950	0.2000
8550000	8600000	8575000.0000	0.0400	85.4900	0.2800	73.1907	0.3000	72.7493	0.2600
8600000	8650000	8625000.0000	0.0200	100.0000	0.3200	71.3812	0.2800	74.5500	0.2600
8650000	8667507	8658753.5000	0.1142	75.8750	0.5141	69.8489	0.3427	71.6017	0.2285
