locus_tag	gene_name	old_locus_tag	tf_family	annotation	region	log2FC	padj	methyl_change_combined	delta_GCCGGC_pct	delta_AAGCCCG_pct	delta_6mA_pct	temporal_pattern	coordination_T2	category_A_codirected	category_B_largeMethyl	category_C_largeLFC	category
SC_RS22135		SCO4005	Sigma factor	SigE family RNA polymerase sigma factor	core	0.216302293760551	0.4473362277968655	0.0539	1.289999999999992	7.829999999999998	54.43	T3_up	methyl_change_no_expr_change	False	False	False	-
SC_RS10435		SCO1684	TetR	tetratricopeptide repeat protein	core	1.991505486717247	1.0409101822101902e-05	0.0488999999999999	6.689999999999998		-1.8000000000000045	T2T3_up	concordant_derepression	False	False	False	-
SC_RS15485	fxsT	SCO2681	TetR	FxSxx-COOH system tetratricopeptide repeat protein	core	0.0972640262333668	0.807059771939028	0.0449			4.490000000000002	T3_up	methyl_change_no_expr_change	False	False	False	-
SC_RS40435		SCO7648	Response regulator	response regulator transcription factor	arm	1.045517150533947	0.0005321444050626	0.0137999999999999			1.3799999999999957	T2T3_up	ambiguous	False	False	False	-
SC_RS05075		SCO0632	Sigma factor	sigma-70 family RNA polymerase sigma factor	arm	0.0641306457114918	0.9094625049096164	0.0				T3_up	methyl_change_no_expr_change	False	False	False	-
SC_RS06045		SCO0823	GntR	GntR family transcriptional regulator	arm	-1.3086139961011785	3.2905704431435153e-06	0.0				T2T3_down	ambiguous	False	False	False	-
SC_RS23710		SCO4305	TetR	TetR/AcrR family transcriptional regulator	core	-1.1485908521819146	6.724953217511754e-06	0.0				T2T3_down	ambiguous	False	False	False	-
SC_RS26855	sigJ	SCO4938	Sigma factor	RNA polymerase sigma factor SigJ	core	0.0232527665501622	0.968761700368794	0.0				T3_up	methyl_change_no_expr_change	False	False	False	-
SC_RS34060		SCO6369	Sensor kinase	HAMP domain-containing sensor histidine kinase	core	1.6423366912164392	0.0005983805434141	0.0				T2T3_up	ambiguous	False	False	False	-
SC_RS37675		SCO7089	Sensor kinase	sensor histidine kinase	arm	0.5193064994679604	0.3202105107832096	0.0				T3_up	methyl_change_no_expr_change	False	False	False	-
SC_RS11515		SCO1897	DeoR	DeoR/GlpR family DNA-binding transcription regulator	core	1.6809431847299388	0.0001699613002738	-0.0001999999999999	-0.019999999999996			T2T3_up	ambiguous	False	False	False	-
SC_RS27105		SCO4989	IclR	IclR family transcriptional regulator	core	-1.788905032851815	5.826692227034336e-19	-0.0182999999999999		-0.9150000000000064		T2T3_down	discordant_loss_down	False	False	False	-
SC_RS35195		SCO6599	TetR	TetR/AcrR family transcriptional regulator	arm	-1.6493677294403373	5.3649560693093984e-11	-0.0335			-3.3500000000000014	T2T3_down	ambiguous	False	False	False	-
SC_RS22980		SCO4158	LacI	LacI family DNA-binding transcriptional regulator	core	-0.0222782102607179	0.926132348542036	-0.0353999999999998		-9.840000000000003	6.299999999999997	T3_down	methyl_change_no_expr_change	False	False	False	-
SC_RS17670	mfd	SCO3109	Other regulatory	transcription-repair coupling factor	core	-0.3269667987752288	0.0592575079351018	-0.0826000000000001	-8.260000000000005			T3_down	methyl_change_no_expr_change	False	False	False	-
