locus_tag	old_locus_tag	gene_name	product	tf_family	module	bloc	coordination_T2	coordination_T3	LFC_T2vsT1	LFC_T3vsT1	LFC_T3vsT2	padj_T2vsT1	padj_T3vsT1	padj_T3vsT2	early_magnitude	late_magnitude	phase_ratio	temporal_class	direction	temporal_direction	earliness_score	trajectory_cluster	T1_mean	T2_mean	T3_mean	T1_z	T2_z	T3_z
SC_RS25990	SCO4766		LysR family transcriptional regulator	LysR	4.0	repression	methyl_change_no_expr_change	concordant_repression	-0.5614154947959401	-1.193490472610386	-0.6199586204780211	0.0038732214510234	2.536545758473156e-10	0.0018096114607506	0.5614154947959401	0.6199586204780211	0.47039796938472395	gradual	down	gradual_down	0.47522244434670496	1	255.73988366392368	171.36351987473134	109.93129867664864	1.2836991535762758	-0.12795526632083604	-1.1557438872554406
SC_RS26855	SCO4938	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	3.0	activation	ambiguous	discordant_gain_up	-1.018259879132294	1.3362125833071603	2.4649977728846406	0.015351957887539	0.00010745558639037635	4.425509776851678e-09	1.018259879132294	2.4649977728846406	-0.7620493115040684	late	up	late_up	0.2923297616280125	4	26.029839583768517	11.815196386770056	68.80212128671893	-0.39304753017417554	-0.9799690012604089	1.3730165314345846
SC_RS26965	SCO4960		sigma factor-like helix-turn-helix DNA-binding protein	Sigma factor	4.0	repression	discordant_loss_down	ambiguous	-1.272316820268741	-1.514544477647077	-0.2292525955644305	1.1788458467230524e-08	2.6337692345145036e-12	0.3414540823370824	1.272316820268741	0.2292525955644305	0.840065669279882	early	down	early_down	0.8473246769467809	2	265.8756017840324	107.4379165393542	91.61638061589474	1.4094404353944654	-0.6041804528959623	-0.8052599824985034
SC_RS27105	SCO4989		IclR family transcriptional regulator	IclR	4.0	repression	discordant_loss_down	discordant_loss_down	-1.7170840522337387	-2.391846336398685	-0.6525903408810911	7.190817694141732e-21	2.4727921870664027e-39	0.0008828370365619458	1.7170840522337387	0.6525903408810911	0.7178906211922832	early	down	early_down	0.7246075904564461	2	559.7474931699595	167.43673450861544	106.16393170944075	1.403212893927817	-0.5491427439522036	-0.8540701499756129
SC_RS27300	SCO5027		winged helix DNA-binding domain-containing protein	HTH (other)	4.0	repression	ambiguous	discordant_loss_down	-2.2543700120671244	-1.101360873538775	1.1134905586101698	1.2788777406186013e-17	1.6746998758808693e-06	3.470378898288983e-05	2.2543700120671244	1.1134905586101698	2.0468949517187984	early	down	early_down	0.6693774770927708	2	204.5812430134864	41.595530977854594	92.07617774592343	1.3479527919336882	-1.0444726213708713	-0.3034801705628171
SC_RS28630	SCO5289		sensor histidine kinase	Sensor kinase	4.0	repression	methyl_change_no_expr_change	concordant_repression	-0.0137258522464046	-2.4145957323816596	-2.4007926428058672	0.9354948002453458	4.6282469697251804e-60	1.617412431148466e-58	0.0137258522464046	2.4007926428058672	0.005684534293807425	late	down	late_down	0.005684716134485016	1	3459.152756793917	3424.526061681468	643.4791362902141	0.7201899582036383	0.6939424102146041	-1.4141323684182423
SC_RS29350	SCO5433	tcrA	AfsR-like transcriptional regulator TcrA	Other regulatory	2.0	activation	discordant_gain_up	ambiguous	1.0401395580980954	1.4918041436883782	0.431082241011342	3.683188120370881e-05	6.558912983566776e-10	0.0686627521292837	1.0401395580980954	0.431082241011342	0.6972360027948611	early	up	early_up	0.706990311492812	4	55.21061223472242	117.57076121166051	159.49586538174512	-1.2964719450837565	0.15898105768863455	1.1374908873951228
SC_RS29355	SCO5434		response regulator	Response regulator	4.0	repression	ambiguous	concordant_repression	-1.9216630018303835	-1.1163059002941826	0.7715661859598213	4.020439306798874e-12	2.582215778884293e-06	0.0065104826242632	1.9216630018303835	0.7715661859598213	1.7214483962899088	early	down	early_down	0.7135163284546745	2	119.41883686020678	30.2654039588549	53.71341375214222	1.3679520419708238	-0.9946694521211377	-0.3732825898496862
SC_RS30140	SCO5584		P-II family nitrogen regulator	Other regulatory	4.0	repression	methyl_change_no_expr_change	discordant_loss_down	-0.5802055478802578	-1.435204814633584	-0.8204713336253381	0.0394908387721756	2.3044045019199938e-07	0.0049219413391135	0.5802055478802578	0.8204713336253381	0.40426672344210857	gradual	down	gradual_down	0.4142322583458136	1	91.05769276780437	59.610990912128266	32.55418496762094	1.2542019704325662	-0.06120959720768253	-1.1929923732248842
SC_RS31385	SCO5828		response regulator	Response regulator	1.0	activation	concordant_derepression	concordant_derepression	3.2007683924803816	1.0914308087972038	-2.079203850021943	2.6639471115019306e-54	2.497770265500252e-07	1.9139686865041024e-29	3.2007683924803816	2.079203850021943	2.932635185557703	early	up	early_up	0.6062093218321216	3	52.62015871953676	490.4724485247527	114.58817113068845	-0.8611914490806375	1.4020698446396624	-0.5408783955590248
SC_RS32025	SCO5956		TetR/AcrR family transcriptional regulator	TetR	4.0	repression	ambiguous	discordant_loss_down	-2.09236783247235	-1.036039802559863	1.0031211312447983	5.888344612414325e-11	0.00015355066207725166	0.0018458770465927	2.09236783247235	1.0031211312447983	2.019582478687108	early	down	early_down	0.6759409763464906	2	114.22023616424981	25.7649493111152	52.983045331498495	1.3489008144955041	-1.0423497745889094	-0.30655103990659416
SC_RS33075	SCO6165		TraR/DksA family transcriptional regulator	Other regulatory	2.0	activation	methyl_change_no_expr_change	concordant_derepression	0.9232644917721738	4.398470931655745	2.654344788259696	0.1839126222262727	3.764871122571596e-05	0.000378693565432415	0.9232644917721738	2.654344788259696	0.20990578455968636	late	up	late_up	0.25806744657654246	4	0.726343119020858	2.537618562334681	20.524381618351835	-0.8060222066199367	-0.6033417929578597	1.4093639995777962
SC_RS33745	SCO6299		TetR/AcrR family transcriptional regulator	TetR	4.0	repression	discordant_loss_down	methyl_change_no_expr_change	-1.4114119775299854	-0.8004049577607204	0.589729371658387	1.6258548905382441e-07	0.0009278002051725612	0.0316493802715293	1.4114119775299854	0.589729371658387	1.7633723577608378	early	down	early_down	0.705303489946824	2	117.08708960535228	42.61450030153525	65.8364921054593	1.3469614649545658	-1.0466711784235683	-0.3002902865309974
SC_RS33895	SCO6334		LuxR C-terminal-related transcriptional regulator	Other regulatory	2.0	activation	ambiguous	discordant_gain_up	1.0792987194838373	2.6248645299059365	1.4848719084247566	0.0002553809415968921	5.1568194185469556e-21	1.7500282370714655e-08	1.0792987194838373	1.4848719084247566	0.4111826371178533	gradual	up	gradual_up	0.4209153274335923	4	31.20538493909449	68.97272838800818	198.19909943846605	-0.9545713028134282	-0.4263709320827254	1.380942234896153
SC_RS34060	SCO6369		HAMP domain-containing sensor histidine kinase	Sensor kinase	2.0	activation	ambiguous	discordant_gain_up	1.425234745616793	2.573759751578359	0.9876257041600068	0.0025470969471078	4.112434248648229e-08	0.0175671977969799	1.425234745616793	0.9876257041600068	0.5537559380757149	gradual	up	gradual_up	0.5906826255490927	4	11.183243607646611	33.59422381329396	72.06697015009706	-1.104308884251885	-0.2129445162590285	1.3172534005109138
SC_RS35195	SCO6599		TetR/AcrR family transcriptional regulator	TetR	4.0	repression	ambiguous	discordant_loss_down	-1.5315166238060172	-1.5502641674059274	-0.0139660205760059	3.3380934782945707e-12	6.082588908883867e-14	0.9564019636881486	1.5315166238060172	0.0139660205760059	0.987906871619641	early	down	early_down	0.9909633273942803	2	193.7161381244323	65.66955608696186	64.82792426988091	1.4141908012223188	-0.700146781782014	-0.7140440194403042
SC_RS35525	SCO6668		sensor histidine kinase	Sensor kinase	2.0	activation	concordant_derepression	concordant_derepression	1.0418397945969575	1.3420720062885316	0.2807553435333729	0.0003648569121190967	1.5222395898279151e-06	0.310406692290891	1.0418397945969575	0.2807553435333729	0.7762920243587681	early	up	early_up	0.7877238956064578	4	35.51420126814803	75.82336157634181	92.31178161632805	-1.356755361601986	0.33281847230960093	1.0239368892923857
SC_RS35610	SCO6685	ramR	two-component system response regulator RamR	Response regulator	2.0	activation	ambiguous	discordant_gain_up	6.6041010227398775	7.902404097846659	1.166591723956885	1.6843067948138286e-08	1.8911172977523484e-11	5.335941010045635e-05	6.6041010227398775	1.166591723956885	0.8357078353585387	early	up	early_up	0.8498728797972641	4	0.3880141251565383	49.54134507419286	116.05215916639442	-1.1591373097455708	-0.12207265154157498	1.281209961287146
