locus_tag	methyl_T1	methyl_T2	methyl_T3	6mA_T1	6mA_T2	6mA_T3	4mC_T1	4mC_T2	4mC_T3	methyl_change_str	early_methyl_transition	late_methyl_transition	phase_ratio	temporal_class	LFC_T2vsT1	LFC_T3vsT2	direction	bloc	early_methyl_code	late_methyl_code	early_methyl_pos	late_methyl_pos
SC_RS36220	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	0.7921930895028998	early	2.168987976181465	0.4520424133429327	up	activation	1	0	2.9917959922750246	2.033119859029847
SC_RS36820	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	-2.168543493752608	late	-2.5425777989933764	3.901958639109664	up	activation	1	-1	2.9778346921354144	0.8763285275696532
SC_RS37035	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	lost_T2	lost	gained	0.7068570964747587	early	1.2351768680285735	0.3955412801463431	up	activation	-1	1	1.0330362218575844	3.0164628779727014
SC_RS37675	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.1937519980678261	late	0.5692475959080903	2.242975511519141	up	activation	0	1	0.06323178456202146	3.0146701201646424
SC_RS38475	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	1.2000689004062042	early	9.317497513720548	-1.5056183989913725	up	activation	1	-1	2.9279618295708087	1.0433429844755642
SC_RS38610	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	1.0521514785256818	early	1.5122439263738874	-0.0687878875552127	up	activation	1	-1	3.012463189465993	0.9895052155286631
SC_RS38785	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	1.2912495982100156	early	1.9292968279677385	-0.4089955051803432	up	activation	0	1	-0.14929651729367782	3.005634901141507
SC_RS39260	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	gained_T3	absent	gained	0.5992380658356667	gradual	0.6752788836681285	0.4252087357924647	up	activation	0	1	-0.0009960090977562302	3.072334816660848
SC_RS39850	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	gained_T2,gained_T3	gained	maintained	0.4758819221721277	gradual	0.804545404597441	0.8246437905810884	up	activation	1	0	3.0445865515725865	1.97887645283455
SC_RS40040	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost		non-responder	-1.2552343502126442	1.4190040683262652	up	activation	1	-1	2.99266014132764	0.9916324874045752
SC_RS40435	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	lost_T3	maintained	lost	1.1910189622091405	early	2.439373553896403	-0.3767191774016825	up	activation	0	-1	2.0392978451971135	0.955341015543919
SC_RS40740	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	gained_T2	gained	lost	1.0049145688064998	early	3.155882755112203	-0.0135815669263601	up	activation	1	-1	2.9510427152976018	0.9919115213839572
