GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0008897	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS25880,SC_RS35550	0.9946689495497726
GO:0008753	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS14440,SC_RS33505	0.9946689495497726
GO:0042301	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS22900,SC_RS36270	0.9946689495497726
GO:0004563	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS16820,SC_RS26460	0.9946689495497726
GO:0045454	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS21875,SC_RS28265	0.9946689495497726
GO:1905887	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS21110,SC_RS27315	0.9946689495497726
GO:0012506	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS34720,SC_RS34730	0.9946689495497726
GO:0009168	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS25395,SC_RS26665	0.9946689495497726
GO:0015689	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS20650,SC_RS20655	0.9946689495497726
GO:0042026	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS23665,SC_RS25970	0.9946689495497726
GO:0065003	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS27025,SC_RS35485	0.9946689495497726
GO:0004527	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS09640,SC_RS32660	0.9946689495497726
GO:0000314	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS19245,SC_RS21685	0.9946689495497726
GO:0004512	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS18330,SC_RS21640	0.9946689495497726
GO:0016857	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS03910,SC_RS14070	0.9946689495497726
GO:0006021	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS18330,SC_RS21640	0.9946689495497726
GO:0006415	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS16965,SC_RS23575	0.9946689495497726
GO:0000049	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS21080,SC_RS21550	0.9946689495497726
GO:0006548	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS17480,SC_RS37220	0.9946689495497726
GO:0004574	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS13170,SC_RS21020	0.9946689495497726
GO:0004556	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS13170,SC_RS21020	0.9946689495497726
GO:0016614	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS26065,SC_RS35490	0.9946689495497726
GO:0009311	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS13170,SC_RS21020	0.9946689495497726
GO:0009253	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS12620,SC_RS38110	0.9946689495497726
GO:0006289	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS11795,SC_RS11860	0.9946689495497726
GO:0004347	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS11745,SC_RS17245	0.9946689495497726
GO:0015648	2	3	3197	7646	1.5944114273798353	2.7843505477308295	0.3782726671333226	SC_RS21365,SC_RS28690	0.9946689495497726
GO:0010181	16	35	3197	7646	1.0933106930604584	1.1727526927976968	0.3801082482638422	SC_RS02755,SC_RS03020,SC_RS06535,SC_RS07370,SC_RS08770,SC_RS14440,SC_RS16170,SC_RS18255,SC_RS18590,SC_RS23585,SC_RS25090,SC_RS31900,SC_RS32145,SC_RS33505,SC_RS35255,SC_RS35575	0.9946689495497726
GO:0030170	22	49	3197	7646	1.073787287827236	1.1348381452318461	0.3818129941907601	SC_RS07095,SC_RS08430,SC_RS08765,SC_RS12120,SC_RS12305,SC_RS12775,SC_RS14075,SC_RS16650,SC_RS18250,SC_RS18640,SC_RS19205,SC_RS20245,SC_RS20365,SC_RS20430,SC_RS23270,SC_RS25400,SC_RS25985,SC_RS27080,SC_RS28415,SC_RS30595,SC_RS31695,SC_RS34805	0.9946689495497726
GO:0042578	6	12	3197	7646	1.1958085705348764	1.3923534942024445	0.38370807117000993	SC_RS22625,SC_RS23745,SC_RS26405,SC_RS35545,SC_RS38995,SC_RS39085	0.9946689495497726
GO:0016746	33	75	3197	7646	1.0523115420706912	1.094387755102041	0.39208189573502844	SC_RS06205,SC_RS08300,SC_RS08585,SC_RS09795,SC_RS10675,SC_RS12400,SC_RS12655,SC_RS12945,SC_RS13165,SC_RS13795,SC_RS14680,SC_RS15860,SC_RS16465,SC_RS16480,SC_RS17130,SC_RS17985,SC_RS18005,SC_RS19585,SC_RS22375,SC_RS22810,SC_RS23580,SC_RS23740,SC_RS24675,SC_RS28435,SC_RS29700,SC_RS31685,SC_RS31740,SC_RS31880,SC_RS32415,SC_RS35015,SC_RS35690,SC_RS40825,SC_RS40835	0.9946689495497726
GO:0000105	5	10	3197	7646	1.1958085705348764	1.3922305764411027	0.41291963064392484	SC_RS12255,SC_RS12275,SC_RS12285,SC_RS12305,SC_RS12310	0.9946689495497726
GO:0005737	22	50	3197	7646	1.0523115420706914	1.094060742407199	0.42933512446555716	SC_RS08820,SC_RS09430,SC_RS09515,SC_RS09625,SC_RS11765,SC_RS12285,SC_RS12675,SC_RS13535,SC_RS14845,SC_RS14990,SC_RS16965,SC_RS17465,SC_RS17500,SC_RS20365,SC_RS23360,SC_RS26150,SC_RS27955,SC_RS29545,SC_RS30685,SC_RS32305,SC_RS34270,SC_RS35495	0.9946689495497726
GO:0016747	10	22	3197	7646	1.0870987004862513	1.1601819893316598	0.4436854766654262	SC_RS08210,SC_RS08585,SC_RS15190,SC_RS17510,SC_RS18635,SC_RS20350,SC_RS21585,SC_RS35690,SC_RS35845,SC_RS37835	0.9946689495497726
GO:0006096	7	15	3197	7646	1.1160879991658847	1.21814263322884	0.44700317197763834	SC_RS04815,SC_RS11745,SC_RS11760,SC_RS11765,SC_RS12675,SC_RS20385,SC_RS29295	0.9946689495497726
GO:0009306	7	15	3197	7646	1.1160879991658847	1.21814263322884	0.44700317197763834	SC_RS10045,SC_RS25410,SC_RS30120,SC_RS30150,SC_RS30200,SC_RS30815,SC_RS30820	0.9946689495497726
