pathway_id	pathway_name	n_query	n_pathway	enrichment	odds_ratio	pvalue	gene_list	padj
sco00071	Fatty acid degradation - Streptomyces coelicolor	3	33	1.5143592790651614	1.5695175438596491	0.3178939292855382	SC_RS10540,SC_RS10545,SC_RS12570	0.8235931895030658
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor	3	35	1.4278244631185808	1.4710115131578947	0.35146710434525325	SC_RS09395,SC_RS09410,SC_RS37470	0.8235931895030658
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	2	21	1.5864716256873121	1.6510422664977542	0.36211243960635475	SC_RS09295,SC_RS11715	0.8235931895030658
sco03060	Protein export - Streptomyces coelicolor	2	21	1.5864716256873121	1.6510422664977542	0.36211243960635475	SC_RS09550,SC_RS09555	0.8235931895030658
sco00500	Starch and sucrose metabolism - Streptomyces coelicolor	4	52	1.2813809284397522	1.3075091575091575	0.38083061129211093	SC_RS06760,SC_RS06765,SC_RS11815,SC_RS15380	0.8235931895030658
sco00760	Nicotinate and nicotinamide metabolism - Streptomyces coelicolor	2	22	1.5143592790651614	1.5682713347921224	0.38408786971732295	SC_RS40305,SC_RS40310	0.8235931895030658
sco00430	Taurine and hypotaurine metabolism - Streptomyces coelicolor	1	9	1.8508835633018643	1.9593340611353711	0.4273497319991581	SC_RS34415	0.8235931895030658
sco00380	Tryptophan metabolism - Streptomyces coelicolor	2	25	1.3326361655773422	1.3631433736086005	0.44786222412342686	SC_RS10545,SC_RS33770	0.8235931895030658
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor	4	57	1.1689790926117036	1.1833298776695003	0.44953133028467046	SC_RS10540,SC_RS10545,SC_RS15380,SC_RS17605	0.8235931895030658
sco00720	Other carbon fixation pathways - Streptomyces coelicolor	3	41	1.2188745416865934	1.237707756232687	0.4501795976256841	SC_RS12555,SC_RS35120,SC_RS35125	0.8235931895030658
sco00860	Porphyrin metabolism - Streptomyces coelicolor	3	41	1.2188745416865934	1.237707756232687	0.4501795976256841	SC_RS11275,SC_RS24505,SC_RS38930	0.8235931895030658
sco03420	Nucleotide excision repair - Streptomyces coelicolor	1	10	1.6657952069716777	1.7413876758854925	0.46176723533978714	SC_RS11820	0.8235931895030658
sco02010	ABC transporters - Streptomyces coelicolor	12	192	1.0411220043572984	1.045041014168531	0.4859064346958249	SC_RS03670,SC_RS03675,SC_RS03680,SC_RS04160,SC_RS06700,SC_RS06705,SC_RS06710,SC_RS09300,SC_RS15985,SC_RS30445,SC_RS30565,SC_RS40635	0.8235931895030658
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	2	27	1.233922375534576	1.253741794310722	0.48826384719570426	SC_RS10815,SC_RS10820	0.8235931895030658
sco03010	Ribosome - Streptomyces coelicolor	4	60	1.1105301379811185	1.1194662480376767	0.4896055906701595	SC_RS07700,SC_RS15035,SC_RS15040,SC_RS25830	0.8235931895030658
