GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0003700	28	446	438	7374	1.0569445297622704	1.0649083907107013	0.40753264276625345	SC_RS02625,SC_RS04145,SC_RS04870,SC_RS04975,SC_RS05065,SC_RS05550,SC_RS06415,SC_RS06715,SC_RS06810,SC_RS09835,SC_RS09895,SC_RS11810,SC_RS17945,SC_RS21605,SC_RS21770,SC_RS24205,SC_RS24490,SC_RS25540,SC_RS26645,SC_RS28370,SC_RS32840,SC_RS32850,SC_RS33415,SC_RS38325,SC_RS39960,SC_RS40315,SC_RS40860,SC_RS41190	0.6095866421209506
GO:0005215	2	24	438	7374	1.4029680365296804	1.4416180150125104	0.4216106174824367	SC_RS17940,SC_RS24480	0.6134071432591841
GO:0030554	1	9	438	7374	1.8706240487062404	1.9816933638443937	0.42387122820718903	SC_RS15045	0.6134071432591841
GO:0043546	1	9	438	7374	1.8706240487062404	1.9816933638443937	0.42387122820718903	SC_RS05375	0.6134071432591841
GO:0051920	1	9	438	7374	1.8706240487062404	1.9816933638443937	0.42387122820718903	SC_RS37870	0.6134071432591841
GO:0006099	1	10	438	7374	1.6835616438356162	1.761250953470633	0.4581338761427286	SC_RS35120	0.647204999630204
GO:0006629	1	10	438	7374	1.6835616438356162	1.761250953470633	0.4581338761427286	SC_RS39950	0.647204999630204
GO:0003887	1	10	438	7374	1.6835616438356162	1.761250953470633	0.4581338761427286	SC_RS19840	0.647204999630204
GO:0016746	5	75	438	7374	1.1223744292237443	1.1326294952161002	0.4623421706076153	SC_RS06840,SC_RS09830,SC_RS15650,SC_RS24945,SC_RS35405	0.6480071367571301
GO:0003735	4	59	438	7374	1.141397724634316	1.1530791788856305	0.4680494814962366	SC_RS07700,SC_RS15035,SC_RS15040,SC_RS25830	0.6508813102057041
GO:0006470	2	27	438	7374	1.2470826991374937	1.2680733944954128	0.4825709016719062	SC_RS37270,SC_RS38815	0.6658730271131729
GO:0030976	1	11	438	7374	1.5305105853051058	1.5848970251716248	0.4903632843786719	SC_RS35115	0.6714204970723353
GO:0046872	20	333	438	7374	1.0111481344358058	1.0124279621505112	0.5137420072559068	SC_RS04635,SC_RS04745,SC_RS04760,SC_RS05395,SC_RS08725,SC_RS11960,SC_RS15045,SC_RS15380,SC_RS16745,SC_RS20915,SC_RS25545,SC_RS26815,SC_RS32860,SC_RS33770,SC_RS35120,SC_RS37270,SC_RS37465,SC_RS38815,SC_RS39940,SC_RS39950	0.6768504509665397
GO:0042626	14	232	438	7374	1.0159423712801134	1.0175263977843172	0.5159495877043316	SC_RS03670,SC_RS03675,SC_RS06705,SC_RS06710,SC_RS07690,SC_RS09300,SC_RS20900,SC_RS29325,SC_RS30445,SC_RS30565,SC_RS30795,SC_RS35415,SC_RS37265,SC_RS40635	0.6768504509665397
GO:0016987	3	46	438	7374	1.0979749851101845	1.1055332798716921	0.5202340949986388	SC_RS06415,SC_RS09835,SC_RS21605	0.6768504509665397
GO:0050660	3	46	438	7374	1.0979749851101845	1.1055332798716921	0.5202340949986388	SC_RS15980,SC_RS30570,SC_RS35115	0.6768504509665397
GO:0005829	1	12	438	7374	1.4029680365296804	1.440607447472436	0.5206798511914034	SC_RS12555	0.6768504509665397
GO:0042834	1	12	438	7374	1.4029680365296804	1.440607447472436	0.5206798511914034	SC_RS13755	0.6768504509665397
GO:0006633	2	29	438	7374	1.161076995748701	1.173802242609582	0.5209466954068311	SC_RS20915,SC_RS37465	0.6768504509665397
GO:0005886	5	82	438	7374	1.0265619779485464	1.0286134189136498	0.5421675248958107	SC_RS07035,SC_RS09555,SC_RS11955,SC_RS16240,SC_RS40865	0.6982645802359326
GO:0008360	1	13	438	7374	1.2950474183350895	1.3203661327231122	0.5491968608597223	SC_RS07045	0.6982645802359326
GO:0008483	1	13	438	7374	1.2950474183350895	1.3203661327231122	0.5491968608597223	SC_RS09900	0.6982645802359326
GO:0004722	2	32	438	7374	1.0522260273972601	1.0559633027522937	0.5748334896585899	SC_RS37270,SC_RS38815	0.7170050402245346
GO:0006468	1	14	438	7374	1.2025440313111546	1.2186234817813766	0.5760209031017328	SC_RS38415	0.7170050402245346
GO:0003995	1	14	438	7374	1.2025440313111546	1.2186234817813766	0.5760209031017328	SC_RS15980	0.7170050402245346
GO:0016020	24	414	438	7374	0.9759777645423863	0.9730211817168339	0.5818640985812829	SC_RS06895,SC_RS08725,SC_RS13750,SC_RS13765,SC_RS17940,SC_RS19175,SC_RS20915,SC_RS24475,SC_RS24480,SC_RS30365,SC_RS30565,SC_RS35415,SC_RS37260,SC_RS37445,SC_RS37455,SC_RS37460,SC_RS37465,SC_RS37865,SC_RS38200,SC_RS38205,SC_RS38345,SC_RS38350,SC_RS39180,SC_RS40305	0.7192486774129746
GO:0004177	1	15	438	7374	1.122374429223744	1.131415495259889	0.6012522678356247	SC_RS08725	0.722055008213183
GO:0051537	1	15	438	7374	1.122374429223744	1.131415495259889	0.6012522678356247	SC_RS06770	0.722055008213183
GO:0006096	1	15	438	7374	1.122374429223744	1.131415495259889	0.6012522678356247	SC_RS17605	0.722055008213183
GO:0009306	1	15	438	7374	1.122374429223744	1.131415495259889	0.6012522678356247	SC_RS09555	0.722055008213183
GO:0000166	4	70	438	7374	0.9620352250489237	0.9593632174277336	0.6044168327177768	SC_RS11960,SC_RS12570,SC_RS15030,SC_RS40615	0.722055008213183
GO:0006281	2	35	438	7374	0.9620352250489237	0.9595496246872394	0.6241696765918873	SC_RS09560,SC_RS09565	0.7367376581119156
GO:0006313	1	16	438	7374	1.0522260273972601	1.0558352402745996	0.6249853167129171	SC_RS19465	0.7367376581119156
GO:0006865	1	17	438	7374	0.9903303787268332	0.9897025171624714	0.6473088327879026	SC_RS38205	0.7580327120805702
GO:0140359	14	255	438	7374	0.9243083534783775	0.9172668910984108	0.6603825480930987	SC_RS03670,SC_RS03675,SC_RS06705,SC_RS06710,SC_RS07690,SC_RS09300,SC_RS20900,SC_RS29325,SC_RS30445,SC_RS30565,SC_RS30795,SC_RS35415,SC_RS37265,SC_RS40635	0.7682881932063501
GO:0004674	1	19	438	7374	0.8860850757029559	0.8794813119755912	0.6880564609274032	SC_RS38415	0.790155161581147
GO:0009236	1	19	438	7374	0.8860850757029559	0.8794813119755912	0.6880564609274032	SC_RS11275	0.790155161581147
GO:0016491	13	244	438	7374	0.896979564338648	0.8878533231474408	0.6990930853141943	SC_RS03130,SC_RS04740,SC_RS05060,SC_RS06410,SC_RS12570,SC_RS23035,SC_RS30570,SC_RS32855,SC_RS34670,SC_RS38330,SC_RS38410,SC_RS40320,SC_RS40615	0.7976831358072217
