GO_term	n_query	n_term_in_bg	n_query_total	n_bg_total	enrichment	odds_ratio	pvalue	gene_list	padj
GO:0004045	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS17750	0.9971874490241959
GO:0002949	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS25895	0.9971874490241959
GO:0016042	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS10685	0.9971874490241959
GO:0019464	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS29545	0.9971874490241959
GO:0006418	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS30710	0.9971874490241959
GO:0004733	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS35255	0.9971874490241959
GO:0019264	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS26345	0.9971874490241959
GO:0019645	1	3	3106	7374	0.7913715389568577	0.6869565217391305	0.8061636554891558	SC_RS26915	0.9971874490241959
GO:0004497	10	28	3106	7374	0.8478980774537761	0.7626327878265863	0.8096464275995952	SC_RS03220,SC_RS05935,SC_RS07990,SC_RS16515,SC_RS16520,SC_RS17620,SC_RS17970,SC_RS24250,SC_RS33795,SC_RS37215	0.9971874490241959
GO:0003735	22	59	3106	7374	0.8852630774771629	0.8157359694324675	0.8120473522176876	SC_RS04090,SC_RS04770,SC_RS04775,SC_RS14865,SC_RS17745,SC_RS19245,SC_RS19265,SC_RS19270,SC_RS21545,SC_RS21685,SC_RS21690,SC_RS25350,SC_RS25440,SC_RS25445,SC_RS25480,SC_RS25790,SC_RS25795,SC_RS25800,SC_RS25810,SC_RS30035,SC_RS30175,SC_RS30195	0.9971874490241959
