gene_id	gene_name	old_locus_tag	product	tf_family	norm_M145_1_1	norm_M145_1_2	norm_M145_1_3	norm_M145_2_1	norm_M145_2_3	norm_M145_2_4	norm_M145_3_2	norm_M145_3_3	norm_M145_3_4	z_M145_1_1	z_M145_1_2	z_M145_1_3	z_M145_2_1	z_M145_2_3	z_M145_2_4	z_M145_3_2	z_M145_3_3	z_M145_3_4	T2_up_DEG	T2_LFC	T2_padj	T3_LFC	T3_padj	ward_cluster_order	ward_k3_cluster
SC_RS07750		SCO1160	sensor histidine kinase	Sensor kinase	2.09308521719455	5.567194455165944	7.687545004049539	1284.5811734203676	1307.8425657718883	1277.0075404283884	555.8838147843861	795.1690328641796	500.2987101488177	-1.5454132589755467	-1.2522319029927529	-1.1432781310687332	0.8025514141630029	0.8095341447881632	0.800250629243345	0.47678097588743135	0.6159716375722597	0.43583449138283087	True	7.895713314069832	6.685778908988326e-80	6.821010401586004	5.485767658470406e-60	49	3
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	178.95878607013404	139.1798613791486	140.08415340712494	9.04634629169273	24.481782019375252	24.64400516616188	36.786428919554965	25.578863994232353	37.74324137559299	1.3890931517750822	1.1350072675767247	1.1415477752008436	-1.5459152463153905	-0.599197113808417	-0.5927422111056535	-0.19845360409754173	-0.5563216081335071	-0.17301841109213836	False	-2.9236552002412837	1.6312809495587037e-18	-2.121942799396092	3.7620615177737563e-13	3	1
SC_RS08090		SCO1227	helix-turn-helix transcriptional regulator	HTH (other)	7.325798260180926	7.794072237232322	7.687545004049539	241.98976330278052	247.39484988000257	196.03185927628772	199.60043839684457	283.5917529795326	253.76306967419964	-1.3496815320031803	-1.3167198747750097	-1.3240613876092349	0.6825468577739631	0.6957994173323567	0.5562553781421604	0.5670678871978829	0.7777449523089934	0.711048301632071	True	4.8574849580221	1.0504968452721195e-39	4.96019504144633	1.1409741023800268e-41	52	3
SC_RS09315		SCO1468	tetratricopeptide repeat protein	TetR	13.605053911764577	5.567194455165944	11.958403339632616	169.6189929692387	161.06435539062664	201.6327695413245	188.0195255888365	248.00376829190495	232.08078207545475	-1.106639052575169	-1.6466210693986982	-1.1874546271906756	0.5539924724248185	0.5192407646812854	0.6701676284852311	0.6231840822773443	0.8093872122957446	0.7647425890001186	True	4.026952770152274	1.7832508749357542e-33	4.353737144637652	1.767786937533028e-39	55	3
SC_RS09835		SCO1564	sigma-70 family RNA polymerase sigma factor	Sigma factor	1.046542608597275	3.3403166730995664	4.270858335583077	167.3574063963155	153.3332663318766	118.73929761878	22.480595450839147	18.906116865302177	24.89447835411452	-1.4865536416749174	-1.0241618841955575	-0.9046909501364907	1.2257780071544375	1.1722841575583793	1.0161860392044733	0.014182048093036258	-0.08739178174642927	0.07436800574307073	True	5.5269691734079345	3.393746014177269e-24	2.7311380776602356	5.085169643293528e-07	43	3
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	9.418883477375475	10.0209500192987	2.5625150013498463	26.0082455886166	34.78990076437535	32.485279537213394	61.31071486592494	40.03648277358107	56.213338218968275	-0.8451423555981787	-0.7857909249282243	-1.978914041854409	0.16118454143464025	0.45861033522887606	0.3882907831780154	1.0443978675888745	0.6031331779675061	0.9542306169829007	True	1.991505486717247	1.0409101822101902e-05	2.7890739234630972	2.6660575977229683e-10	45	3
SC_RS11515		SCO1897	DeoR/GlpR family DNA-binding transcription regulator	DeoR	15.698139128959127	12.247827801365077	4.270858335583077	36.18538516677092	39.94396013687541	35.845825696235465	42.91750040614746	17.79399234381381	32.12190755369616	-0.4542491560366166	-0.7834407341290002	-2.094213313365893	0.6844040956516917	0.8213472245424062	0.6713574192617867	0.9210568324562084	-0.28608625256221226	0.5198238841816258	True	1.6809431847299388	0.0001699613002738032	1.4350413079538866	0.0009104186676768416	46	3
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	161.16756172398038	143.63361694328134	158.02175841657385	22.615865729231825	15.46217811750016	25.76418721916924	31.336587598139417	28.91523755869744	33.72800293138096	1.3441049878920655	1.2181948923715211	1.3225499498066857	-0.7759694173976375	-1.1730375761920873	-0.6382639498102398	-0.43014793025511144	-0.5157903807989285	-0.35164057561626716	False	-2.7985256796387907	1.4619202996223605e-21	-2.2528307579586753	2.2331866683258533e-18	6	1
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	1008.8670746877732	1009.8890741671022	967.7764988431252	362.9846449541708	374.9578193493789	450.31318530895805	245.92408962887671	310.28274149525333	264.2026896291509	1.29095652183858	1.29269067295575	1.2197389371812417	-0.45855622273071367	-0.4030681804437655	-0.0898679991985536	-1.123808322902324	-0.7267105363655945	-1.001374870334628	False	-1.3096522610330428	3.848248885630113e-15	-1.8493943123561245	1.0536178291998503e-28	16	1
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	75.35106781900382	65.69289457095813	69.18790503644585	12.438726151077503	28.347326548750292	17.922912848117733	30.65535743296247	32.25161112316253	24.091430665272117	1.3037292883714466	1.081233099940848	1.1652634565364355	-1.5542300513641736	-0.26926665152206475	-0.9912050389703417	-0.1447189024340905	-0.06378434044133784	-0.5270208601167183	False	-1.7747397059724868	2.120495197321675e-07	-1.210929290474675	7.263588260934468e-05	2	1
