gene_id,mod_type,methyl_change,methyl_category,log2FC,padj,coordination,correlation_type
SC_RS15275,4mC,-82.27,Lost,-1.437381343868127,4.027268537839461e-11,Lost_Down,Positive
SC_RS15500,6mA,-54.61,Lost,2.87826877373787,6.559840929827211e-17,Lost_Up,Negative
SC_RS16380,6mA,-52.59,Lost,-1.4030821746760471,8.051069459118227e-10,Lost_Down,Positive
SC_RS17020,6mA,-53.8,Lost,2.503918122721263,4.268141729641323e-09,Lost_Up,Negative
SC_RS17025,6mA,-50.48,Lost,2.722054499634278,3.992131207632556e-08,Lost_Up,Negative
SC_RS17905,4mC,-73.15,Lost,-1.917526368667958,2.5045852272638897e-25,Lost_Down,Positive
SC_RS18855,4mC,-67.68,Lost,-1.8421611024877456,3.4581465606692484e-26,Lost_Down,Positive
SC_RS19405,6mA,51.44,Gained,1.4360768284104712,1.1750033038745777e-08,Gained_Up,Positive
SC_RS19695,6mA,10.269999999999996,Gained,4.471886179938653,1.5840514843727336e-11,Gained_Up,Positive
SC_RS19915,6mA,-51.43,Lost,1.5914424645161018,0.0011713155186753,Lost_Up,Negative
SC_RS20270,6mA,-51.96,Lost,1.1006433054668894,0.0486936827998777,Lost_Up,Negative
SC_RS20390,4mC,-75.69,Lost,-1.4872113403719862,1.1612150859679778e-13,Lost_Down,Positive
SC_RS20895,6mA,-15.325000000000003,Lost,2.5033501064452337,7.971684505847202e-15,Lost_Up,Negative
SC_RS21280,4mC,-73.2,Lost,-2.661453449255357,3.473835904872947e-44,Lost_Down,Positive
SC_RS21340,6mA,-51.69,Lost,1.0414788942382205,0.0007091981049213645,Lost_Up,Negative
SC_RS21625,4mC,-66.12,Lost,-1.10683056111355,7.625568344363817e-11,Lost_Down,Positive
SC_RS21755,4mC,-54.59,Lost,-1.0315052357405077,5.02062796163548e-07,Lost_Down,Positive
SC_RS22350,6mA,-51.31,Lost,1.7329356987751343,0.0066197891685875,Lost_Up,Negative
SC_RS22665,6mA,56.18,Gained,1.1585040438705334,0.0077929779442651,Gained_Up,Positive
SC_RS22980,4mC,-73.35,Lost,-1.3585403095207955,2.302475643825771e-11,Lost_Down,Positive
SC_RS23065,6mA,-10.370000000000005,Lost,1.958044044742848,0.0007044771862676207,Lost_Up,Negative
SC_RS23065,4mC,62.7,Gained,1.958044044742848,0.0007044771862676207,Gained_Up,Positive
SC_RS23405,4mC,-13.619999999999997,Lost,-2.436797222987476,2.5167311683048075e-41,Lost_Down,Positive
SC_RS23430,4mC,-62.92,Lost,-2.204387175721835,7.190149436795837e-22,Lost_Down,Positive
SC_RS23510,6mA,-52.74,Lost,2.9939804780994272,1.456557544341824e-38,Lost_Up,Negative
SC_RS23590,4mC,-62.65,Lost,-1.0056724227890592,3.5350316526901854e-06,Lost_Down,Positive
SC_RS23655,4mC,-74.66,Lost,-2.8335211324853007,1.0595372613126223e-24,Lost_Down,Positive
SC_RS23755,4mC,-67.57,Lost,-1.3205287699863135,2.3954177565862812e-11,Lost_Down,Positive
SC_RS23840,4mC,10.530000000000001,Gained,1.1611359666512753,1.6818902774998044e-06,Gained_Up,Positive
SC_RS24000,4mC,-71.15,Lost,-1.728045623364508,3.883673842102363e-12,Lost_Down,Positive
SC_RS24060,4mC,15.569999999999993,Gained,2.2599544149369573,4.45274410291421e-06,Gained_Up,Positive
SC_RS24090,6mA,51.49,Gained,1.9174962919740688,0.0002726551344977235,Gained_Up,Positive
SC_RS24385,4mC,-56.43,Lost,-1.3724975041781005,2.055845951667242e-09,Lost_Down,Positive
SC_RS25085,4mC,-83.27,Lost,-1.81591339552257,1.7494898167426614e-20,Lost_Down,Positive
SC_RS25255,6mA,-58.61,Lost,1.9856263569670172,1.9174976317962375e-05,Lost_Up,Negative
SC_RS25385,6mA,-60.45,Lost,1.709091568742732,0.0007786034972189799,Lost_Up,Negative
SC_RS25940,6mA,50.3,Gained,1.0851481757289916,0.0334000602858631,Gained_Up,Positive
SC_RS26295,4mC,-11.039999999999992,Lost,-1.0751874900832876,5.308247876518284e-05,Lost_Down,Positive
SC_RS26355,6mA,-54.36,Lost,-1.0547164011000456,4.847040147403928e-06,Lost_Down,Positive
SC_RS26370,4mC,50.56,Gained,2.507504608200899,4.34676035394826e-09,Gained_Up,Positive
SC_RS26720,4mC,-10.239999999999995,Lost,-1.6117724319715696,2.5534109559960757e-14,Lost_Down,Positive
SC_RS26850,6mA,50.0,Gained,1.8472521449959072,1.4539818838096752e-05,Gained_Up,Positive
SC_RS26855,6mA,50.0,Gained,2.4649977728846406,4.425509776851678e-09,Gained_Up,Positive
SC_RS27025,6mA,52.38,Gained,1.900499625787984,3.434899835041594e-07,Gained_Up,Positive
SC_RS27085,6mA,12.310000000000002,Gained,1.2831918903036283,0.00020336353669725993,Gained_Up,Positive
SC_RS27300,6mA,-50.52,Lost,1.1134905586101698,3.470378898288983e-05,Lost_Up,Negative
SC_RS27420,6mA,52.63,Gained,3.8885978924037734,2.3950442943323464e-11,Gained_Up,Positive
SC_RS27920,4mC,-73.695,Lost,-1.5152753099390095,3.648163967116632e-11,Lost_Down,Positive
SC_RS28555,6mA,-17.310000000000002,Lost,1.4067259141026014,1.803877977679941e-07,Lost_Up,Negative
SC_RS28635,4mC,-58.63,Lost,-2.514516911006285,8.02750546676346e-34,Lost_Down,Positive
SC_RS28655,4mC,-63.32,Lost,-2.030508664374824,1.7179490341448815e-34,Lost_Down,Positive
SC_RS29005,4mC,-72.22,Lost,-1.293336171850488,1.184439074387756e-13,Lost_Down,Positive
SC_RS29185,6mA,54.44,Gained,1.585254521398635,1.3041082773517267e-05,Gained_Up,Positive
SC_RS29420,6mA,-53.4,Lost,2.9693549884832957,2.668987518549076e-17,Lost_Up,Negative
SC_RS29640,4mC,-55.56,Lost,-1.6720239983711065,7.894631251722533e-21,Lost_Down,Positive
SC_RS29675,6mA,-50.04,Lost,-1.280238894808079,5.06632458183272e-07,Lost_Down,Positive
SC_RS29820,6mA,61.85,Gained,2.3084117974324347,8.079474405262015e-08,Gained_Up,Positive
SC_RS30010,6mA,-50.92,Lost,-1.4660824424173289,3.701783501816548e-15,Lost_Down,Positive
SC_RS30795,6mA,-54.94,Lost,2.0253912688205498,1.2375510659027939e-15,Lost_Up,Negative
SC_RS31905,6mA,54.94,Gained,1.9143965693536344,1.8920795916725324e-05,Gained_Up,Positive
SC_RS31910,6mA,54.94,Gained,4.053957197348445,9.194177923759038e-12,Gained_Up,Positive
SC_RS32075,6mA,-50.16,Lost,2.5329376913413135,1.6555929383141433e-13,Lost_Up,Negative
SC_RS32515,6mA,-52.58,Lost,1.4847626145107158,0.00017821648084095153,Lost_Up,Negative
SC_RS32610,4mC,-79.33,Lost,-1.5153205892455863,2.286713400746618e-16,Lost_Down,Positive
SC_RS32960,6mA,61.16,Gained,2.10565514117729,0.0006630755127666138,Gained_Up,Positive
SC_RS32975,4mC,-71.59,Lost,-4.25575498867444,3.3887999499520895e-145,Lost_Down,Positive
SC_RS33075,6mA,-55.45,Lost,2.654344788259696,0.000378693565432415,Lost_Up,Negative
SC_RS33115,6mA,54.04,Gained,3.5726296350521127,3.9115654528020454e-16,Gained_Up,Positive
SC_RS33200,6mA,-54.15,Lost,3.297632220518512,9.687848900137451e-09,Lost_Up,Negative
SC_RS33880,6mA,51.2,Gained,3.646467832446056,4.498003720079355e-11,Gained_Up,Positive
SC_RS33890,6mA,53.17,Gained,1.7072525055095893,0.00019279577088513096,Gained_Up,Positive
SC_RS33895,6mA,53.81,Gained,1.4848719084247566,1.7500282370714655e-08,Gained_Up,Positive
SC_RS34185,6mA,-53.79,Lost,-1.2233185426763595,2.39471277316618e-14,Lost_Down,Positive
SC_RS34185,4mC,-58.93,Lost,-1.2233185426763595,2.39471277316618e-14,Lost_Down,Positive
SC_RS34265,6mA,-50.28,Lost,1.247466493088083,0.001345218814689,Lost_Up,Negative
SC_RS34310,6mA,-58.22,Lost,-1.460011495078535,3.8262851878549824e-11,Lost_Down,Positive
SC_RS34375,6mA,-51.82,Lost,1.5767959509161713,1.0189800817784671e-09,Lost_Up,Negative
SC_RS34380,6mA,-61.85,Lost,1.4989716916481626,3.0624241720233314e-07,Lost_Up,Negative
SC_RS34670,6mA,51.09,Gained,1.5450134162735436,8.056233746266417e-05,Gained_Up,Positive
SC_RS34675,6mA,51.09,Gained,1.7742798138200693,4.247251114418941e-07,Gained_Up,Positive
SC_RS35075,6mA,52.18,Gained,3.3630241975886848,1.7333668956003177e-13,Gained_Up,Positive
SC_RS35210,6mA,51.28,Gained,1.5821733478864155,3.2569517686018266e-05,Gained_Up,Positive
SC_RS35270,4mC,-62.0,Lost,-1.2019391199950782,1.0917342187886494e-11,Lost_Down,Positive
SC_RS35585,6mA,51.94,Gained,1.720819802134511,2.4884277318449104e-06,Gained_Up,Positive
SC_RS35590,6mA,51.94,Gained,2.6021818632677314,6.0771383332549e-14,Gained_Up,Positive
SC_RS35735,4mC,11.200000000000003,Gained,1.95687816020616,4.933088997401823e-14,Gained_Up,Positive
SC_RS35765,6mA,-54.32,Lost,-1.2229708588525423,7.522989305434053e-05,Lost_Down,Positive
SC_RS36110,6mA,53.75,Gained,2.8731374799331904,8.677379787193865e-08,Gained_Up,Positive
SC_RS36160,4mC,-93.27,Lost,-1.6843153396388624,3.541235232801916e-12,Lost_Down,Positive
SC_RS36430,4mC,19.439999999999998,Gained,3.740171870800591,6.83257685606164e-05,Gained_Up,Positive
SC_RS36450,6mA,50.81,Gained,3.1972636702826644,8.766637381527978e-06,Gained_Up,Positive
SC_RS36480,6mA,-51.69,Lost,3.676575998431361,2.616951001568076e-07,Lost_Up,Negative
SC_RS36700,6mA,50.61,Gained,3.3413682366803528,9.274601273087038e-06,Gained_Up,Positive
SC_RS36715,6mA,-53.54,Lost,3.8662598329951257,3.6009825901026385e-07,Lost_Up,Negative
SC_RS36920,6mA,-54.56,Lost,4.952899083034497,7.443457906326126e-23,Lost_Up,Negative
SC_RS37020,6mA,-54.260000000000005,Lost,4.358410051100823,2.382829450643441e-08,Lost_Up,Negative
SC_RS37030,6mA,58.81,Gained,1.4889848894893805,0.0105276425262509,Gained_Up,Positive
SC_RS37275,6mA,-52.79,Lost,1.666974939653834,3.144284391759582e-06,Lost_Up,Negative
SC_RS37545,6mA,-50.97,Lost,1.9195753489406255,1.5968985950750836e-11,Lost_Up,Negative
SC_RS37550,6mA,-50.97,Lost,4.066291037451794,4.052912528972024e-08,Lost_Up,Negative
SC_RS37570,6mA,50.15,Gained,2.498471371397737,1.240242538393015e-05,Gained_Up,Positive
SC_RS37675,6mA,53.45,Gained,2.242975511519141,1.1423066406963477e-07,Gained_Up,Positive
SC_RS38205,6mA,-50.27,Lost,1.01235290650412,1.4818861270811376e-05,Lost_Up,Negative
SC_RS38380,4mC,-64.72,Lost,-1.490981468316268,5.1582537376811235e-14,Lost_Down,Positive
SC_RS38475,4mC,-92.31,Lost,-1.5056183989913725,1.57470250268588e-09,Lost_Down,Positive
SC_RS39180,6mA,-14.189999999999998,Lost,1.535336597814521,1.6235439414445283e-05,Lost_Up,Negative
SC_RS39185,6mA,65.57,Gained,2.2537644466563274,8.018516019697858e-06,Gained_Up,Positive
SC_RS39225,6mA,-52.510000000000005,Lost,-2.070592725121124,1.7221210232324096e-22,Lost_Down,Positive
SC_RS39255,6mA,54.46,Gained,1.8111862468962232,0.00010347327273523014,Gained_Up,Positive
SC_RS39275,6mA,51.07,Gained,3.4845322676988935,2.1319257149851266e-06,Gained_Up,Positive
SC_RS39280,6mA,51.07,Gained,2.603665276996685,5.505775324932478e-09,Gained_Up,Positive
SC_RS39555,4mC,-81.59,Lost,-1.7968684741662484,4.331656481046776e-13,Lost_Down,Positive
SC_RS39560,4mC,-81.59,Lost,-1.961804124586475,1.0370607664543119e-16,Lost_Down,Positive
SC_RS39720,6mA,54.03,Gained,1.7286302826869453,4.665396545156912e-05,Gained_Up,Positive
SC_RS39855,6mA,-51.12,Lost,4.2067455339195945,1.523028406145937e-09,Lost_Up,Negative
SC_RS40045,6mA,-64.8,Lost,1.710446930327289,3.773196236518428e-05,Lost_Up,Negative
SC_RS40075,6mA,52.83,Gained,3.564228426354086,7.292989494716868e-07,Gained_Up,Positive
SC_RS40605,6mA,-51.1,Lost,2.688483730996302,1.4209759406012628e-13,Lost_Up,Negative
SC_RS40865,4mC,18.309999999999995,Gained,2.05655009868368,6.387015764527011e-07,Gained_Up,Positive
SC_RS41220,6mA,56.83,Gained,2.4292375536293394,7.6032420127528436e-06,Gained_Up,Positive
SC_RS41345,4mC,-87.08,Lost,-2.133243423826545,1.756290041240642e-05,Lost_Down,Positive
