gene_id,old_locus_tag,product,mod_type,T1_sites,T2_sites,T1_mean_freq,T2_mean_freq,methyl_change,methyl_category,log2FC,padj,baseMean,expr_category,coordination,correlation_type,methyl_direction
SC_RS08225,SCO1253,SGNH/GDSL hydrolase family protein,6mA,1,0,58.4,0.0,-58.4,Lost,-1.85,2.576623079206146e-12,71.8,Down,Lost_Down,Positive,Lost
SC_RS08335,SCO1275,NAD(P)/FAD-dependent oxidoreductase,6mA,2,2,73.8,69.2,-4.5,Stable,1.91,0.0001499563125759,46.3,Up,Stable_Up,Other,Stable
SC_RS08425,SCO1293,GNAT family N-acetyltransferase,6mA,0,1,0.0,66.2,66.2,Gained,6.79,8.869809665435927e-181,8440.0,Up,Gained_Up,Positive,Gained
SC_RS08540,SCO1315,gamma carbonic anhydrase family protein,6mA,1,0,64.9,0.0,-64.9,Lost,-0.86,1.4083522345186414e-05,143.6,Mild,Lost_Mild,Other,Lost
SC_RS08545,SCO1316,DedA family protein,6mA,2,2,67.3,71.4,4.2,Stable,0.77,0.000136154783194,618.9,Mild,Stable_Mild,Other,Stable
SC_RS08600,SCO1327,PP2C family protein-serine/threonine phosphatase,4mC,1,1,89.1,80.8,-8.3,Stable,0.81,0.0012866537091315,94.6,Mild,Stable_Mild,Other,Stable
SC_RS08615,SCO1330,class I adenylate-forming enzyme family protein,4mC,0,1,0.0,84.5,84.5,Gained,2.47,2.6349114512980236e-06,31.1,Up,Gained_Up,Positive,Gained
SC_RS08620,SCO1331,LuxR C-terminal-related transcriptional regulator,4mC,0,1,0.0,84.5,84.5,Gained,2.43,1.0131761059368294e-45,323.3,Up,Gained_Up,Positive,Gained
SC_RS08895,SCO1386,small basic family protein,6mA,1,1,54.5,67.7,13.2,Increased,-0.57,0.0299220893354792,75.7,Mild,Increased_Mild,Other,Increased
SC_RS09080,SCO1421,RNA polymerase-binding protein RbpA,6mA,0,1,0.0,64.9,64.9,Gained,0.95,0.0006325739770158,5866.5,Mild,Gained_Mild,Other,Gained
SC_RS09080,SCO1421,RNA polymerase-binding protein RbpA,4mC,0,1,0.0,64.1,64.1,Gained,0.95,0.0006325739770158,5866.5,Mild,Gained_Mild,Other,Gained
SC_RS09235,SCO1452,DUF5995 family protein,4mC,1,0,82.8,0.0,-82.8,Lost,0.79,0.0217263249608607,51.3,Mild,Lost_Mild,Other,Lost
SC_RS09305,SCO1466,hypothetical protein,6mA,1,1,56.9,64.2,7.4,Stable,5.09,3.3654843468196716e-22,75.4,Up,Stable_Up,Other,Stable
SC_RS09340,SCO1473,methionyl-tRNA formyltransferase,6mA,1,0,52.8,0.0,-52.8,Lost,-0.94,0.0001517427749732,141.4,Mild,Lost_Mild,Other,Lost
SC_RS09345,SCO1474,hypothetical protein,6mA,1,0,52.8,0.0,-52.8,Lost,2.53,8.007206238291413e-21,228.1,Up,Lost_Up,Negative,Lost
SC_RS09350,SCO1475,primosomal protein N',6mA,0,1,0.0,57.9,57.9,Gained,-1.63,3.4880846042379973e-25,503.7,Down,Gained_Down,Negative,Gained
SC_RS09400,SCO1485,PH-like domain-containing protein,6mA,0,1,0.0,56.4,56.4,Gained,-2.16,9.636068971738445e-34,243.8,Down,Gained_Down,Negative,Gained
SC_RS09400,SCO1485,PH-like domain-containing protein,4mC,1,1,71.5,69.5,-2.0,Stable,-2.16,9.636068971738445e-34,243.8,Down,Stable_Down,Other,Stable
SC_RS09425,SCO1490,transcription antitermination factor NusB,4mC,0,1,0.0,70.8,70.8,Gained,-1.89,2.270173504188972e-15,1895.3,Down,Gained_Down,Negative,Gained
SC_RS09435,SCO1492,aminopeptidase P family protein,6mA,1,0,53.4,0.0,-53.4,Lost,-1.27,2.0842517821969842e-13,289.1,Down,Lost_Down,Positive,Lost
SC_RS09440,SCO1493,Pro-rich N-terminal domain-containing protein,6mA,0,1,0.0,54.2,54.2,Gained,-0.8,1.637711218167768e-05,167.2,Mild,Gained_Mild,Other,Gained
SC_RS09485,SCO1502,hypothetical protein,6mA,1,1,65.4,60.7,-4.7,Stable,-0.86,0.0003258571846595,256.9,Mild,Stable_Mild,Other,Stable
SC_RS09550,SCO1516,protein translocase subunit SecD,4mC,1,1,72.0,73.9,1.9,Stable,-1.34,1.394665209973326e-09,2312.6,Down,Stable_Down,Other,Stable
SC_RS09565,SCO1519,Holliday junction branch migration protein RuvA,6mA,1,0,62.9,0.0,-62.9,Lost,-1.64,7.914492555777169e-16,130.1,Down,Lost_Down,Positive,Lost
SC_RS09775,SCO1552,TrmH family RNA methyltransferase,4mC,1,1,80.0,74.0,-6.0,Stable,-1.13,1.0684152338991352e-09,177.6,Down,Stable_Down,Other,Stable
SC_RS10015,SCO1600,translation initiation factor IF-3,6mA,1,0,61.8,0.0,-61.8,Lost,-2.03,9.05394362262956e-17,15598.3,Down,Lost_Down,Positive,Lost
SC_RS10020,SCO1601,DUF1844 domain-containing protein,6mA,1,0,61.8,0.0,-61.8,Lost,-0.76,2.2436404035089263e-05,235.7,Mild,Lost_Mild,Other,Lost
SC_RS10050,,hypothetical protein,6mA,1,0,64.9,0.0,-64.9,Lost,-0.74,0.0001372532092398,230.3,Mild,Lost_Mild,Other,Lost
SC_RS10065,SCO1611,3-oxoacyl-ACP reductase,4mC,1,1,73.5,73.8,0.3,Stable,1.22,0.0007546373449793,41.8,Up,Stable_Up,Other,Stable
SC_RS10070,SCO1612,aldehyde dehydrogenase family protein,4mC,1,1,92.4,91.1,-1.4,Stable,0.75,0.0464700442175009,49.0,Mild,Stable_Mild,Other,Stable
SC_RS10090,SCO1616,LysR family transcriptional regulator,6mA,1,1,72.5,72.9,0.4,Stable,-2.33,4.543101324244039e-40,298.7,Down,Stable_Down,Other,Stable
SC_RS10090,SCO1616,LysR family transcriptional regulator,4mC,1,0,93.0,0.0,-93.0,Lost,-2.33,4.543101324244039e-40,298.7,Down,Lost_Down,Positive,Lost
SC_RS10220,SCO1642,LacI family DNA-binding transcriptional regulator,6mA,0,1,0.0,60.6,60.6,Gained,0.79,1.0870314565402976e-06,234.4,Mild,Gained_Mild,Other,Gained
SC_RS10245,SCO1647,depupylase/deamidase Dop,6mA,1,0,58.8,0.0,-58.8,Lost,3.51,1.4169318777043546e-63,2594.4,Up,Lost_Up,Negative,Lost
SC_RS10550,SCO1707,ABC transporter ATP-binding protein,6mA,0,1,0.0,54.8,54.8,Gained,1.06,0.0191880854010143,38.2,Up,Gained_Up,Positive,Gained
SC_RS10560,SCO1709,MFS transporter,4mC,1,0,83.5,0.0,-83.5,Lost,-1.76,5.28930254226972e-11,113.5,Down,Lost_Down,Positive,Lost
SC_RS10735,SCO1745,response regulator,4mC,1,1,95.1,90.0,-5.1,Stable,0.76,0.0377054659069007,31.7,Mild,Stable_Mild,Other,Stable
SC_RS10845,SCO1767,NUDIX hydrolase,6mA,1,1,74.5,71.9,-2.6,Stable,-1.67,6.722200480810295e-12,307.6,Down,Stable_Down,Other,Stable
SC_RS10980,SCOr06,,4mC,1,0,76.9,0.0,-76.9,Lost,1.13,9.163005585109196e-05,394.9,Up,Lost_Up,Negative,Lost
SC_RS10995,SCO1794,YbhB/YbcL family Raf kinase inhibitor-like protein,4mC,0,1,0.0,53.9,53.9,Gained,0.98,2.844561933840517e-05,1316.0,Mild,Gained_Mild,Other,Gained
SC_RS11000,SCO1795,HNH endonuclease,6mA,1,0,53.8,0.0,-53.8,Lost,3.19,4.1297781861190093e-53,733.5,Up,Lost_Up,Negative,Lost
SC_RS11010,SCO1797,NfeD family protein,4mC,0,1,0.0,85.3,85.3,Gained,0.75,0.0005875847363063,921.7,Mild,Gained_Mild,Other,Gained
SC_RS11095,SCO1814,enoyl-ACP reductase FabI,4mC,1,0,91.0,0.0,-91.0,Lost,-2.03,2.464555191349768e-17,1193.8,Down,Lost_Down,Positive,Lost
SC_RS11300,SCO1854,ZIP family metal transporter,4mC,0,1,0.0,93.6,93.6,Gained,-0.6,0.0012182574415623,847.9,Mild,Gained_Mild,Other,Gained
SC_RS11305,SCO1855,precorrin-4 C(11)-methyltransferase,4mC,0,1,0.0,93.6,93.6,Gained,-0.54,0.0012502285767843,1208.8,Mild,Gained_Mild,Other,Gained
SC_RS11570,SCO1907,hypothetical protein,6mA,1,1,67.6,72.3,4.6,Stable,0.58,0.0045058368246521,931.1,Mild,Stable_Mild,Other,Stable
SC_RS11585,SCO1910,DUF3618 domain-containing protein,4mC,0,1,0.0,60.9,60.9,Gained,0.82,0.0153242156470021,34.9,Mild,Gained_Mild,Other,Gained
SC_RS11615,SCO1916,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase,6mA,1,0,56.0,0.0,-56.0,Lost,1.2,4.6021945506250057e-10,939.4,Up,Lost_Up,Negative,Lost
SC_RS11705,SCO1934,heme o synthase,4mC,1,2,56.2,63.3,7.2,Stable,-1.22,5.3905452329688785e-08,1800.7,Down,Stable_Down,Other,Stable
SC_RS11710,SCO1935,transketolase,4mC,0,1,0.0,72.3,72.3,Gained,0.65,0.0058545203757309,13469.8,Mild,Gained_Mild,Other,Gained
SC_RS11850,SCO1964,TerD family protein,4mC,2,2,97.8,96.4,-1.4,Stable,-0.78,0.0002733623427727,978.2,Mild,Stable_Mild,Other,Stable
SC_RS12015,SCO1997,PAC2 family protein,4mC,0,1,0.0,77.1,77.1,Gained,2.68,1.406854323742891e-26,1600.6,Up,Gained_Up,Positive,Gained
SC_RS12195,SCO2032,CaiB/BaiF CoA transferase family protein,6mA,1,0,58.6,0.0,-58.6,Lost,-1.81,0.0057337052942918,26.4,Down,Lost_Down,Positive,Lost
SC_RS12210,SCO2035,DsbA family protein,4mC,1,1,95.8,93.8,-2.0,Stable,4.47,1.5049014154447276e-49,241.5,Up,Stable_Up,Other,Stable
SC_RS12215,SCO2036,tryptophan synthase subunit alpha,4mC,0,1,0.0,75.2,75.2,Gained,-0.54,0.0130008498041291,353.5,Mild,Gained_Mild,Other,Gained
SC_RS12265,SCO2046,MFS transporter,4mC,1,1,97.8,93.0,-4.8,Stable,0.7,4.45835964974471e-05,270.1,Mild,Stable_Mild,Other,Stable
SC_RS12315,SCO2055,hypothetical protein,4mC,0,1,0.0,85.6,85.6,Gained,2.27,9.831043336450512e-11,225.4,Up,Gained_Up,Positive,Gained
SC_RS12380,SCO2068,alkaline phosphatase D family protein,4mC,1,1,92.4,79.7,-12.7,Decreased,4.44,3.902837576067351e-95,3803.2,Up,Decreased_Up,Negative,Decreased
SC_RS12455,SCO2083,cell division protein FtsQ,6mA,0,1,0.0,51.4,51.4,Gained,-0.55,0.001555229554598,272.4,Mild,Gained_Mild,Other,Gained
SC_RS12500,SCO2092,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,4mC,0,1,0.0,87.9,87.9,Gained,-2.58,4.695309529256716e-30,365.0,Down,Gained_Down,Negative,Gained
SC_RS12685,SCO2128,ArsA family ATPase,6mA,1,0,52.6,0.0,-52.6,Lost,-1.11,0.002964878201015,68.3,Down,Lost_Down,Positive,Lost
SC_RS12730,SCO2137,NYN domain-containing protein,4mC,1,1,89.7,91.3,1.6,Stable,-1.26,7.3215394800253e-14,316.7,Down,Stable_Down,Other,Stable
SC_RS12740,SCO2139,rhomboid family intramembrane serine protease,4mC,1,1,89.7,91.3,1.6,Stable,-0.88,0.0365175201374103,30.4,Mild,Stable_Mild,Other,Stable
SC_RS12890,SCO2170,class I SAM-dependent methyltransferase,4mC,1,0,95.1,0.0,-95.1,Lost,-1.93,7.976823976817156e-34,665.7,Down,Lost_Down,Positive,Lost
SC_RS13055,SCO2204,winged helix DNA-binding domain-containing protein,6mA,1,1,67.7,65.5,-2.2,Stable,-1.02,5.82872688616701e-07,409.2,Down,Stable_Down,Other,Stable
SC_RS13090,SCO2211,DUF6891 domain-containing protein,4mC,1,0,79.6,0.0,-79.6,Lost,-2.54,7.68685505395119e-48,790.5,Down,Lost_Down,Positive,Lost
SC_RS13185,SCO2231,extracellular solute-binding protein,4mC,1,1,93.8,93.3,-0.5,Stable,-2.15,7.10010546512359e-18,2077.0,Down,Stable_Down,Other,Stable
SC_RS13205,SCO2235,type II toxin-antitoxin system Phd/YefM family antitoxin,4mC,1,1,77.6,77.4,-0.1,Stable,2.02,6.329147980189633e-16,334.7,Up,Stable_Up,Other,Stable
SC_RS13210,SCO2236,Txe/YoeB family addiction module toxin,4mC,1,1,77.6,77.4,-0.1,Stable,2.17,3.531409439310429e-21,211.4,Up,Stable_Up,Other,Stable
SC_RS13295,SCO2254,MFS transporter,4mC,0,1,0.0,56.4,56.4,Gained,-1.41,2.2631111600838182e-13,393.0,Down,Gained_Down,Negative,Gained
SC_RS13305,SCO2256,3-methyl-2-oxobutanoate hydroxymethyltransferase,4mC,1,1,68.5,57.5,-11.1,Decreased,-1.84,6.74763057617099e-18,312.7,Down,Decreased_Down,Positive,Decreased
SC_RS13340,SCO2263,hypothetical protein,4mC,1,1,100.0,98.8,-1.2,Stable,2.65,8.576072455833054e-15,73.9,Up,Stable_Up,Other,Stable
SC_RS13345,SCO2264,MFS transporter,6mA,1,1,68.8,64.5,-4.2,Stable,-1.31,0.0001100239712371,62.5,Down,Stable_Down,Other,Stable
SC_RS13345,SCO2264,MFS transporter,4mC,1,1,80.7,81.7,0.9,Stable,-1.31,0.0001100239712371,62.5,Down,Stable_Down,Other,Stable
SC_RS13395,SCO2274,heme ABC transporter ATP-binding protein,6mA,0,1,0.0,58.4,58.4,Gained,4.42,1.1614449302430442e-67,416.3,Up,Gained_Up,Positive,Gained
SC_RS13410,SCO2277,iron uptake transporter permease EfeU,4mC,1,1,63.0,64.3,1.2,Stable,1.04,1.7694882467929964e-08,242.2,Up,Stable_Up,Other,Stable
SC_RS13455,SCO2286,alkaline phosphatase D family protein,4mC,0,1,0.0,71.1,71.1,Gained,8.7,9.10048449239198e-219,12983.7,Up,Gained_Up,Positive,Gained
SC_RS13490,SCOs01,,4mC,0,1,0.0,79.0,79.0,Gained,0.66,0.0074813701472359,207167.3,Mild,Gained_Mild,Other,Gained
SC_RS13610,SCO2316,prenyltransferase/squalene oxidase repeat-containing protein,6mA,0,1,0.0,51.4,51.4,Gained,-1.23,2.749268607179198e-09,288.8,Down,Gained_Down,Negative,Gained
SC_RS13645,SCO2323,CbiQ family ECF transporter T component,6mA,0,1,0.0,56.3,56.3,Gained,-1.06,2.8872982480461265e-08,175.8,Down,Gained_Down,Negative,Gained
SC_RS13650,SCO2324,ABC transporter ATP-binding protein,4mC,1,1,93.0,91.5,-1.5,Stable,-1.44,2.232130258425537e-11,238.9,Down,Stable_Down,Other,Stable
SC_RS13655,SCO2325,ECF transporter S component,4mC,1,0,75.1,0.0,-75.1,Lost,-0.87,2.747045378324848e-05,121.9,Mild,Lost_Mild,Other,Lost
SC_RS13835,SCO2360,DedA family protein,4mC,1,1,92.8,90.0,-2.8,Stable,-1.1,4.417169973916984e-05,71.9,Down,Stable_Down,Other,Stable
SC_RS13900,SCO2373,MFS transporter,4mC,1,0,61.9,0.0,-61.9,Lost,3.04,9.598404271441403e-38,3252.5,Up,Lost_Up,Negative,Lost
SC_RS13960,SCO2385,pirin family protein,4mC,0,1,0.0,69.6,69.6,Gained,0.75,0.0001829162258095,155.0,Mild,Gained_Mild,Other,Gained
SC_RS13965,SCO2386,fatty acid biosynthesis transcriptional regulator FasR,4mC,0,2,0.0,64.3,64.3,Gained,-1.35,5.209355572407984e-19,658.4,Down,Gained_Down,Negative,Gained
SC_RS14015,SCO2396,organic hydroperoxide resistance protein,4mC,1,0,56.6,0.0,-56.6,Lost,-1.15,7.538041462956722e-07,101.5,Down,Lost_Down,Positive,Lost
SC_RS14190,SCO2431,arabinosylfuranosidase ArfA,4mC,2,2,90.6,89.1,-1.5,Stable,-1.79,7.262250419990734e-07,62.2,Down,Stable_Down,Other,Stable
SC_RS14265,SCO2446,S8 family serine peptidase,6mA,1,0,53.8,0.0,-53.8,Lost,4.24,1.1375724564897578e-86,405.0,Up,Lost_Up,Negative,Lost
SC_RS14270,SCO2447,CU044_2847 family protein,6mA,1,0,53.8,0.0,-53.8,Lost,1.41,1.5508333343931677e-13,968.0,Up,Lost_Up,Negative,Lost
