mod_type,comparison,distance_bin,bin_range,n_genes,spearman_r,p_value,p_adj,significant_fdr
4mC,T3_vs_T1,early_gene_body,50 to 200,129,-0.2132882379248658,0.0152282667815181,0.3414739879850696,False
4mC,T3_vs_T1,mid_gene_body,200 to 500,227,0.0453942728170464,0.4961823164072279,0.8550533825037584,False
4mC,T3_vs_T1,distal_gene_body,500 to 1000,400,-0.0009208196363532,0.985352649692406,0.985352649692406,False
4mC,T3_vs_T2,distal_upstream,-300 to -200,82,-0.0328796643471109,0.7693337702165074,0.8649258946933719,False
4mC,T3_vs_T2,mid_upstream,-200 to -100,77,-0.0939060939060939,0.4165954733194916,0.8550533825037584,False
4mC,T3_vs_T2,proximal_upstream,-100 to -50,32,0.1052052785923753,0.5666127257139009,0.8550533825037584,False
4mC,T3_vs_T2,core_promoter,-50 to 0,16,0.3529411764705882,0.1799586578849817,0.6300660326148045,False
4mC,T3_vs_T2,TSS_proximal,0 to 50,35,0.0568627450980392,0.7455974609492884,0.8649258946933719,False
4mC,T3_vs_T2,early_gene_body,50 to 200,139,-0.1342732025559676,0.1150471346222636,0.6135847179854058,False
4mC,T3_vs_T2,mid_gene_body,200 to 500,268,0.1816505942938775,0.0028383883939431,0.13624264290926882,False
4mC,T3_vs_T2,distal_gene_body,500 to 1000,446,-0.0336320247336991,0.478652029147838,0.8550533825037584,False
