gene_id	old_locus_tag	gene_name	product	regulator_name	regulator_type	known_name	is_known	corr_act	corr_red	corr_cda	corr_cpk	abs_corr_act	abs_corr_red	abs_corr_cda	abs_corr_cpk	n_high_corr	mean_abs_corr
SC_RS13425	SCO2280	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.4507581895578583	-0.8839436164066091	-0.954336450206839	-0.9197438479338614	0.4507581895578583	0.8839436164066091	0.954336450206839	0.9197438479338614	2	0.802195526026292
SC_RS13430	SCO2281	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.7711906376708705	-0.9512375280705153	-0.8704757555427785	-0.7182207787894278	0.7711906376708705	0.9512375280705153	0.8704757555427785	0.7182207787894278	1	0.827781175018398
SC_RS13500	SCO2294	NA	AraC family transcriptional regulator	NA	NA	NA	FALSE	0.812327114960444	0.8181490682513929	0.6750708004656294	0.4805218774664613	0.812327114960444	0.8181490682513929	0.6750708004656294	0.4805218774664613	0	0.6965172152859819
SC_RS13505	SCO2295	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	0.0069383662388089705	0.4442789911090019	0.6116696280931646	0.6411907930007409	0.0069383662388089705	0.4442789911090019	0.6116696280931646	0.6411907930007409	0	0.42601944461042907
SC_RS13565	SCO2307	NA	sensor histidine kinase	NA	NA	NA	FALSE	0.7968631041632326	0.7912742947965288	0.636922162042388	0.42925416360316315	0.7968631041632326	0.7912742947965288	0.636922162042388	0.42925416360316315	0	0.6635784311513282
SC_RS13570	SCO2308	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.19638122215924322	-0.437901807601326	-0.49209911617960267	-0.4793749818753811	0.19638122215924322	0.437901807601326	0.49209911617960267	0.4793749818753811	0	0.4014392819538882
SC_RS13625	SCO2319	NA	TetR family transcriptional regulator	NA	NA	NA	FALSE	-0.47006419285629825	-0.8902416092388108	-0.9697673170498572	-0.916233765901557	0.47006419285629825	0.8902416092388108	0.9697673170498572	0.916233765901557	2	0.8115767212616308
SC_RS13675	SCO2329	NA	GlxA family transcriptional regulator	NA	NA	NA	FALSE	-0.5002884253220826	-0.8990897514994745	-0.9350380037080471	-0.9077963885761686	0.5002884253220826	0.8990897514994745	0.9350380037080471	0.9077963885761686	2	0.8105531422764432
SC_RS13685	SCO2331	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	-0.6929813868164179	-0.6930002584715264	-0.5431221251065024	-0.3651046926037705	0.6929813868164179	0.6930002584715264	0.5431221251065024	0.3651046926037705	0	0.5735521157495542
SC_RS13825	SCO2358	NA	response regulator transcription factor	NA	NA	NA	FALSE	-0.7910028643981887	-0.3712080386690104	-0.0652463131412318	0.2000293494505216	0.7910028643981887	0.3712080386690104	0.0652463131412318	0.2000293494505216	0	0.35687164141473815
SC_RS13830	SCO2359	NA	sensor histidine kinase	NA	NA	NA	FALSE	-0.7835203247326747	-0.4389584713609378	-0.17830659873029508	0.07741502894225656	0.7835203247326747	0.4389584713609378	0.17830659873029508	0.07741502894225656	0	0.3695501059415411
SC_RS13905	SCO2374	NA	TetR family transcriptional regulator	NA	NA	NA	FALSE	-0.9276780791277468	-0.6844857255787766	-0.4146471063276589	-0.15710617294886262	0.9276780791277468	0.6844857255787766	0.4146471063276589	0.15710617294886262	1	0.5459792709957613
SC_RS13925	SCO2378	NA	MerR family transcriptional regulator	NA	NA	NA	FALSE	-0.5658420247149836	0.06352717037941236	0.4049160035132821	0.6355692563421764	0.5658420247149836	0.06352717037941236	0.4049160035132821	0.6355692563421764	0	0.4174636137374636
SC_RS13965	SCO2386	fasR	fatty acid biosynthesis transcriptional regulator FasR	NA	NA	NA	FALSE	-0.6676962244283453	-0.891955860242906	-0.8621806296381207	-0.7242646631994877	0.6676962244283453	0.891955860242906	0.8621806296381207	0.7242646631994877	0	0.7865243443772149
SC_RS14025	SCO2398	NA	MarR family winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.13320954581786223	0.3806899113505205	0.37876408799440503	0.4168615295215701	0.13320954581786223	0.3806899113505205	0.37876408799440503	0.4168615295215701	0	0.32738126867108946
SC_RS14235	SCO2440	NA	IclR family transcriptional regulator	NA	NA	NA	FALSE	-0.6853534540858212	-0.866609960567538	-0.8290509877632269	-0.6843739146762581	0.6853534540858212	0.866609960567538	0.8290509877632269	0.6843739146762581	0	0.7663470792732111
SC_RS14245	SCO2442	NA	FadR/GntR family transcriptional regulator	NA	NA	NA	FALSE	-0.8877814540079189	-0.8903147203542574	-0.7249958949819557	-0.5171926197005356	0.8877814540079189	0.8903147203542574	0.7249958949819557	0.5171926197005356	0	0.7550711722611669
SC_RS14295	SCO2452	NA	GAF domain-containing sensor histidine kinase	NA	NA	NA	FALSE	0.7976633287494842	0.6004781599889866	0.3836216806653991	0.1395017553544428	0.7976633287494842	0.6004781599889866	0.3836216806653991	0.1395017553544428	0	0.4803162311895782
SC_RS14375	SCO2465	NA	RNA polymerase sigma factor	NA	NA	NA	FALSE	-0.6878616619703226	-0.9432190280072551	-0.9027185141658196	-0.7936578302959332	0.6878616619703226	0.9432190280072551	0.9027185141658196	0.7936578302959332	2	0.8318642586098326
SC_RS14425	SCO2475	NA	LysR family transcriptional regulator	NA	NA	NA	FALSE	-0.6630600990963554	-0.6177049216988266	-0.5031738411131516	-0.2991027973816502	0.6630600990963554	0.6177049216988266	0.5031738411131516	0.2991027973816502	0	0.5207604148224959
SC_RS14455	SCO2481	NA	winged helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	0.12979266058738	0.7174153191178655	0.9136802763890686	0.9721035350861219	0.12979266058738	0.7174153191178655	0.9136802763890686	0.9721035350861219	2	0.683247947795109
SC_RS14495	SCO2489	NA	TetR/AcrR family transcriptional regulator	NA	NA	NA	FALSE	-0.46229423848087853	-0.06436928458721902	0.1254353815298209	0.33827930888485536	0.46229423848087853	0.06436928458721902	0.1254353815298209	0.33827930888485536	0	0.24759455337069347
SC_RS14555	SCO2501	NA	helix-turn-helix transcriptional regulator	NA	NA	NA	FALSE	-0.20548699726465194	0.4182654158906828	0.691443064483708	0.8552691388026971	0.20548699726465194	0.4182654158906828	0.691443064483708	0.8552691388026971	0	0.542616154110435
