bgc_name	gene_id	old_locus_tag	gene_name	product	known_name	is_known	corr	sign	corr_rank
cda	SC_RS13625	SCO2319	NA	TetR family transcriptional regulator	NA	FALSE	-0.9697673170498572	-	27
cda	SC_RS25560	SCO4677	NA	ATP-binding protein	atrA	TRUE	0.9689544235226407	+	28
cda	SC_RS30130	SCO5582	nsdA	transcriptional repressor NsdA	NA	FALSE	0.968780744615963	+	29
cda	SC_RS33680	SCO6286	NA	ScbR family autoregulator-binding transcription factor	scbR2	TRUE	0.9685796415115964	+	30
cpk	SC_RS22290	SCO4034	NA	RNA polymerase sigma factor SigF	NA	FALSE	0.9927938976930025	+	1
cpk	SC_RS26490	SCO4866	NA	RNA polymerase sigma factor	NA	FALSE	-0.9899334318925762	-	2
cpk	SC_RS33580	SCO6266	scbA	gamma-butyrolactone biosynthesis protein ScbA	NA	FALSE	0.9850512330859001	+	3
cpk	SC_RS24215	SCO4409	NA	sigma-70 family RNA polymerase sigma factor	NA	FALSE	0.9846394499175856	+	4
cpk	SC_RS24095	SCO4385	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	-0.9788702637860647	-	5
cpk	SC_RS15360	SCO2657	NA	ROK family transcriptional regulator	NA	FALSE	-0.978458131499462	-	6
cpk	SC_RS04965	SCO0608	slbR	gamma-butyrolactone-binding regulator SlbR	NA	FALSE	0.9779784270037829	+	7
cpk	SC_RS26760	SCO4920	NA	DeoR/GlpR family DNA-binding transcription regulator	NA	FALSE	0.9777295622933987	+	8
cpk	SC_RS23535	SCO4270	NA	TetR family transcriptional regulator	NA	FALSE	-0.9764903569534755	-	9
cpk	SC_RS25320	SCO4632	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	NA	FALSE	0.9761614793267077	+	10
cpk	SC_RS04975	SCO0610	NA	GntR family transcriptional regulator	NA	FALSE	-0.9760043499996873	-	11
cpk	SC_RS27660	SCO5100	NA	GntR family transcriptional regulator	NA	FALSE	0.9757569280600242	+	12
cpk	SC_RS08845	SCO1376	NA	LacI family DNA-binding transcriptional regulator	NA	FALSE	0.9737359245812688	+	13
cpk	SC_RS02325	SCO0062	NA	LacI family DNA-binding transcriptional regulator	NA	FALSE	-0.9737339958434538	-	14
cpk	SC_RS26005	SCO4769	NA	sigma-70 family RNA polymerase sigma factor	NA	FALSE	0.9727320573980469	+	15
cpk	SC_RS31295	SCO5811	NA	TetR/AcrR family transcriptional regulator	NA	FALSE	0.9726608894057758	+	16
cpk	SC_RS14455	SCO2481	NA	winged helix-turn-helix transcriptional regulator	NA	FALSE	0.9721035350861219	+	17
cpk	SC_RS33570	SCO6264	scbB	A-factor type gamma-butyrolactone 6-reductase ScbB	NA	FALSE	0.9720492208318348	+	18
