angle	subset	pair	motif	window	metric	n	rho	p	sig	sign	n_pos	n_neg	mean_diff
1_window_size	all	T2vsT1	AAGCCCG_6mA	200	dcount~LFC	57			False				
1_window_size	all	T2vsT1	AAGCCCG_6mA	293	dcount~LFC	57			False				
1_window_size	all	T2vsT1	AAGCCCG_6mA	500	dcount~LFC	57			False				
1_window_size	all	T2vsT1	AAGCCCG_6mA	1000	dcount~LFC	57			False				
1_window_size	all	T2vsT1	AAGCCCG_6mA	2000	dcount~LFC	57	0.1081642611455492	0.4231987977573246	False	1			
1_window_size	all	T3vsT1	all	100	dcount~LFC	57	0.1830731924527234	0.17285012874375613	False	1			
1_window_size	all	T3vsT1	all	200	dcount~LFC	57	0.21941941548068716	0.10101926738380414	False	1			
1_window_size	all	T3vsT1	all	293	dcount~LFC	57	0.1607267341549158	0.23233711220923425	False	1			
1_window_size	all	T3vsT1	all	500	dcount~LFC	57	0.22090695852824582	0.09867074720218989	False	1			
1_window_size	all	T3vsT1	all	1000	dcount~LFC	57	0.25355889813084326	0.05702141659820925	False	1			
1_window_size	all	T3vsT1	all	2000	dcount~LFC	57	0.27034223529895474	0.04196536793424921	True	1			
1_window_size	all	T3vsT1	all_4mC	100	dcount~LFC	57	0.2746316688383162	0.038694216897532004	True	1			
1_window_size	all	T3vsT1	all_4mC	200	dcount~LFC	57	0.3369871669961044	0.010368670239716335	True	1			
1_window_size	all	T3vsT1	all_4mC	293	dcount~LFC	57	0.19501513020098604	0.14602628813114935	False	1			
1_window_size	all	T3vsT1	all_4mC	500	dcount~LFC	57	0.23191718256218147	0.0825817005528875	False	1			
1_window_size	all	T3vsT1	all_4mC	1000	dcount~LFC	57	0.28369316021949637	0.03247333084993933	True	1			
1_window_size	all	T3vsT1	all_4mC	2000	dcount~LFC	57	0.2904518806845468	0.02839610546092119	True	1			
1_window_size	all	T3vsT1	GCCGGC_4mC	100	dcount~LFC	57			False				
1_window_size	all	T3vsT1	GCCGGC_4mC	200	dcount~LFC	57	0.06497983230676314	0.6310665012415627	False	1			
1_window_size	all	T3vsT1	GCCGGC_4mC	293	dcount~LFC	57	-0.05184416072306122	0.7017190695908743	False	-1			
1_window_size	all	T3vsT1	GCCGGC_4mC	500	dcount~LFC	57	0.03726156247598597	0.7831766629756196	False	1			
1_window_size	all	T3vsT1	GCCGGC_4mC	1000	dcount~LFC	57	0.18501781511738677	0.16825396416266267	False	1			
1_window_size	all	T3vsT1	GCCGGC_4mC	2000	dcount~LFC	57	0.15656474452985766	0.2448134571444697	False	1			
1_window_size	all	T3vsT1	all_6mA	100	dcount~LFC	57	0.07290058347177972	0.5899478181874028	False	1			
1_window_size	all	T3vsT1	all_6mA	200	dcount~LFC	57	0.06795292409138765	0.6154927518399109	False	1			
1_window_size	all	T3vsT1	all_6mA	293	dcount~LFC	57	0.0754883046065335	0.5767794661768211	False	1			
1_window_size	all	T3vsT1	all_6mA	500	dcount~LFC	57	0.1020260644665999	0.4501358866565569	False	1			
1_window_size	all	T3vsT1	all_6mA	1000	dcount~LFC	57	0.10978563327389308	0.4162399409788893	False	1			
1_window_size	all	T3vsT1	all_6mA	2000	dcount~LFC	57	0.09632612533648167	0.4759729015936108	False	1			
1_window_size	all	T3vsT1	AAGCCCG_6mA	100	dcount~LFC	57			False				
1_window_size	all	T3vsT1	AAGCCCG_6mA	200	dcount~LFC	57	0.1218371855751809	0.36661005277646946	False	1			
1_window_size	all	T3vsT1	AAGCCCG_6mA	293	dcount~LFC	57	0.1218371855751809	0.36661005277646946	False	1			
1_window_size	all	T3vsT1	AAGCCCG_6mA	500	dcount~LFC	57	0.1218371855751809	0.36661005277646946	False	1			
1_window_size	all	T3vsT1	AAGCCCG_6mA	1000	dcount~LFC	57	0.1218371855751809	0.36661005277646946	False	1			
1_window_size	all	T3vsT1	AAGCCCG_6mA	2000	dcount~LFC	57	-0.08596023825918792	0.5249158966106783	False	-1			
1_window_size	all	T3vsT2	all	100	dcount~LFC	57	0.10147908109475469	0.4525812472162654	False	1			
1_window_size	all	T3vsT2	all	200	dcount~LFC	57	0.04202173895282678	0.7562829584545638	False	1			
1_window_size	all	T3vsT2	all	293	dcount~LFC	57	-0.024985029174176863	0.8536349639209043	False	-1			
1_window_size	all	T3vsT2	all	500	dcount~LFC	57	-0.03963395695607701	0.7697396075680295	False	-1			
1_window_size	all	T3vsT2	all	1000	dcount~LFC	57	-0.01444591127097926	0.9150638907156295	False	-1			
1_window_size	all	T3vsT2	all	2000	dcount~LFC	57	-0.04737801815379885	0.7263625583745289	False	-1			
1_window_size	all	T3vsT2	all_4mC	100	dcount~LFC	57	0.0	1.0	False	0			
1_window_size	all	T3vsT2	all_4mC	200	dcount~LFC	57	-0.05231373504786204	0.6991451508540015	False	-1			
1_window_size	all	T3vsT2	all_4mC	293	dcount~LFC	57	-0.14177001877996817	0.2928216594221381	False	-1			
1_window_size	all	T3vsT2	all_4mC	500	dcount~LFC	57	-0.14177001877996817	0.2928216594221381	False	-1			
1_window_size	all	T3vsT2	all_4mC	1000	dcount~LFC	57	-0.041649116367647926	0.7583783062125002	False	-1			
1_window_size	all	T3vsT2	all_4mC	2000	dcount~LFC	57	-0.013085392638206999	0.9230377604825032	False	-1			
1_window_size	all	T3vsT2	GCCGGC_4mC	100	dcount~LFC	57	0.17386314243495604	0.1958611583116005	False	1			
1_window_size	all	T3vsT2	GCCGGC_4mC	200	dcount~LFC	57	-0.0037696058153381838	0.9777981646645508	False	-1			
1_window_size	all	T3vsT2	GCCGGC_4mC	293	dcount~LFC	57	-0.12671067299818814	0.34760566979011853	False	-1			
1_window_size	all	T3vsT2	GCCGGC_4mC	500	dcount~LFC	57	-0.12671067299818814	0.34760566979011853	False	-1			
1_window_size	all	T3vsT2	GCCGGC_4mC	1000	dcount~LFC	57	-0.013510684691363923	0.9205443190422886	False	-1			
1_window_size	all	T3vsT2	GCCGGC_4mC	2000	dcount~LFC	57	-0.012781655092763201	0.9248189926612531	False	-1			
1_window_size	all	T3vsT2	all_6mA	100	dcount~LFC	57	0.1401294237104807	0.2984997696159654	False	1			
1_window_size	all	T3vsT2	all_6mA	200	dcount~LFC	57	0.07117432262195558	0.5988065699854939	False	1			
1_window_size	all	T3vsT2	all_6mA	293	dcount~LFC	57	0.06538920418784107	0.6289124303532015	False	1			
1_window_size	all	T3vsT2	all_6mA	500	dcount~LFC	57	0.05045440548597178	0.7093562808668613	False	1			
1_window_size	all	T3vsT2	all_6mA	1000	dcount~LFC	57	0.010298004558790479	0.9393970400472204	False	1			
1_window_size	all	T3vsT2	all_6mA	2000	dcount~LFC	57	0.0017175114640243508	0.9898833720787693	False	1			
1_window_size	all	T3vsT2	AAGCCCG_6mA	100	dcount~LFC	57			False				
1_window_size	all	T3vsT2	AAGCCCG_6mA	200	dcount~LFC	57	-0.06497983230676314	0.6310665012415627	False	-1			
1_window_size	all	T3vsT2	AAGCCCG_6mA	293	dcount~LFC	57	-0.06497983230676314	0.6310665012415627	False	-1			
1_window_size	all	T3vsT2	AAGCCCG_6mA	500	dcount~LFC	57	-0.06497983230676314	0.6310665012415627	False	-1			
1_window_size	all	T3vsT2	AAGCCCG_6mA	1000	dcount~LFC	57	-0.06497983230676314	0.6310665012415627	False	-1			
1_window_size	all	T3vsT2	AAGCCCG_6mA	2000	dcount~LFC	57	-0.08091987957881311	0.5495868425675943	False	-1			
2_time_pair	all	T2vsT1	all	500	dcount~LFC	57	0.20729076145160577	0.12181565693021566	False	1			
2_time_pair	all	T2vsT1	all_4mC	500	dcount~LFC	57	0.1471507830555806	0.27469668643674827	False	1			
2_time_pair	all	T2vsT1	GCCGGC_4mC	500	dcount~LFC	57	0.13591565498376204	0.3134090772652459	False	1			
2_time_pair	all	T2vsT1	all_6mA	500	dcount~LFC	57	0.09376769683996469	0.4878217272942886	False	1			
2_time_pair	all	T2vsT1	AAGCCCG_6mA	500	dcount~LFC	57			False				
2_time_pair	all	T3vsT1	all	500	dcount~LFC	57	0.22090695852824582	0.09867074720218989	False	1			
2_time_pair	all	T3vsT1	all_4mC	500	dcount~LFC	57	0.23191718256218147	0.0825817005528875	False	1			
2_time_pair	all	T3vsT1	GCCGGC_4mC	500	dcount~LFC	57	0.03726156247598597	0.7831766629756196	False	1			
2_time_pair	all	T3vsT1	all_6mA	500	dcount~LFC	57	0.1020260644665999	0.4501358866565569	False	1			
2_time_pair	all	T3vsT1	AAGCCCG_6mA	500	dcount~LFC	57	0.1218371855751809	0.36661005277646946	False	1			
2_time_pair	all	T3vsT2	all	500	dcount~LFC	57	-0.03963395695607701	0.7697396075680295	False	-1			
2_time_pair	all	T3vsT2	all_4mC	500	dcount~LFC	57	-0.14177001877996817	0.2928216594221381	False	-1			
2_time_pair	all	T3vsT2	GCCGGC_4mC	500	dcount~LFC	57	-0.12671067299818814	0.34760566979011853	False	-1			
2_time_pair	all	T3vsT2	all_6mA	500	dcount~LFC	57	0.05045440548597178	0.7093562808668613	False	1			
2_time_pair	all	T3vsT2	AAGCCCG_6mA	500	dcount~LFC	57	-0.06497983230676314	0.6310665012415627	False	-1			
3a_absT1_count	all	T2vsT1	all	100	count_T1~LFC	57	-0.10101938764621263	0.45464199730460897	False	-1			
3a_absT1_count	all	T2vsT1	all	200	count_T1~LFC	57	-0.3011890954976648	0.02280421951466576	True	-1			
3a_absT1_count	all	T2vsT1	all	293	count_T1~LFC	57	-0.3862204234443445	0.0030035598149127734	True	-1			
3a_absT1_count	all	T2vsT1	all	500	count_T1~LFC	57	-0.3403279331353532	0.009588656166768954	True	-1			
3a_absT1_count	all	T2vsT1	all	1000	count_T1~LFC	57	-0.2239168373451843	0.09404862185318374	False	-1			
3a_absT1_count	all	T2vsT1	all	2000	count_T1~LFC	57	-0.10687285882790253	0.42878850192160456	False	-1			
3a_absT1_count	all	T2vsT1	all_4mC	100	count_T1~LFC	57	-0.1623693389340216	0.22753603627685798	False	-1			
3a_absT1_count	all	T2vsT1	all_4mC	200	count_T1~LFC	57	-0.36728651161754194	0.0049468363308148595	True	-1			
3a_absT1_count	all	T2vsT1	all_4mC	293	count_T1~LFC	57	-0.4024657826629279	0.0019116454353515788	True	-1			
3a_absT1_count	all	T2vsT1	all_4mC	500	count_T1~LFC	57	-0.3027666719995446	0.022066862813582482	True	-1			
3a_absT1_count	all	T2vsT1	all_4mC	1000	count_T1~LFC	57	-0.24612162842853813	0.0649631520272114	False	-1			
3a_absT1_count	all	T2vsT1	all_4mC	2000	count_T1~LFC	57	-0.18702176443389412	0.16361158393516362	False	-1			
3a_absT1_count	all	T2vsT1	GCCGGC_4mC	100	count_T1~LFC	57	0.016244958076690786	0.9045327260213188	False	1			
3a_absT1_count	all	T2vsT1	GCCGGC_4mC	200	count_T1~LFC	57	-0.1419363390482191	0.29224998731143315	False	-1			
3a_absT1_count	all	T2vsT1	GCCGGC_4mC	293	count_T1~LFC	57	-0.16678736091571397	0.21496543632961776	False	-1			
3a_absT1_count	all	T2vsT1	GCCGGC_4mC	500	count_T1~LFC	57	-0.03991011062033725	0.7681797714082509	False	-1			
3a_absT1_count	all	T2vsT1	GCCGGC_4mC	1000	count_T1~LFC	57	-0.12199045066759877	0.36600296476905964	False	-1			
3a_absT1_count	all	T2vsT1	GCCGGC_4mC	2000	count_T1~LFC	57	-0.09416307615918006	0.4859805605056526	False	-1			
3a_absT1_count	all	T2vsT1	all_6mA	100	count_T1~LFC	57	-0.09824027229621478	0.46720929917457993	False	-1			
3a_absT1_count	all	T2vsT1	all_6mA	200	count_T1~LFC	57	-0.1387306413812729	0.3033970456077565	False	-1			
3a_absT1_count	all	T2vsT1	all_6mA	293	count_T1~LFC	57	-0.19341053608317285	0.14943837701731236	False	-1			
3a_absT1_count	all	T2vsT1	all_6mA	500	count_T1~LFC	57	-0.20095729801169485	0.13389457106607516	False	-1			
3a_absT1_count	all	T2vsT1	all_6mA	1000	count_T1~LFC	57	-0.120198057345665	0.3731408147959277	False	-1			
3a_absT1_count	all	T2vsT1	all_6mA	2000	count_T1~LFC	57	0.021935718637016918	0.8713362315057039	False	1			
3a_absT1_count	all	T2vsT1	AAGCCCG_6mA	100	count_T1~LFC	57			False				
3a_absT1_count	all	T2vsT1	AAGCCCG_6mA	200	count_T1~LFC	57	-0.17057205980525328	0.20459066101728346	False	-1			
3a_absT1_count	all	T2vsT1	AAGCCCG_6mA	293	count_T1~LFC	57	-0.11011332354213883	0.4148415309769484	False	-1			
3a_absT1_count	all	T2vsT1	AAGCCCG_6mA	500	count_T1~LFC	57	-0.11011332354213883	0.4148415309769484	False	-1			
3a_absT1_count	all	T2vsT1	AAGCCCG_6mA	1000	count_T1~LFC	57	-0.11011332354213883	0.4148415309769484	False	-1			
3a_absT1_count	all	T2vsT1	AAGCCCG_6mA	2000	count_T1~LFC	57	0.07931734704330981	0.5575454961244406	False	1			
3a_absT1_count	all	T3vsT1	all	100	count_T1~LFC	57	-0.07195200558793056	0.5948084273521591	False	-1			
3a_absT1_count	all	T3vsT1	all	200	count_T1~LFC	57	-0.25565736789261967	0.0549286565034032	False	-1			
3a_absT1_count	all	T3vsT1	all	293	count_T1~LFC	57	-0.29472563399064144	0.026046277862045157	True	-1			
3a_absT1_count	all	T3vsT1	all	500	count_T1~LFC	57	-0.2681106397740866	0.04375518908129585	True	-1			
3a_absT1_count	all	T3vsT1	all	1000	count_T1~LFC	57	-0.18282013628121635	0.17345488040711074	False	-1			
3a_absT1_count	all	T3vsT1	all	2000	count_T1~LFC	57	-0.12872418684104245	0.3399351485758577	False	-1			
3a_absT1_count	all	T3vsT1	all_4mC	100	count_T1~LFC	57	-0.06208239429830239	0.6463988726244572	False	-1			
3a_absT1_count	all	T3vsT1	all_4mC	200	count_T1~LFC	57	-0.2943899520598619	0.02622473021737899	True	-1			
3a_absT1_count	all	T3vsT1	all_4mC	293	count_T1~LFC	57	-0.28753263559538755	0.030101219598245438	True	-1			
3a_absT1_count	all	T3vsT1	all_4mC	500	count_T1~LFC	57	-0.22015552841837083	0.09985174395811937	False	-1			
3a_absT1_count	all	T3vsT1	all_4mC	1000	count_T1~LFC	57	-0.22395575148653732	0.09398998861921568	False	-1			
3a_absT1_count	all	T3vsT1	all_4mC	2000	count_T1~LFC	57	-0.22249140941273612	0.09621608199029552	False	-1			
3a_absT1_count	all	T3vsT1	GCCGGC_4mC	100	count_T1~LFC	57	0.17057205980525328	0.20459066101728346	False	1			
3a_absT1_count	all	T3vsT1	GCCGGC_4mC	200	count_T1~LFC	57	-0.025047589243803372	0.8532725206643611	False	-1			
3a_absT1_count	all	T3vsT1	GCCGGC_4mC	293	count_T1~LFC	57	0.024323156800208287	0.8574713635354904	False	1			
3a_absT1_count	all	T3vsT1	GCCGGC_4mC	500	count_T1~LFC	57	0.09210025527770135	0.49562661197295355	False	1			
3a_absT1_count	all	T3vsT1	GCCGGC_4mC	1000	count_T1~LFC	57	-0.09657577344518237	0.4748249841461522	False	-1			
3a_absT1_count	all	T3vsT1	GCCGGC_4mC	2000	count_T1~LFC	57	-0.11775976151498407	0.38298431957393986	False	-1			
3a_absT1_count	all	T3vsT1	all_6mA	100	count_T1~LFC	57	-0.12587034887952517	0.35083830959134116	False	-1			
3a_absT1_count	all	T3vsT1	all_6mA	200	count_T1~LFC	57	-0.1511173057903151	0.2618229803826892	False	-1			
3a_absT1_count	all	T3vsT1	all_6mA	293	count_T1~LFC	57	-0.14613240504061947	0.27806858415057173	False	-1			
3a_absT1_count	all	T3vsT1	all_6mA	500	count_T1~LFC	57	-0.1613905761233819	0.23038845745456454	False	-1			
3a_absT1_count	all	T3vsT1	all_6mA	1000	count_T1~LFC	57	-0.06632121799949603	0.6240197373468791	False	-1			
3a_absT1_count	all	T3vsT1	all_6mA	2000	count_T1~LFC	57	0.057667486731277175	0.6700428455047511	False	1			
3a_absT1_count	all	T3vsT1	AAGCCCG_6mA	100	count_T1~LFC	57			False				
3a_absT1_count	all	T3vsT1	AAGCCCG_6mA	200	count_T1~LFC	57	-0.1218371855751809	0.36661005277646946	False	-1			
3a_absT1_count	all	T3vsT1	AAGCCCG_6mA	293	count_T1~LFC	57	0.03477262848699121	0.7973416441577286	False	1			
3a_absT1_count	all	T3vsT1	AAGCCCG_6mA	500	count_T1~LFC	57	0.03477262848699121	0.7973416441577286	False	1			
3a_absT1_count	all	T3vsT1	AAGCCCG_6mA	1000	count_T1~LFC	57	0.03477262848699121	0.7973416441577286	False	1			
3a_absT1_count	all	T3vsT1	AAGCCCG_6mA	2000	count_T1~LFC	57	0.2750199470345918	0.038408812675292225	True	1			
3a_absT1_count	all	T3vsT2	all	100	count_T1~LFC	57	0.09800006450987699	0.46830425322188685	False	1			
3a_absT1_count	all	T3vsT2	all	200	count_T1~LFC	57	0.07391664684992054	0.5847612404346898	False	1			
3a_absT1_count	all	T3vsT2	all	293	count_T1~LFC	57	0.07385038215625488	0.5850988646499107	False	1			
3a_absT1_count	all	T3vsT2	all	500	count_T1~LFC	57	0.07652302631494365	0.571551981819993	False	1			
3a_absT1_count	all	T3vsT2	all	1000	count_T1~LFC	57	0.059426861454842335	0.660580778405109	False	1			
3a_absT1_count	all	T3vsT2	all	2000	count_T1~LFC	57	0.030922939945867704	0.8193777657890551	False	1			
3a_absT1_count	all	T3vsT2	all_4mC	100	count_T1~LFC	57	0.1432670637653132	0.2877023157202797	False	1			
3a_absT1_count	all	T3vsT2	all_4mC	200	count_T1~LFC	57	-0.01401856914570771	0.9175676441630596	False	-1			
3a_absT1_count	all	T3vsT2	all_4mC	293	count_T1~LFC	57	-0.0163365771034588	0.9039968326331421	False	-1			
3a_absT1_count	all	T3vsT2	all_4mC	500	count_T1~LFC	57	-0.01669125407394558	0.9019226770337487	False	-1			
3a_absT1_count	all	T3vsT2	all_4mC	1000	count_T1~LFC	57	-0.07603010640209626	0.5740395131583396	False	-1			
3a_absT1_count	all	T3vsT2	all_4mC	2000	count_T1~LFC	57	-0.0889194558412274	0.5106930040410758	False	-1			
3a_absT1_count	all	T3vsT2	GCCGGC_4mC	100	count_T1~LFC	57	0.20306197595863484	0.12978462067894375	False	1			
3a_absT1_count	all	T3vsT2	GCCGGC_4mC	200	count_T1~LFC	57	0.07096816952410955	0.5998684063606247	False	1			
3a_absT1_count	all	T3vsT2	GCCGGC_4mC	293	count_T1~LFC	57	0.11119157394380931	0.410259231148085	False	1			
3a_absT1_count	all	T3vsT2	GCCGGC_4mC	500	count_T1~LFC	57	0.09517026378695806	0.48130694460142726	False	1			
3a_absT1_count	all	T3vsT2	GCCGGC_4mC	1000	count_T1~LFC	57	-0.043204951278107896	0.749641077131179	False	-1			
3a_absT1_count	all	T3vsT2	GCCGGC_4mC	2000	count_T1~LFC	57	-0.04864719492784242	0.7193300969413436	False	-1			
3a_absT1_count	all	T3vsT2	all_6mA	100	count_T1~LFC	57	0.027630076583310403	0.8383379529736794	False	1			
3a_absT1_count	all	T3vsT2	all_6mA	200	count_T1~LFC	57	0.09413864950872089	0.4860942022899286	False	1			
3a_absT1_count	all	T3vsT2	all_6mA	293	count_T1~LFC	57	0.135387375258221	0.3153112997590949	False	1			
3a_absT1_count	all	T3vsT2	all_6mA	500	count_T1~LFC	57	0.12487316926781482	0.35469831255940815	False	1			
3a_absT1_count	all	T3vsT2	all_6mA	1000	count_T1~LFC	57	0.17041478532320833	0.20501460573996602	False	1			
3a_absT1_count	all	T3vsT2	all_6mA	2000	count_T1~LFC	57	0.19759391835136778	0.14066459860473682	False	1			
3a_absT1_count	all	T3vsT2	AAGCCCG_6mA	100	count_T1~LFC	57			False				
3a_absT1_count	all	T3vsT2	AAGCCCG_6mA	200	count_T1~LFC	57	0.06497983230676314	0.6310665012415627	False	1			
3a_absT1_count	all	T3vsT2	AAGCCCG_6mA	293	count_T1~LFC	57	0.19124945667845167	0.154126822415971	False	1			
3a_absT1_count	all	T3vsT2	AAGCCCG_6mA	500	count_T1~LFC	57	0.19124945667845167	0.154126822415971	False	1			
3a_absT1_count	all	T3vsT2	AAGCCCG_6mA	1000	count_T1~LFC	57	0.19124945667845167	0.154126822415971	False	1			
3a_absT1_count	all	T3vsT2	AAGCCCG_6mA	2000	count_T1~LFC	57	0.34915575884391653	0.007767444400933288	True	1			
3b_T1binary_MW	all	T2vsT1	all	100	MW(LFC|methT1=1 vs 0)	57	0.13888888888888884	0.5185449401548257	False	1	9.0	48.0	-0.9389779570397415
3b_T1binary_MW	all	T2vsT1	all	200	MW(LFC|methT1=1 vs 0)	57	0.3324324324324325	0.04052909349533917	True	1	20.0	37.0	-1.5515877928041697
3b_T1binary_MW	all	T2vsT1	all	293	MW(LFC|methT1=1 vs 0)	57	0.4094292803970223	0.008399541959370737	True	1	31.0	26.0	-1.5341942781623836
3b_T1binary_MW	all	T2vsT1	all	500	MW(LFC|methT1=1 vs 0)	57	0.351010101010101	0.025186214572062077	True	1	33.0	24.0	-1.4305354885208839
3b_T1binary_MW	all	T2vsT1	all	1000	MW(LFC|methT1=1 vs 0)	57	0.22792022792022792	0.17230980817589858	False	1	39.0	18.0	-1.095944279432451
3b_T1binary_MW	all	T2vsT1	all	2000	MW(LFC|methT1=1 vs 0)	57	0.18881118881118886	0.30891788699363654	False	1	44.0	13.0	-1.2720698098128311
3b_T1binary_MW	all	T2vsT1	all_4mC	100	MW(LFC|methT1=1 vs 0)	57	0.41975308641975306	0.24415584415584415	False	1	3.0	54.0	-1.7714140822250446
3b_T1binary_MW	all	T2vsT1	all_4mC	200	MW(LFC|methT1=1 vs 0)	57	0.5574468085106383	0.006180842948166779	True	1	10.0	47.0	-2.1970070463485762
3b_T1binary_MW	all	T2vsT1	all_4mC	293	MW(LFC|methT1=1 vs 0)	57	0.5664335664335665	0.0021298304162995704	True	1	13.0	44.0	-2.2352587332411673
3b_T1binary_MW	all	T2vsT1	all_4mC	500	MW(LFC|methT1=1 vs 0)	57	0.4031746031746032	0.02188060100406918	True	1	15.0	42.0	-1.7975865369043071
3b_T1binary_MW	all	T2vsT1	all_4mC	1000	MW(LFC|methT1=1 vs 0)	57	0.283068783068783	0.07809710876393008	False	1	21.0	36.0	-1.5004676703202517
3b_T1binary_MW	all	T2vsT1	all_4mC	2000	MW(LFC|methT1=1 vs 0)	57	0.14778325123152714	0.3422323226927535	False	1	28.0	29.0	-0.8284311615729498
3b_T1binary_MW	all	T2vsT1	GCCGGC_4mC	100	MW(LFC|methT1=1 vs 0)	57			False		1.0	56.0	
3b_T1binary_MW	all	T2vsT1	GCCGGC_4mC	200	MW(LFC|methT1=1 vs 0)	57	0.3207547169811321	0.30819472924736085	False	1	4.0	53.0	-1.4876372443682595
3b_T1binary_MW	all	T2vsT1	GCCGGC_4mC	293	MW(LFC|methT1=1 vs 0)	57	0.3137254901960784	0.22295116336824386	False	1	6.0	51.0	-1.4216820520419442
3b_T1binary_MW	all	T2vsT1	GCCGGC_4mC	500	MW(LFC|methT1=1 vs 0)	57	0.06632653061224492	0.7781338712865089	False	1	8.0	49.0	-0.7371077315321444
3b_T1binary_MW	all	T2vsT1	GCCGGC_4mC	1000	MW(LFC|methT1=1 vs 0)	57	0.1678321678321678	0.36632231959898576	False	1	13.0	44.0	-1.1799496937037732
3b_T1binary_MW	all	T2vsT1	GCCGGC_4mC	2000	MW(LFC|methT1=1 vs 0)	57	0.05974025974025976	0.7122623277562528	False	1	22.0	35.0	-0.4265593097450505
3b_T1binary_MW	all	T2vsT1	all_6mA	100	MW(LFC|methT1=1 vs 0)	57	0.16326530612244894	0.4764975031415829	False	1	8.0	49.0	-0.9855794888555921
3b_T1binary_MW	all	T2vsT1	all_6mA	200	MW(LFC|methT1=1 vs 0)	57	0.18604651162790697	0.30352867637997694	False	1	14.0	43.0	-0.9910744655700424
3b_T1binary_MW	all	T2vsT1	all_6mA	293	MW(LFC|methT1=1 vs 0)	57	0.22499999999999998	0.15006240552382782	False	1	25.0	32.0	-0.8099041961270161
3b_T1binary_MW	all	T2vsT1	all_6mA	500	MW(LFC|methT1=1 vs 0)	57	0.20493827160493827	0.18732826987530704	False	1	27.0	30.0	-0.7918895001552337
3b_T1binary_MW	all	T2vsT1	all_6mA	1000	MW(LFC|methT1=1 vs 0)	57	0.11499999999999999	0.4643414370873543	False	1	32.0	25.0	-0.5829118095405627
3b_T1binary_MW	all	T2vsT1	all_6mA	2000	MW(LFC|methT1=1 vs 0)	57	0.07012987012987015	0.6640072054004285	False	1	35.0	22.0	-0.4517461829634578
3b_T1binary_MW	all	T2vsT1	AAGCCCG_6mA	100	MW(LFC|methT1=1 vs 0)	57			False		0.0	57.0	
3b_T1binary_MW	all	T2vsT1	AAGCCCG_6mA	200	MW(LFC|methT1=1 vs 0)	57			False		1.0	56.0	
3b_T1binary_MW	all	T2vsT1	AAGCCCG_6mA	293	MW(LFC|methT1=1 vs 0)	57			False		2.0	55.0	
