bin_center,6mA_T1,4mC_T1,6mA_T2,4mC_T2,6mA_T3,4mC_T3
-450.0,0.14845973029815662,0.22887541754299146,0.1917604849684523,0.33403439317085243,0.2103179512557219,0.22887541754299146
-430.0,0.23506123963874798,0.2659903501175306,0.24124706173450453,0.2845478164048002,0.2598045280217741,0.19794630706420885
-410.0,0.2103179512557219,0.17938884077693923,0.24743288383026105,0.22268959544723493,0.29691946059631324,0.1422739082024001
-390.0,0.29691946059631324,0.2659903501175306,0.352591859458122,0.33403439317085243,0.352591859458122,0.19794630706420885
-370.0,0.17938884077693923,0.21650377335147838,0.20413212915996537,0.2907336385005567,0.23506123963874798,0.22268959544723493
-350.0,0.1917604849684523,0.21650377335147838,0.23506123963874798,0.2783619943090437,0.2598045280217741,0.15464555239391314
-330.0,0.15464555239391314,0.23506123963874798,0.18557466287269578,0.24743288383026105,0.22268959544723493,0.16701719658542621
-310.0,0.14845973029815662,0.24124706173450453,0.16701719658542621,0.32166274897933933,0.22268959544723493,0.20413212915996537
-290.0,0.17938884077693923,0.20413212915996537,0.18557466287269578,0.2907336385005567,0.23506123963874798,0.21650377335147838
-270.0,0.17320301868118274,0.1917604849684523,0.17320301868118274,0.24124706173450453,0.17938884077693923,0.14845973029815662
-250.0,0.1422739082024001,0.1917604849684523,0.2103179512557219,0.2536187059260176,0.2721761722132871,0.16701719658542621
-230.0,0.34640603736236547,0.2845478164048002,0.34022021526660895,0.3835209699369046,0.3773351478411481,0.21650377335147838
-210.0,0.18557466287269578,0.2103179512557219,0.20413212915996537,0.22887541754299146,0.22887541754299146,0.15464555239391314
-190.0,0.1422739082024001,0.2659903501175306,0.1917604849684523,0.3154769268835828,0.17320301868118274,0.1917604849684523
-170.0,0.16701719658542621,0.21650377335147838,0.22268959544723493,0.2598045280217741,0.22268959544723493,0.14845973029815662
-150.0,0.17938884077693923,0.19794630706420885,0.18557466287269578,0.24124706173450453,0.1917604849684523,0.13608808610664355
-130.0,0.3092911047878263,0.19794630706420885,0.2536187059260176,0.20413212915996537,0.2907336385005567,0.14845973029815662
-110.0,0.33403439317085243,0.2536187059260176,0.33403439317085243,0.34022021526660895,0.32166274897933933,0.24124706173450453
-90.0,0.23506123963874798,0.21650377335147838,0.22887541754299146,0.2598045280217741,0.2721761722132871,0.16701719658542621
-70.0,0.23506123963874798,0.2103179512557219,0.2659903501175306,0.24743288383026105,0.2783619943090437,0.16083137448966967
-50.0,0.2103179512557219,0.10515897562786095,0.24124706173450453,0.15464555239391314,0.2783619943090437,0.09278733143634789
-30.0,0.22268959544723493,0.09897315353210442,0.2103179512557219,0.14845973029815662,0.24743288383026105,0.11134479772361747
-10.0,0.1422739082024001,0.05567239886180873,0.17320301868118274,0.06185822095756526,0.17320301868118274,0.037114932574539156
10.0,0.1422739082024001,0.10515897562786095,0.14845973029815662,0.16701719658542621,0.20413212915996537,0.09897315353210442
30.0,0.12371644191513052,0.17938884077693923,0.14845973029815662,0.21650377335147838,0.17320301868118274,0.12371644191513052
50.0,0.14845973029815662,0.2845478164048002,0.14845973029815662,0.35877768155387846,0.17938884077693923,0.24743288383026105
70.0,0.22887541754299146,0.20413212915996537,0.2598045280217741,0.2659903501175306,0.30310528269206977,0.20413212915996537
90.0,0.2103179512557219,0.2783619943090437,0.22268959544723493,0.34022021526660895,0.21650377335147838,0.2103179512557219
110.0,0.2598045280217741,0.17320301868118274,0.2598045280217741,0.22268959544723493,0.3154769268835828,0.1422739082024001
130.0,0.21650377335147838,0.18557466287269578,0.24124706173450453,0.2598045280217741,0.2598045280217741,0.14845973029815662
150.0,0.20413212915996537,0.21650377335147838,0.24124706173450453,0.32784857107509585,0.2721761722132871,0.2103179512557219
